id,gsType,gsObeliskGroup,obeliskNumber,broken,gsCodexData,verified
1,1,1,1,1,,0
2,1,1,2,0,14,0
3,1,1,3,0,16,0
4,1,1,4,0,17,0
5,1,1,5,0,20,0
6,1,1,6,0,10,0
7,1,2,1,0,20,0
8,1,2,2,1,,0
9,1,2,3,0,17,0
10,1,2,4,0,26,0
11,1,2,5,0,26,0
12,1,2,6,1,,0
13,1,2,7,0,24,0
14,1,2,8,0,16,0
15,1,2,9,1,,0
16,1,2,10,1,,0
17,1,2,11,1,,0
18,1,2,12,1,,0
19,1,2,13,1,,0
20,1,2,14,1,,0
21,1,3,1,1,,0
22,1,3,2,1,,0
23,1,3,3,1,,0
24,1,3,4,1,,0
25,1,3,5,1,,0
26,1,3,6,1,,0
27,1,3,7,1,,0
28,1,3,8,1,,0
29,1,3,9,1,,0
30,1,3,10,1,,0
31,1,3,11,1,,0
32,1,3,12,1,,0
33,1,4,1,1,,0
34,1,4,2,1,,0
35,1,4,3,1,,0
36,1,4,4,1,,0
37,1,4,5,0,24,0
38,1,4,6,0,16,0
39,1,4,7,0,26,0
40,1,4,8,0,17,0
41,1,4,9,0,14,0
42,1,4,10,0,10,0
43,1,4,11,0,20,0
44,1,4,12,0,14,0
45,1,4,13,0,10,0
46,1,4,14,0,26,0
47,2,5,1,0,,0
48,2,5,2,1,,0
49,2,5,3,1,,0
50,2,5,4,1,,0
51,2,5,5,0,3,0
52,2,5,6,0,27,0
53,2,5,7,0,,0
54,2,5,8,0,20,0
55,2,5,9,0,17,0
56,2,5,10,0,16,0
57,2,6,1,1,,0
58,2,6,2,0,14,0
59,2,6,3,0,16,0
60,2,6,4,0,17,0
61,2,6,5,1,,0
62,2,6,6,0,20,0
63,2,6,7,1,,0
64,2,6,8,1,,0
65,2,6,9,0,3,0
66,2,6,10,1,,0
67,2,6,11,0,27,0
68,2,6,12,1,,0
69,2,7,1,1,,0
70,2,7,2,0,27,0
71,2,7,3,0,3,0
72,2,7,4,0,,0
73,2,7,5,0,,0
74,2,8,1,0,20,0
75,2,8,2,0,17,0
76,2,8,3,0,16,0
77,2,8,4,0,3,0
78,2,8,5,1,,0
79,3,9,1,0,,0
80,3,9,2,1,,0
81,3,9,3,0,20,0
82,3,9,4,0,17,0
83,3,9,5,1,,0
84,3,9,6,0,23,0
85,3,9,7,0,28,0
86,3,9,8,0,16,0
87,3,9,9,1,,0
88,3,9,10,0,14,0
89,3,9,11,1,,0
90,3,9,12,1,,0
91,3,10,1,1,,0
92,3,10,2,0,25,0
93,3,10,3,0,,0
94,3,10,4,0,,0
95,3,10,5,1,,0
96,3,10,6,0,17,0
97,3,10,7,0,16,0
98,3,10,8,0,23,0
99,3,10,9,0,14,0
100,3,10,10,0,,0
101,3,11,1,1,,0
102,3,11,2,0,28,0
103,3,11,3,0,16,0
104,3,11,4,0,20,0
105,3,11,5,0,17,0
106,3,11,6,0,,0
107,3,11,7,0,23,0
108,3,11,8,1,,0
109,3,11,9,0,14,0
110,3,11,10,1,,0
111,4,12,1,0,17,0
112,4,12,2,1,,0
113,4,12,3,0,1,0
114,4,12,4,0,28,0
115,4,12,5,0,26,0
116,4,12,6,1,,0
117,4,12,7,1,,0
118,4,12,8,0,,0
119,4,12,9,0,20,0
120,4,12,10,0,19,0
121,4,13,1,0,26,0
122,4,13,2,0,,0
123,4,13,3,0,20,0
124,4,13,4,0,19,0
125,4,13,5,0,19,0
126,4,13,6,0,,0
127,4,13,7,0,,0
128,4,13,8,0,14,0
129,4,13,9,0,12,0
130,4,13,10,0,,0
131,4,13,11,0,1,0
132,4,13,12,1,,0
133,4,14,1,0,28,0
134,4,14,2,1,,0
135,4,14,3,1,,0
136,4,14,4,0,,0
137,4,14,5,1,,0
138,4,14,6,0,6,0
139,4,14,7,1,,0
140,4,14,8,1,,0
141,4,14,9,1,,0
142,4,14,10,0,,0
143,4,14,11,0,,0
144,4,14,12,1,,0
145,4,14,13,0,16,0
146,4,14,14,0,15,0
147,5,15,1,1,,0
148,5,15,2,1,,0
149,5,15,3,1,,0
150,5,15,4,1,,0
151,5,15,5,1,,0
152,5,15,6,1,,0
153,5,16,1,0,22,0
154,5,16,2,0,25,0
155,5,16,3,1,,0
156,5,16,4,0,18,0
157,5,17,1,0,17,0
158,5,17,2,0,20,0
159,5,17,3,1,,0
160,5,17,4,0,,0
161,5,17,5,0,11,0
162,5,17,6,0,16,0
163,5,17,7,0,,0
164,5,17,8,1,,0
165,5,17,9,0,14,0
166,5,17,10,1,,0
167,5,18,1,0,14,0
168,5,18,2,1,,0
169,5,18,3,0,,0
170,5,18,4,0,,0
171,5,18,5,0,17,0
172,5,18,6,0,16,0
173,5,18,7,0,20,0
174,5,18,8,0,20,0
175,5,18,9,1,,0
176,5,18,10,1,,0
177,5,19,1,1,,0
178,5,19,2,1,,0
179,5,19,3,0,7,0
180,5,19,4,1,,0
181,5,19,5,0,18,0
182,5,19,6,1,,0
183,5,19,7,0,25,0
184,5,19,8,0,4,0
185,5,19,9,1,,0
186,5,19,10,1,,0
187,5,19,11,0,11,0
188,5,19,12,1,,0
189,5,19,13,1,,0
190,5,19,14,0,12,0
191,5,19,15,1,,0
192,5,19,16,0,22,0
193,6,20,1,0,14,0
194,6,20,2,1,,0
195,6,20,3,1,,0
196,6,20,4,1,,0
197,6,20,5,0,15,0
198,6,20,6,1,,0
199,6,20,7,0,16,0
200,6,20,8,1,,0
201,6,21,1,0,13,0
202,6,21,2,0,20,0
203,6,21,3,1,,0
204,6,21,4,1,,0
205,6,21,5,1,,0
206,6,21,6,1,,0
207,6,21,7,0,11,0
208,6,21,8,0,11,0
209,6,22,1,1,,0
210,6,22,2,0,17,0
211,6,22,3,1,,0
212,6,22,4,1,,0
213,6,22,5,1,,0
214,6,22,6,1,,0
215,6,22,7,0,18,0
216,6,22,8,1,,0
217,6,23,1,0,5,0
218,6,23,2,1,,0
219,6,23,3,1,,0
220,6,23,4,0,22,0
221,6,23,5,0,8,0
222,7,24,1,1,,0
223,7,24,2,1,,0
224,7,24,3,1,,0
225,7,24,4,0,13,0
226,7,24,5,1,,0
227,7,24,6,1,,0
228,7,24,7,0,21,0
229,7,24,8,1,,0
230,7,24,9,0,21,0
231,7,24,10,0,,0
232,7,24,11,0,,0
233,7,24,12,0,24,0
234,7,24,13,0,,0
235,7,25,1,1,,0
236,7,25,2,1,,0
237,7,25,3,1,,0
238,7,25,4,0,16,0
239,7,25,5,1,,0
240,7,25,6,0,17,0
241,7,25,7,0,,0
242,7,25,8,0,14,0
243,7,25,9,0,13,0
244,7,25,10,1,,0
245,7,25,11,1,,0
