"id","`type`","controller","`action`","enabled","policy","`role`"
1,application,alert,find,1,"",1
2,application,alert,findone,1,"",1
3,application,alert,count,1,"",1
4,application,alert,create,1,"",1
5,application,alert,update,1,"",1
6,application,alert,delete,1,"",1
7,application,apiupdate,find,1,"",1
8,application,apiupdate,findone,1,"",1
9,application,apiupdate,count,1,"",1
10,application,apiupdate,create,1,"",1
11,application,apiupdate,update,1,"",1
12,application,apiupdate,delete,1,"",1
13,application,apreport,find,1,"",1
14,application,apreport,findone,1,"",1
15,application,apreport,count,1,"",1
16,application,apreport,create,1,"",1
17,application,apreport,update,1,"",1
18,application,apreport,delete,1,"",1
19,application,apsite,find,1,"",1
20,application,apsite,findone,1,"",1
21,application,apsite,count,1,"",1
22,application,apsite,create,1,"",1
23,application,apsite,update,1,"",1
24,application,apsite,delete,1,"",1
25,application,aptype,find,1,"",1
26,application,aptype,findone,1,"",1
27,application,aptype,count,1,"",1
28,application,aptype,create,1,"",1
29,application,aptype,update,1,"",1
30,application,aptype,delete,1,"",1
31,application,axczfssreport,find,1,"",1
32,application,axczfssreport,findone,1,"",1
33,application,axczfssreport,count,1,"",1
34,application,axczfssreport,create,1,"",1
35,application,axczfssreport,update,1,"",1
36,application,axczfssreport,delete,1,"",1
37,application,bmreport,find,1,"",1
38,application,bmreport,findone,1,"",1
39,application,bmreport,count,1,"",1
40,application,bmreport,create,1,"",1
41,application,bmreport,update,1,"",1
42,application,bmreport,delete,1,"",1
43,application,bmsite,find,1,"",1
44,application,bmsite,findone,1,"",1
45,application,bmsite,count,1,"",1
46,application,bmsite,create,1,"",1
47,application,bmsite,update,1,"",1
48,application,bmsite,delete,1,"",1
49,application,bmtype,find,1,"",1
50,application,bmtype,findone,1,"",1
51,application,bmtype,count,1,"",1
52,application,bmtype,create,1,"",1
53,application,bmtype,update,1,"",1
54,application,bmtype,delete,1,"",1
55,application,body,find,1,"",1
56,application,body,findone,1,"",1
57,application,body,count,1,"",1
58,application,body,create,1,"",1
59,application,body,update,1,"",1
60,application,body,delete,1,"",1
61,application,btreport,find,1,"",1
62,application,btreport,count,1,"",1
63,application,btreport,findone,1,"",1
64,application,btreport,create,1,"",1
65,application,btreport,update,1,"",1
66,application,btreport,delete,1,"",1
67,application,btsite,find,1,"",1
68,application,btsite,findone,1,"",1
69,application,btsite,count,1,"",1
70,application,btsite,create,1,"",1
71,application,btsite,update,1,"",1
72,application,btsite,delete,1,"",1
73,application,bttype,find,1,"",1
74,application,bttype,findone,1,"",1
75,application,bttype,count,1,"",1
76,application,bttype,create,1,"",1
77,application,bttype,update,1,"",1
78,application,bttype,delete,1,"",1
79,application,clientreport,find,1,"",1
80,application,clientreport,findone,1,"",1
81,application,clientreport,count,1,"",1
82,application,clientreport,create,1,"",1
83,application,clientreport,update,1,"",1
84,application,clientreport,delete,1,"",1
85,application,clientroute,find,1,"",1
86,application,clientroute,findone,1,"",1
87,application,clientroute,count,1,"",1
88,application,clientroute,create,1,"",1
89,application,clientroute,update,1,"",1
90,application,clientroute,delete,1,"",1
91,application,cmdr,find,1,"",1
92,application,cmdr,findone,1,"",1
93,application,cmdr,count,1,"",1
94,application,cmdr,create,1,"",1
95,application,cmdr,update,1,"",1
96,application,cmdr,delete,1,"",1
97,application,cmdrkill,find,1,"",1
98,application,cmdrkill,findone,1,"",1
99,application,cmdrkill,count,1,"",1
100,application,cmdrkill,create,1,"",1
101,application,cmdrkill,update,1,"",1
102,application,cmdrkill,delete,1,"",1
103,application,csreport,find,1,"",1
104,application,csreport,findone,1,"",1
105,application,csreport,count,1,"",1
106,application,csreport,create,1,"",1
107,application,csreport,update,1,"",1
108,application,csreport,delete,1,"",1
109,application,cssite,find,1,"",1
110,application,cssite,findone,1,"",1
111,application,cssite,count,1,"",1
112,application,cssite,create,1,"",1
113,application,cssite,update,1,"",1
114,application,cssite,delete,1,"",1
115,application,cstype,find,1,"",1
116,application,cstype,findone,1,"",1
117,application,cstype,count,1,"",1
118,application,cstype,create,1,"",1
119,application,cstype,update,1,"",1
120,application,cstype,delete,1,"",1
121,application,excludeclient,find,1,"",1
122,application,excludeclient,findone,1,"",1
123,application,excludeclient,count,1,"",1
124,application,excludeclient,create,1,"",1
125,application,excludeclient,update,1,"",1
126,application,excludeclient,delete,1,"",1
127,application,excludecmdr,find,1,"",1
128,application,excludecmdr,findone,1,"",1
129,application,excludecmdr,count,1,"",1
130,application,excludecmdr,create,1,"",1
131,application,excludecmdr,update,1,"",1
132,application,excludecmdr,delete,1,"",1
133,application,excludecodex,find,1,"",1
134,application,excludecodex,findone,1,"",1
135,application,excludecodex,count,1,"",1
136,application,excludecodex,create,1,"",1
137,application,excludecodex,update,1,"",1
138,application,excludecodex,delete,1,"",1
139,application,excludeevent,find,1,"",1
140,application,excludeevent,findone,1,"",1
141,application,excludeevent,count,1,"",1
142,application,excludeevent,create,1,"",1
143,application,excludeevent,update,1,"",1
144,application,excludeevent,delete,1,"",1
145,application,excludefss,find,1,"",1
146,application,excludefss,findone,1,"",1
147,application,excludefss,count,1,"",1
148,application,excludefss,create,1,"",1
149,application,excludefss,update,1,"",1
150,application,excludefss,delete,1,"",1
157,application,fgreport,find,1,"",1
158,application,fgreport,findone,1,"",1
159,application,fgreport,count,1,"",1
160,application,fgreport,create,1,"",1
161,application,fgreport,update,1,"",1
162,application,fgreport,delete,1,"",1
163,application,fgsite,find,1,"",1
164,application,fgsite,findone,1,"",1
165,application,fgsite,count,1,"",1
166,application,fgsite,create,1,"",1
167,application,fgsite,update,1,"",1
168,application,fgsite,delete,1,"",1
169,application,fgtype,find,1,"",1
170,application,fgtype,findone,1,"",1
171,application,fgtype,count,1,"",1
172,application,fgtype,create,1,"",1
173,application,fgtype,update,1,"",1
174,application,fgtype,delete,1,"",1
175,application,fmreport,find,1,"",1
176,application,fmreport,findone,1,"",1
177,application,fmreport,count,1,"",1
178,application,fmreport,create,1,"",1
179,application,fmreport,update,1,"",1
180,application,fmreport,delete,1,"",1
181,application,fmsite,find,1,"",1
182,application,fmsite,findone,1,"",1
183,application,fmsite,count,1,"",1
184,application,fmsite,create,1,"",1
185,application,fmsite,update,1,"",1
186,application,fmsite,delete,1,"",1
187,application,fmtype,find,1,"",1
188,application,fmtype,findone,1,"",1
189,application,fmtype,count,1,"",1
190,application,fmtype,create,1,"",1
191,application,fmtype,update,1,"",1
192,application,fmtype,delete,1,"",1
193,application,gbmessage,find,1,"",1
194,application,gbmessage,findone,1,"",1
195,application,gbmessage,count,1,"",1
196,application,gbmessage,create,1,"",1
197,application,gbmessage,update,1,"",1
198,application,gbmessage,delete,1,"",1
199,application,gbreport,find,1,"",1
200,application,gbreport,findone,1,"",1
