id,system,body,siteID,extoolID,type,latitude,longitude,verified,visible,discoveredBy
1,2643,3615,1,\N,2,1.6085,-116.2772,1,1,313
2,2637,3607,2,\N,2,-0.3127,20.4544,1,1,313
3,2681,3659,3,\N,2,12.6094,95.7671,1,1,413
4,2681,3659,4,\N,2,-14.0026,130.3481,1,1,36
5,3481,4796,5,\N,2,-66.6649,-148.027,1,1,88
6,2305,3163,6,\N,2,-31.488,91.3836,1,1,400
7,2305,3163,7,\N,2,-31.0575,77.4205,1,1,400
8,2305,3163,8,\N,2,35.8863,-159.877,1,1,400
9,2305,3163,9,\N,2,82.04,-44.9876,1,1,400
10,2305,3163,10,\N,2,16.7239,-35.1824,1,1,400
11,2305,3163,11,\N,2,-11.0002,-73.0702,1,1,400
