"id","system","bodyName","id64","edsmID","bodyID","type","subType","offset","distanceToArrival","isMainStar","isScoopable","isLandable","age","luminosity","absoluteMagnitude","solarMasses","solarRadius","gravity","earthMasses","radius","surfaceTemperature","surfacePressure","volcanismType","atmosphereType","terraformingState","orbitalPeriod","semiMajorAxis","orbitalEccentricity","orbitalInclination","argOfPeriapsis","rotationalPeriod","rotationalPeriodTidallyLocked","axialTilt","solidComposition","atmosphere","material","missingSkipCount","created_at","updated_at"
1,1,"16 H ORIONIS ABC 2 C A",756604996406994050,772862,21,Planet,Rocky body,7,2876.382568,,,1,,,,,,0.07742140620667103,0.000914,692.9901875,277,,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.554281322337963,0.00006222464903038222,,-65.581841,302.778931,0.5617018862152778,1,-0.120875,"{""Rock"":96.8871,""Metal"":3.1129000000000002,""Ice"":0}",,"{""Sulphur"":20.1161,""Iron"":17.8091,""Carbon"":16.9155,""Nickel"":13.4701,""Phosphorus"":10.8296,""Manganese"":7.35498,""Germanium"":5.92676,""Vanadium"":4.3733,""Molybdenum"":1.16292,""Yttrium"":1.06372,""Tungsten"":0.977899}",,2018-11-30 02:06:20,2018-11-30 14:00:49
2,2,"164 G. CANIS MAJORIS 5 C A",792633608754947200,7542462,22,Planet,Rocky body,3,1366.549927,,,1,,,,,,0.10956240797080598,0.002545,972.0701875,473,,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.2592377387152778,0.000040842743759721176,,36.404461,301.675171,0.2668894901967592,1,0.258619,"{""Rock"":96.8122,""Metal"":3.1877999999999997,""Ice"":0}",,"{""Sulphur"":20.0937,""Iron"":17.9737,""Carbon"":16.8967,""Nickel"":13.5946,""Phosphorus"":10.8176,""Chromium"":8.08337,""Manganese"":7.42296,""Zirconium"":2.08712,""Antimony"":1.25855,""Tungsten"":0.986937,""Mercury"":0.784882}",,2018-11-30 02:06:20,2018-11-30 14:00:52
3,4,"2MASS J10433563-5945136 1 A",612489602399200510,7331541,17,Planet,Rocky body,2,4792.518555,,,1,,,,,,0.23508267340821015,0.021641,1935.142125,284,,Metallic Magma,No atmosphere,Not terraformable,0.8836162651967593,0.003663090426593886,0.000009,0.00684,156.935196,0.8836243127893518,1,0.452856,"{""Rock"":91.0516,""Metal"":8.9484,""Ice"":0}",,"{""Iron"":18.5276,""Sulphur"":18.1187,""Carbon"":15.2359,""Nickel"":14.0135,""Phosphorus"":9.75429,""Chromium"":8.33247,""Manganese"":7.6517,""Germanium"":5.32123,""Antimony"":1.1253,""Tin"":1.11033,""Mercury"":0.809069}",,2018-11-30 02:06:20,2018-11-30 14:00:56
4,4,"2MASS J10433563-5945136 2 A",756604790475056380,7331923,21,Planet,Rocky body,2,4749.152344,,,1,,,,,,0.050736276289625945,0.000239,437.748,213,,Metallic Magma,No atmosphere,Not terraformable,0.8838736979166667,0.002591720738977069,0.00181,0.013343,259.868286,0.8838746021412037,1,0.492396,"{""Rock"":91.0516,""Metal"":8.9484,""Ice"":0}",,"{""Iron"":20.339,""Sulphur"":19.8901,""Carbon"":16.7255,""Nickel"":15.3835,""Phosphorus"":10.7079,""Germanium"":5.84147,""Zinc"":5.52737,""Zirconium"":2.36177,""Cadmium"":1.57941,""Tungsten"":1.11681,""Polonium"":0.527205}",,2018-11-30 02:06:20,2018-11-30 14:00:57
5,4,"2MASS J10433563-5945136 2 B",792633587494020350,7331994,22,Planet,Rocky body,2,4750.167969,,,1,,,,,,0.05775303593673568,0.000351,497.222375,208,,Minor Metallic Magma,No atmosphere,Not terraformable,1.248032859525463,0.0032619608669336494,0.001323,0.12275,352.401886,0.8320227502893518,,0.134089,"{""Rock"":91.0516,""Metal"":8.9484,""Ice"":0}",,"{""Iron"":19.8867,""Sulphur"":19.4477,""Carbon"":16.3535,""Nickel"":15.0414,""Phosphorus"":10.4698,""Manganese"":8.21298,""Vanadium"":4.88347,""Zirconium"":2.30925,""Molybdenum"":1.29859,""Ruthenium"":1.22813,""Mercury"":0.868417}",,2018-11-30 02:06:20,2018-11-30 14:00:57
6,5,"2MASS J10433739-6005084 B 1 A",684547166372357380,6422432,19,Planet,Rocky body,3,310688.5,,,1,,,,,,0.1538309014068018,0.006326,1293.3835,319,,Minor Metallic Magma,No atmosphere,Not terraformable,1.3429456018518517,0.004422705088676105,0.000006,-0.000231,195.551605,1.2802388057060186,1,-0.124685,"{""Rock"":90.9654,""Metal"":9.0346,""Ice"":0}",,"{""Iron"":18.5933,""Sulphur"":18.2135,""Carbon"":15.3157,""Nickel"":14.0632,""Phosphorus"":9.80537,""Chromium"":8.36201,""Manganese"":7.67883,""Vanadium"":4.56586,""Niobium"":1.27075,""Yttrium"":1.11055,""Tungsten"":1.02096}",,2018-11-30 02:06:20,2018-11-30 14:01:00
7,5,"2MASS J10433739-6005084 B 2 D",972777542524069120,6422470,27,Planet,Rocky body,3,310974.375,,,1,,,,,,0.06800009782498037,0.000573,585.47325,206,,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.41042096173611115,0.000008718054400756922,0.18767,-5.612191,158.355606,0.3776005949768519,,-0.234778,"{""Rock"":91.2242,""Metal"":8.7758,""Ice"":0}",,"{""Iron"":19.614,""Sulphur"":19.3133,""Carbon"":16.2405,""Nickel"":14.8352,""Phosphorus"":10.3974,""Germanium"":5.72184,""Zinc"":5.33035,""Vanadium"":4.81652,""Tellurium"":1.48197,""Tin"":1.17188,""Tungsten"":1.07701}",,2018-11-30 02:06:20,2018-11-30 14:01:00
8,6,"2MASS J10444160-5947046 1 B",468374476615027330,5170678,13,Planet,Rocky body,2,1540.451294,,,1,,,,,,0.13173826155233972,0.004029,1115.391125,245,,No volcanism,No atmosphere,Not terraformable,5.909919343171296,0.010197763115621672,0.000493,0.518748,34.094738,5.910027126736111,1,0.012179,"{""Rock"":91.15870000000001,""Metal"":8.8413,""Ice"":0}",,"{""Iron"":18.4122,""Sulphur"":18.0749,""Carbon"":15.1991,""Nickel"":13.9262,""Phosphorus"":9.73073,""Chromium"":8.28056,""Manganese"":7.60404,""Germanium"":5.34021,""Molybdenum"":1.2023,""Antimony"":1.12932,""Tin"":1.10046}",,2018-11-30 02:06:20,2018-11-30 14:01:04
9,6,"2MASS J10444160-5947046 2 B A",864691243823630980,5174518,24,Planet,Rocky body,3,2007.026245,,,1,,,,,,0.046554638713035265,0.000202,420.1251875,230,,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.2128692174884259,0.000015903871083641033,,85.422409,149.365372,0.21854736328703703,1,-0.009298,"{""Rock"":96.8968,""Metal"":3.1032,""Ice"":0}",,"{""Sulphur"":20.5331,""Iron"":18.1406,""Carbon"":17.2662,""Nickel"":13.7208,""Phosphorus"":11.0541,""Chromium"":8.15844,""Zinc"":4.92994,""Arsenic"":2.71302,""Cadmium"":1.4087,""Antimony"":1.28291,""Mercury"":0.792171}",,2018-11-30 02:06:20,2018-11-30 14:01:04
10,11,"64 VIRGINIS 4 C",1080863920469582980,9397614,30,Planet,Rocky body,2,804.56897,,,1,,,,,,0.0485596147703861,0.00021,419.42715625,377,,Major Silicate Vapour Geysers,No atmosphere,,0.44756433557870373,0.00000570615407830133,0.099802,7.082398,248.670364,0.6529008879513889,1,0.009021,"{""Rock"":90.8261,""Metal"":9.1738,""Ice"":0}",,"{""Iron"":19.4462,""Sulphur"":18.7459,""Carbon"":15.7633,""Nickel"":14.7083,""Phosphorus"":10.092,""Chromium"":8.74562,""Germanium"":5.54957,""Selenium"":2.93389,""Cadmium"":1.51009,""Tellurium"":1.43735,""Tungsten"":1.06779}",,2018-11-30 02:06:20,2018-11-30 14:01:09
11,14,"70 G. CARINAE 10 C",,12974424,,Planet,Rocky body,2,3467.678955,,,1,,,,,,0.1395199082267369,0.004766,1178.809,313,,Major Silicate Vapour Geysers,No atmosphere,,0.45419727466435184,0.000016684077709937618,0.149174,-2.074578,89.714981,0.6567130985995371,1,0.112492,,,"{""Iron"":18.6371,""Sulphur"":18.2954,""Carbon"":15.3846,""Nickel"":14.0963,""Phosphorus"":9.84946,""Chromium"":8.38172,""Manganese"":7.69693,""Vanadium"":4.57662,""Antimony"":1.14727,""Tin"":1.12074,""Mercury"":0.813851}",,2018-11-30 02:06:20,2018-11-30 14:01:13
12,14,"70 G. CARINAE 6 A",,12974654,,Planet,Rocky body,2,2175.773682,,,1,,,,,,0.2915426421091067,0.040059,2364.19625,429,,Major Silicate Vapour Geysers,No atmosphere,,0.8098050491898148,0.0029864311698388365,0.005041,-0.547742,51.482391,0.8098217773495371,1,0.188254,,,"{""Iron"":19.0509,""Sulphur"":18.7016,""Carbon"":15.7261,""Nickel"":14.4093,""Phosphorus"":10.0681,""Chromium"":8.5678,""Germanium"":5.54554,""Vanadium"":4.67823,""Molybdenum"":1.24401,""Ruthenium"":1.17651,""Mercury"":0.83192}",,2018-11-30 02:06:20,2018-11-30 14:01:13
13,15,"72 TAURI 1 C A",648518377716835460,4075261,18,Planet,Rocky body,3,1904.640503,,,1,,,,,,0.04596617321658141,0.000193,413.279625,350,,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.6723101580555555,0.00003817348785299255,,-29.24391,139.844604,0.6844773130092593,1,0.22409,"{""Rock"":96.7982,""Metal"":3.2018,""Ice"":0}",,"{""Sulphur"":19.9159,""Iron"":17.8319,""Carbon"":16.7472,""Nickel"":13.4873,""Phosphorus"":10.7218,""Manganese"":7.36438,""Germanium"":5.86918,""Vanadium"":4.37889,""Tellurium"":1.52013,""Cadmium"":1.38472,""Mercury"":0.778688}",,2018-11-30 02:06:20,2018-11-30 14:01:17
14,16,AKANDINIGUA 5,252215445300454816,1727156,7,Planet,Icy body,1,924.189636,,,,,,,,,0.5949551951940715,0.724978,7040.521,243,1482.0441944238835,Minor Carbon Dioxide Geysers,Thick Methane-rich,Not terraformable,1437.3133333333333,1.8579229799692596,0.00387,-0.022284,67.8993,1.1180589011921296,,3.134535,"{""Ice"":67.5461,""Rock"":21.7796,""Metal"":10.6743}",,,,2018-11-30 02:06:20,2018-11-30 14:01:21
15,17,ALAUNUS 10,432363827367912900,296770,12,Planet,Icy body,1,8910.606445,,,,,,,,,0.6443301076412336,0.896555,7523.48,20,0.19079420336540837,No volcanism,Helium,Not terraformable,57437.86074074074,17.864102704718512,0.001584,18.926434,172.169754,0.5909963650231481,,0.252258,"{""Ice"":68.2067,""Rock"":21.296499999999998,""Metal"":10.4967}",,,,2018-11-30 02:06:20,2018-11-30 14:01:26
16,24,ARIES DARK REGION AQ-Y D14 4 A,,5869623,,Planet,Rocky body,2,1894.939575,,,1,,,,,,0.09043915072008325,0.001332,774.0310625,128,,No volcanism,No atmosphere,Not terraformable,9.2078515625,0.006791347144488468,0.001271,-0.092797,175.013748,9.208011429398148,1,0.220823,,,"{""Iron"":18.967,""Sulphur"":18.7127,""Carbon"":15.7354,""Nickel"":14.3458,""Phosphorus"":10.0741,""Chromium"":8.53009,""Germanium"":5.50087,""Zinc"":5.15452,""Cadmium"":1.47287,""Mercury"":0.828258,""Technetium"":0.678373}",,2018-11-30 02:06:20,2018-11-30 14:01:36
