"id","codexName","reason","created_at","updated_at"
1,codex_ent_a_type,Star Type,2019-01-23 01:02:17,2019-01-23 01:02:17
2,codex_ent_aebe_type,Star Type,2019-01-23 01:02:17,2019-01-23 01:02:17
3,codex_ent_b_type,Star Type,2019-01-23 01:02:17,2019-01-23 01:02:17
4,codex_ent_black_holes,Star Type,2019-01-23 01:02:17,2019-01-23 01:02:17
5,codex_ent_da_type,Star Type,2019-01-23 01:02:17,2019-01-23 01:02:17
6,codex_ent_dab_type,Star Type,2019-01-23 01:02:17,2019-01-23 01:02:17
7,codex_ent_earth_likes,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
8,codex_ent_f_type,Star type,2019-01-23 01:02:17,2019-01-23 01:02:17
9,codex_ent_g_type,Star Type,2019-01-23 01:02:17,2019-01-23 01:02:17
10,codex_ent_g_typegiant,Star Type,2019-01-23 01:02:17,2019-01-23 01:02:17
11,codex_ent_k_type,Star Type,2019-01-23 01:02:17,2019-01-23 01:02:17
12,codex_ent_l_type,Star Type,2019-01-23 01:02:17,2019-01-23 01:02:17
13,codex_ent_m_type,Star Type,2019-01-23 01:02:17,2019-01-23 01:02:17
14,codex_ent_neutron_stars,Star Type,2019-01-23 01:02:17,2019-01-23 01:02:17
15,codex_ent_standard_ammonia_worlds,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
16,codex_ent_standard_giant_with_ammonia_life,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
17,codex_ent_standard_giant_with_water_life,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
18,codex_ent_standard_helium_rich,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
19,codex_ent_standard_high_metal_content_no_atmos,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
20,codex_ent_standard_ice_no_atmos,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
21,codex_ent_standard_metal_rich_no_atmos,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
22,codex_ent_standard_rocky_ice_no_atmos,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
23,codex_ent_standard_rocky_no_atmos,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
24,codex_ent_standard_sudarsky_class_i,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
25,codex_ent_standard_sudarsky_class_ii,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
26,codex_ent_standard_sudarsky_class_iii,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
27,codex_ent_standard_sudarsky_class_iv,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
28,codex_ent_standard_sudarsky_class_v,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
29,codex_ent_standard_ter_high_metal_content,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
30,codex_ent_standard_ter_ice,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
31,codex_ent_standard_ter_metal_rich,Body type,2019-01-23 01:02:17,2019-01-23 01:02:17
32,codex_ent_standard_ter_rocky_ice,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
33,codex_ent_standard_ter_rocky,Body type,2019-01-23 01:02:17,2019-01-23 01:02:17
34,codex_ent_standard_water_giant,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
35,codex_ent_standard_water_worlds,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
36,codex_ent_t_type,Star Type,2019-01-23 01:02:17,2019-01-23 01:02:17
37,codex_ent_trf_high_metal_content_no_atmos,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
38,codex_ent_trf_rocky_no_atmos,Body type,2019-01-23 01:02:17,2019-01-23 01:02:17
39,codex_ent_trf_ter_high_metal_content,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
40,codex_ent_trf_ter_rocky,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
41,codex_ent_trf_water_worlds,Body Type,2019-01-23 01:02:17,2019-01-23 01:02:17
42,codex_ent_tts_type,Star Type,2019-01-23 01:02:17,2019-01-23 01:02:17
43,codex_ent_y_type,Star Type,2019-01-23 01:02:17,2019-01-23 01:02:17
