"id","eventName","reason","created_at","updated_at"
1,StartUp,EDMC Event,2019-01-23 01:02:36,2019-01-23 01:02:36
2,Fileheader,Unknown Reason,2019-01-23 01:02:36,2019-01-23 01:02:36
3,Music,Unknown Reason,2019-01-23 01:02:36,2019-01-23 01:02:36
4,Friends,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
5,Cargo,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
6,Loadout,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
7,Materials,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
8,LoadGame,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
9,Rank,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
10,Progress,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
11,Location,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
12,StartJump,EDSM Tracks,2019-01-23 01:02:36,2019-01-23 01:02:36
13,SupercruiseEntry,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
14,USSDrop,We capture data another way,2019-01-23 01:02:36,2019-01-23 01:02:36
15,SupercruiseExit,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
16,FSDJump,EDSM Tracks,2019-01-23 01:02:36,2019-01-23 01:02:36
17,FuelScoop,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
18,Scan,EDSM Tracks,2019-01-23 01:02:36,2019-01-23 01:02:36
19,MaterialDiscovered,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
20,MaterialCollected,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
21,Screenshot,Pending on if we need this to submit screenshot data,2019-01-23 01:02:36,2019-01-23 01:02:36
22,ReceiveText,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
23,DockingRequested,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
24,DockingGranted,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
25,CommitCrime,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
26,Docked,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
27,RefuelAll,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
28,SearchAndRescue,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
29,PayFines,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
30,ShipyardTransfer,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
31,ModuleBuy,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
32,Undocked,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
33,HeatWarning,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
34,JetConeBoost,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
35,MissionRedirected,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
36,BuyDrones,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
37,MaterialDiscarded,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
38,RepairAll,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
39,Repair,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
40,Scanned,Nothing interesting,2019-01-23 01:02:36,2019-01-23 01:02:36
41,ShieldState,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
42,HullDamage,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
43,BuyAmmo,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
44,PayLegacyFines,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
45,SellExplorationData,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
46,ModuleStore,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
47,MarketSell,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
48,SellDrones,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
49,ShipyardSwap,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
50,ModuleRetrieve,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
51,ModuleSellRemote,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
52,FetchRemoteModule,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
53,EjectCargo,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
54,Resurrect,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
55,HeatDamage,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
56,Interdicted,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
57,Synthesis,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
58,ModuleSwap,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
59,SetUserShipName,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
60,ShipyardBuy,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
61,ShipyardNew,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
62,ModuleSell,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
63,EngineerCraft,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
64,EngineerApply,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
65,SendText,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
66,Touchdown,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
67,LaunchSRV,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
68,DockSRV,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
69,Liftoff,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
70,MissionFailed,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
71,DockingDenied,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
72,DatalinkVoucher,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
73,RedeemVoucher,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
74,WingInvite,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
75,WingJoin,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
76,WingAdd,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
77,WingLeave,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
78,BuyExplorationData,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
79,DockingTimeout,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
80,Commander,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
81,Reputation,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
82,Missions,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
83,ShipTargeted,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
84,DiscoveryScan,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
85,UnderAttack,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
86,Shipyard,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
87,StoredShips,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
88,Shutdown,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
89,ApproachBody,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
90,LeaveBody,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
91,ModuleInfo,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
92,Outfitting,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
93,StoredModules,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
94,RebootRepair,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
95,SRVDestroyed,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
96,RestockVehicle,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
97,JoinACrew,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
98,ChangeCrewRole,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
99,QuitACrew,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
100,LaunchDrone,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
101,RepairDrone,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
102,Market,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
103,PayBounties,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
104,Promotion,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
105,EngineerProgress,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
106,MaterialTrade,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
107,MissionAbandoned,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
108,CockpitBreached,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
109,MarketBuy,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
110,DockingCancelled,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
111,TechnologyBroker,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
112,CargoDepot,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
113,CrewHire,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
114,CrewAssign,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
115,NpcCrewPaidWage,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
116,LaunchFighter,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
117,DockFighter,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
118,FighterRebuilt,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
119,FighterDestroyed,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
120,NpcCrewRank,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
121,VehicleSwitch,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
122,BuyTradeData,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
