id,fssname,reason
1,FSSSignalDiscovered,Spam of useless info for now
2,Warzone_PointRace_Low,Spam of useless info for now
3,Warzone_PointRace_Med,Spam of useless info for now
4,Warzone_PointRace_High,Spam of useless info for now
5,multiplayer_scenario1_title,Spam of useless info for now
6,multiplayer_scenario2_title,Spam of useless info for now
7,multiplayer_scenario3_title,Spam of useless info for now
8,multiplayer_scenario4_title,Spam of useless info for now
9,multiplayer_scenario5_title,Spam of useless info for now
10,multiplayer_scenario6_title,Spam of useless info for now
11,multiplayer_scenario7_title,Spam of useless info for now
12,multiplayer_scenario8_title,Spam of useless info for now
13,multiplayer_scenario9_title,Spam of useless info for now
14,multiplayer_scenario10_title,Spam of useless info for now
15,multiplayer_scenario11_title,Spam of useless info for now
16,multiplayer_scenario12_title,Spam of useless info for now
17,multiplayer_scenario13_title,Spam of useless info for now
18,multiplayer_scenario14_title,Spam of useless info for now
19,multiplayer_scenario15_title,Spam of useless info for now
20,multiplayer_scenario16_title,Spam of useless info for now
21,multiplayer_scenario17_title,Spam of useless info for now
22,multiplayer_scenario18_title,Spam of useless info for now
23,multiplayer_scenario19_title,Spam of useless info for now
24,multiplayer_scenario20_title,Spam of useless info for now
25,multiplayer_scenario21_title,Spam of useless info for now
26,multiplayer_scenario22_title,Spam of useless info for now
27,multiplayer_scenario23_title,Spam of useless info for now
28,multiplayer_scenario24_title,Spam of useless info for now
29,multiplayer_scenario25_title,Spam of useless info for now
30,multiplayer_scenario26_title,Spam of useless info for now
31,multiplayer_scenario27_title,Spam of useless info for now
32,multiplayer_scenario28_title,Spam of useless info for now
33,multiplayer_scenario29_title,Spam of useless info for now
34,multiplayer_scenario30_title,Spam of useless info for now
35,multiplayer_scenario31_title,Spam of useless info for now
36,multiplayer_scenario32_title,Spam of useless info for now
37,multiplayer_scenario33_title,Spam of useless info for now
38,multiplayer_scenario34_title,Spam of useless info for now
39,multiplayer_scenario35_title,Spam of useless info for now
40,multiplayer_scenario36_title,Spam of useless info for now
41,multiplayer_scenario37_title,Spam of useless info for now
42,multiplayer_scenario38_title,Spam of useless info for now
43,multiplayer_scenario39_title,Spam of useless info for now
44,multiplayer_scenario40_title,Spam of useless info for now
45,multiplayer_scenario41_title,Spam of useless info for now
46,multiplayer_scenario42_title,Spam of useless info for now
47,multiplayer_scenario43_title,Spam of useless info for now
48,multiplayer_scenario44_title,Spam of useless info for now
49,multiplayer_scenario45_title,Spam of useless info for now
50,multiplayer_scenario46_title,Spam of useless info for now
51,multiplayer_scenario47_title,Spam of useless info for now
52,multiplayer_scenario48_title,Spam of useless info for now
53,multiplayer_scenario49_title,Spam of useless info for now
54,multiplayer_scenario50_title,Spam of useless info for now
55,multiplayer_scenario51_title,Spam of useless info for now
56,multiplayer_scenario52_title,Spam of useless info for now
57,multiplayer_scenario53_title,Spam of useless info for now
58,multiplayer_scenario54_title,Spam of useless info for now
59,multiplayer_scenario55_title,Spam of useless info for now
60,multiplayer_scenario56_title,Spam of useless info for now
61,multiplayer_scenario57_title,Spam of useless info for now
62,multiplayer_scenario58_title,Spam of useless info for now
63,multiplayer_scenario59_title,Spam of useless info for now
64,multiplayer_scenario60_title,Spam of useless info for now
65,multiplayer_scenario61_title,Spam of useless info for now
66,multiplayer_scenario62_title,Spam of useless info for now
67,multiplayer_scenario63_title,Spam of useless info for now
68,multiplayer_scenario64_title,Spam of useless info for now
69,multiplayer_scenario65_title,Spam of useless info for now
70,multiplayer_scenario66_title,Spam of useless info for now
71,multiplayer_scenario67_title,Spam of useless info for now
72,multiplayer_scenario68_title,Spam of useless info for now
73,multiplayer_scenario69_title,Spam of useless info for now
74,multiplayer_scenario70_title,Spam of useless info for now
75,multiplayer_scenario71_title,Spam of useless info for now
76,multiplayer_scenario72_title,Spam of useless info for now
77,multiplayer_scenario73_title,Spam of useless info for now
78,multiplayer_scenario74_title,Spam of useless info for now
79,multiplayer_scenario75_title,Spam of useless info for now
80,multiplayer_scenario76_title,Spam of useless info for now
81,multiplayer_scenario77_title,Spam of useless info for now
82,multiplayer_scenario78_title,Spam of useless info for now
83,multiplayer_scenario79_title,Spam of useless info for now
84,multiplayer_scenario80_title,Spam of useless info for now
85,multiplayer_scenario81_title,Spam of useless info for now
86,multiplayer_scenario82_title,Spam of useless info for now
87,multiplayer_scenario83_title,Spam of useless info for now
88,multiplayer_scenario84_title,Spam of useless info for now
89,multiplayer_scenario85_title,Spam of useless info for now
90,multiplayer_scenario86_title,Spam of useless info for now
91,multiplayer_scenario87_title,Spam of useless info for now
92,multiplayer_scenario88_title,Spam of useless info for now
93,multiplayer_scenario89_title,Spam of useless info for now
94,multiplayer_scenario90_title,Spam of useless info for now
95,multiplayer_scenario91_title,Spam of useless info for now
96,multiplayer_scenario92_title,Spam of useless info for now
97,multiplayer_scenario93_title,Spam of useless info for now
98,multiplayer_scenario94_title,Spam of useless info for now
99,multiplayer_scenario95_title,Spam of useless info for now
100,multiplayer_scenario96_title,Spam of useless info for now
101,multiplayer_scenario97_title,Spam of useless info for now
102,multiplayer_scenario98_title,Spam of useless info for now
103,multiplayer_scenario99_title,Spam of useless info for now
104,multiplayer_scenario100_title,Spam of useless info for now
