id,grType,groupName,amount
1,2,A,20
2,2,B,21
3,2,C,14
4,2,D,14
5,2,E,10
6,2,F,22
7,2,G,4
8,2,H,7
9,2,I,20
10,2,J,8
11,2,K,22
12,2,L,10
13,2,M,24
14,2,N,10
15,2,O,20
16,2,P,13
17,2,Q,29
18,3,A,0
19,3,B,0
20,3,C,22
21,3,D,12
22,3,E,27
23,3,F,8
24,3,G,18
25,3,H,10
26,3,I,12
27,3,J,10
28,3,K,27
29,3,L,6
30,3,M,3
31,3,N,25
32,3,O,3
33,3,P,27
34,3,Q,8
35,3,R,27
36,3,S,3
37,3,T,18
38,3,U,55
39,4,A,0
40,4,B,15
41,4,C,15
42,4,D,15
43,4,E,10
44,4,F,15
45,4,G,14
46,4,H,57
47,4,I,18
48,4,J,9
49,4,K,15
50,4,L,14
51,4,M,14
52,4,N,14
53,4,O,8
54,4,P,27
55,4,Q,10
56,4,R,27
57,4,S,8
