id,gsType,groupName,amount
1,2,A,6
2,2,B,14
3,2,C,12
4,2,D,14
5,3,A,10
6,3,B,12
7,3,C,5
8,3,D,5
9,4,A,12
10,4,B,10
11,4,C,10
12,5,A,10
13,5,B,12
14,5,C,14
15,6,A,6
16,6,B,4
17,6,C,10
18,6,D,10
19,6,E,16
20,7,A,8
21,7,B,8
22,7,C,8
23,7,D,5
24,8,A,13
25,8,B,14
26,8,C,10
27,8,D,7
28,9,A,18
29,9,B,13
30,9,C,15
31,9,D,12
32,10,A,18
33,10,B,20
34,10,C,26
35,10,D,10
36,10,E,11
37,10,F,9
38,11,A,12
39,11,B,12
40,11,C,12
41,11,D,7
42,11,E,7
43,11,F,7
44,11,G,7
45,11,H,7
