id,type,journalName,journalID
1,Unknown,,\N
2,Sulphur Dioxide Fumarole,codex_ent_fumarole_sulphurdioxidemagma,21011
3,Water Fumarole,codex_ent_fumarole_watergeysers,21012
4,Silicate Vapour Fumarole,codex_ent_fumarole_silicatevapourgeysers,21013
5,Sulphur Dioxide Ice Fumarole,codex_ent_icefumarole_sulphurdioxidemagma,21031
6,Water Ice Fumarole,codex_ent_icefumarole_watergeysers,21032
7,Carbon Dioxide Ice Fumarole,codex_ent_icefumarole_carbondioxidegeysers,21033
8,Ammonia Ice Fumarole,codex_ent_icefumarole_ammoniageysers,21034
9,Methane Ice Fumarole,codex_ent_icefumarole_methanegeysers,21035
10,Nitrogen Ice Fumarole,codex_ent_icefumarole_nitrogengeysers,21036
11,Silicate Vapour Ice Fumarole,codex_ent_icefumarole_silicatevapourgeysers,21037
