id,system,body,siteID,extoolID,latitude,longitude,type,verified,visible,discoveredBy
1,3201,4360,1,\N,-3.3269,139.8931,2,0,1,185
2,438,618,2,\N,17.29,-108.53,2,0,1,376
3,1826,2478,3,\N,-24.78,125.81,2,0,1,376
4,1826,2479,4,\N,73.53,-16.62,2,0,1,376
5,3803,5172,5,\N,-39.13,60.96,2,0,1,376
6,3803,5174,6,\N,61.5873,164.3526,2,1,1,376
7,3912,5327,7,\N,12.92,175.41,2,0,1,376
8,4026,5488,8,\N,-5.07,169.47,2,0,1,376
9,1239,1664,9,\N,-14.0726,94.3267,2,1,1,44
10,1826,2479,10,\N,19.58,-162.58,2,1,1,397
11,3201,4359,11,\N,-20.53,151.35,2,0,1,521
12,3201,4359,12,\N,-18.14,96.39,2,0,1,521
13,3201,4360,13,\N,13.66,-40.78,2,0,1,521
14,2069,2822,14,\N,41.06,150.73,2,0,1,521
15,2071,2824,15,\N,-15.98,143.61,2,0,1,521
16,355,508,16,\N,-32.8343,15.0372,2,0,1,252
17,1344,1823,17,\N,66.3917,84.1447,2,0,1,354
18,1315,1773,18,\N,-48.2731,-47.4449,2,1,1,521
19,1316,1774,19,\N,24.15,-45.8258,2,1,1,521
20,1355,1834,20,\N,51.4334,17.5896,2,1,1,382
21,1355,1834,21,\N,61.5956,30.1354,2,1,1,382
22,1358,1837,22,\N,-11.5608,33.8907,2,1,1,382
23,1357,1836,23,\N,18.6796,132.9822,2,1,1,382
24,3803,5172,24,\N,10.6344,56.2811,2,1,1,234
25,3803,5172,25,\N,29.1773,75.802,2,1,1,234
26,3803,5173,26,\N,-16.9526,-13.2767,2,1,1,508
27,1708,2310,27,\N,2.0046,29.2919,2,1,1,40
28,1708,2310,28,\N,45.3692,-177.0091,2,1,1,40
29,1708,2310,29,\N,2.1793,-150.6453,2,1,1,40
30,1708,2310,30,\N,-38.2095,106.2298,2,1,1,40
31,3803,5174,31,\N,37.2468,155.3687,2,1,1,296
32,1239,1664,32,\N,26.3988,90.6247,2,1,1,44
33,1274,1712,33,\N,30.4118,-134.6438,2,1,1,44
34,1274,1712,34,\N,-31.5981,-56.2382,2,1,1,44
35,1274,1712,35,\N,14.7116,135.528,2,1,1,44
36,1248,1680,36,\N,-29.9745,4.0689,2,1,1,44
37,1248,1680,37,\N,3.0361,84.7171,2,1,1,44
38,1259,1693,38,\N,-45.0271,45.6161,2,0,1,44
39,1259,1692,39,\N,32.8233,99.8167,2,1,1,44
40,1549,2077,40,\N,40.0754,-111.6587,2,1,1,382
41,253,352,41,\N,-12.3667,143.6478,2,1,1,521
42,253,352,42,\N,-35.8725,-89.5558,2,1,1,521
43,253,352,43,\N,-26.1436,-87.004,2,1,1,521
44,253,352,44,\N,45.234,167.2092,2,1,1,521
45,1551,2080,45,\N,-53.0819,-163.0337,2,1,1,382
46,1826,2479,46,\N,-3.8712,-56.3881,2,1,1,234
47,1557,2089,47,\N,-9.1401,-45.1593,2,1,1,382
48,1080,1470,48,\N,9.1864,-150.4373,2,1,1,382
49,2366,3192,49,\N,9.724,-161.4523,2,1,1,360
50,1076,1466,50,\N,9.2572,27.7121,2,1,1,382
51,1076,1466,51,\N,17.1353,-107.5362,2,1,1,382
52,2366,3192,52,\N,4.8999,28.4902,2,1,1,360
53,1076,1465,53,\N,-27.6244,-109.3809,2,1,1,382
54,3456,4734,54,\N,29.7371,23.4861,2,1,1,209
55,344,496,55,\N,-70.7605,156.0312,2,1,1,44
56,1873,2556,56,\N,-1.1483,26.5604,2,1,1,44
57,1873,2556,57,\N,10.5415,123.8627,2,1,1,44
58,1873,2556,58,\N,9.7212,-30.1957,2,1,1,44
59,3298,4512,59,\N,16.1963,-74.2568,2,1,1,44
60,3298,4512,60,\N,-7.4784,78.6781,2,1,1,44
61,3298,4512,61,\N,-7.5528,-59.3983,2,1,1,44
62,2147,2917,62,\N,-50.3833,138.0796,2,1,1,209
63,2146,2916,63,\N,40.1001,131.1638,2,1,1,209
64,1083,1473,64,\N,4.4256,-16.1833,2,1,1,382
65,1083,1473,65,\N,-2.7645,-47.5568,2,1,1,382
66,1083,1473,66,\N,-4.5086,-144.5524,2,1,1,382
67,2262,3059,67,\N,-1.8441,20.4949,2,1,1,382
68,2262,3059,68,\N,-11.7293,-40.8511,2,1,1,382
69,344,496,69,\N,50.7311,-32.1483,2,1,1,464
70,3249,4442,70,\N,-22.2384,33.4779,2,1,1,209
71,3196,4354,71,\N,-64.3718,-55.7859,2,0,1,146
72,3251,4445,72,\N,57.5679,59.0773,2,1,1,209
