id,system,bodyName
1,1,10 ARIETIS A 1
2,2,102 IOTA TAURI B 2 A
3,3,12 TRIANGULI A 1
4,4,139 TAURI A 2 A
5,4,139 TAURI A 2 B
6,4,139 TAURI A 5
7,4,139 TAURI B 1
8,5,16 H ORIONIS ABC 2 C A
9,6,164 G. CANIS MAJORIS 5 C A
10,7,2MASS J02344892+6124230 6 A
11,8,2MASS J05412214-0216441 C 1
12,8,2MASS J05412214-0216441 C 3
13,9,2MASS J10433563-5945136 1 A
14,9,2MASS J10433563-5945136 2 A
15,9,2MASS J10433563-5945136 2 B
16,10,2MASS J10433739-6005084 B 1 A
17,10,2MASS J10433739-6005084 B 2 D
18,11,2MASS J10444160-5947046 1 B
19,11,2MASS J10444160-5947046 2 B A
20,12,2MASS J14272268-5940166 C 1
21,12,2MASS J14272268-5940166 C 2
22,13,2MASS J14274501-5937518 A 5
23,13,2MASS J14274501-5937518 A 6 A
24,13,2MASS J14274501-5937518 A 6 B
25,14,2MASS J18171704-1659394 A 1
26,15,2MASS J18175838-1702401 4
27,16,2MASS J18181264-1654135 1 A
28,17,2MASS J18182881-1649403 A 6 B
29,17,2MASS J18182881-1649403 A 6 C A
30,17,2MASS J18182881-1649403 A 7 A
31,17,2MASS J18182881-1649403 A 7 B
32,18,2MASS J18182894-1645056 A 1
33,19,2MASS J18183883-1645311 B 3
34,20,2MASS J18184271-1658059 2 A
35,20,2MASS J18184271-1658059 4 C A
36,21,2MASS J18185300-1638082 4
37,22,2MASS J18185936-1641019 4
38,23,2MASS J18191417-1629510 AB 6 A
39,24,2MASS J18192192-1630004 2 A
40,25,2MASS J18192265-1631091 5 A
41,26,2MASS J18192359-1632298 ABCD 5 A
42,27,2MASS J18194800-1644152 8 A
43,27,2MASS J18194800-1644152 8 B
44,28,2MASS J18202544-1636087 5 A
45,29,2MASS J21014358+6809361 C 1
46,30,35 G. CARINAE 1 E
47,31,4 CAMELOPARDALIS 10 C A
48,32,4 ERIDANI ABC 5 C A
49,33,5 PUPPIS B 1
50,34,5 RHO SCORPII 6 A
51,34,5 RHO SCORPII 7 F
52,35,57 HYDRAE 8
53,36,61 CYGNI A 1
54,37,63 G. CAPRICORNI 4
55,38,64 ARIETIS 2
56,39,64 VIRGINIS 4 C
57,40,69 F1 ORIONIS 3
58,41,70 G. CARINAE 10 C
59,41,70 G. CARINAE 6 A
60,42,72 TAURI 1 C A
61,43,78 URSAE MAJORIS A 1
62,44,ACHENAR 2
63,45,AEDGORN AG-O D6-2 A 1
64,45,AEDGORN AG-O D6-2 A 2 A
65,46,AEDGORN DL-P D5-0 A 1
66,47,AEDGORN XK-O D6-2 A 1
67,47,AEDGORN XK-O D6-2 ABC 4 A C
68,48,AEMORRS JJ-F D12-6487 5
69,49,AEMORRS WO-A E2950 AB 2
70,50,AGNAIMT YC-H D11-85 1
71,51,AGNAIRT PM-M C10-1355 A 2
72,52,AGNAIRY MN-Q D6-7736 3
73,53,AIDOW BC-D D12-4 1
74,54,AIPHAIRDS FB-E D12-306 1
75,55,AIPHAISTY AB-O D6-159 B 4 A
76,56,AIPHAISTY LX-U E2-24 AB 2 C
77,57,AIPHAISTY XJ-A D55 3
78,58,AISHAISH BL-P C5-155 B 2
79,59,AISHAISH DA-Q D5-150 1
80,60,AISHAISH LM-M D7-3531 A 2
81,61,ALAUNUS 10
82,62,ALNATH A 2 A A
83,63,ALNITAK 4 A
84,63,ALNITAK 9 B
85,64,ALPHA CENTAURI B 1
86,65,AMPHISATSU A 3 A
87,66,AOWRIAE HG-Y E2203 B 1
88,67,AQUILA DARK REGION PD-S B4-9 3 A
89,68,ARIES DARK REGION AQ-Y D14 4 A
90,69,ARIES DARK REGION DB-X C1-2 B 1
91,70,ARIES DARK REGION DB-X C1-7 A 9 A
92,71,ARIES DARK REGION DB-X D1-63 A 7 A
93,72,ARIES DARK REGION DB-X D1-64 4 A
94,73,ARIES DARK REGION FW-W D1-59 A 5 A
95,74,ARIES DARK REGION FW-W D1-76 4 A
96,75,ARIES DARK REGION GW-W D1-48 6 A
97,76,ARIES DARK REGION GW-W D1-86 1 B
98,77,ARIES DARK REGION HR-W C1-1 8 C
99,78,ARIES DARK REGION HR-W D1-34 2 A
100,79,ARIES DARK REGION HR-W D1-44 B 2 A
101,80,ARIES DARK REGION HR-W D1-53 7 A
102,81,ARIES DARK REGION HR-W D1-54 2 C A
103,82,ARIES DARK REGION IH-V C2-9 6 B
104,83,ARIES DARK REGION IM-V C2-5 12 A
105,84,ARIES DARK REGION JC-V C2-6 A 4 A
106,85,ARIES DARK REGION JS-T C3-1 1 A
107,86,ARIES DARK REGION JW-W C1-4 7 A
108,87,ARIES DARK REGION KH-V C2-4 7 A
109,88,ARIES DARK REGION MS-T C3-15 1 A
110,89,ARIES DARK REGION MS-T C3-2 A 1 A
111,90,ARIES DARK REGION MS-T C3-8 A 9 A
112,90,ARIES DARK REGION MS-T C3-8 A 9 B
113,90,ARIES DARK REGION MS-T C3-8 A 9 C
114,90,ARIES DARK REGION MS-T C3-8 A 9 D
115,91,ARIES DARK REGION MX-U C2-10 1 C
116,92,ARIES DARK REGION MX-U C2-8 A 7 A
117,93,ARIES DARK REGION NN-T C3-12 1 D
118,94,ARIES DARK REGION OD-S B4-1 A 3
119,95,ARIES DARK REGION OI-T C3-8 1 A
120,96,ARIES DARK REGION PY-R B4-1 A 4 A
121,97,ARIES DARK REGION VT-R B4-0 A 6
122,98,ARIETIS SECTOR FG-X B1-2 6 E A
123,99,ARIETIS SECTOR ZE-A D75 10 A
124,100,ARIETIS SECTOR ZF-W B2-3 2 B
125,101,ARMSTRONG C 2
126,102,ASSAIPY LD-K D8-71 2 B
127,103,ATHAIR YO-I D9-272 2 C A
128,104,ATHENA AB 1 E A
129,105,AUCOKS HC-U B33-0 3 B
130,106,AUCOKS JI-E A25-2 2 A
131,107,AUCOKS NP-A C3-0 2 A
132,107,AUCOKS NP-A C3-0 2 A A
133,108,AUCOKS UR-N C22-0 1
134,109,AUCOPP ES-H D11-2 2
135,110,AUNAIR EG-Y E252 4 B
136,111,AUPHAIBS EN-M C10-7 A 2 B
137,111,AUPHAIBS EN-M C10-7 B 5 A
138,112,AUPHAIRSTS DX-A D1-74 AB 3 A
139,113,AUPHAIRSTS PA-T B37-0 6 D A
140,114,AUSANTUATEL 1
141,115,BALIE A 1 C A
142,116,BANKI A 3 A
143,117,BARATI A 1
144,118,BATZ 2 A
145,118,BATZ 2 B
146,118,BATZ 2 C
147,118,BATZ 3 A
148,118,BATZ 4 A
149,119,BAULOO LX-U E2-17 D 14 B
150,120,BD-10 1848 4
151,121,BD-11 4932 1
152,122,BD-12 1172 1
153,122,BD-12 1172 10 A
154,122,BD-12 1172 10 B
155,122,BD-12 1172 11 A
156,122,BD-12 1172 15 A
157,122,BD-12 1172 2
158,122,BD-12 1172 4
159,122,BD-12 1172 5 A
160,122,BD-12 1172 7
161,123,BD+38 2037 A 1
162,124,BD+47 2936 2
163,125,BD+55 191 AB 1
164,126,BD+60 456 8 F
165,127,BD+65 210 7 A
166,127,BD+65 210 7 B
167,128,BELAAKO AB 1 C A
168,129,BETA HYDRI 7 C
169,130,BHOTHO AB 1 A
170,131,BLA PHROEA HS-H D11-0 C 1
171,132,BLA PHROEA TK-C D14-0 1 A
172,132,BLA PHROEA TK-C D14-0 4 B
173,133,BLAA BYIO VI-T D3-3 B 5 B
174,134,BLAA EAEC NL-L C9-136 B 5 A
175,135,BLAA EAEC UE-I B55-6 6 B
176,136,BLAA EOP JL-D C13-0 A 1 A
177,137,BLAA FLYAO EA-M C9-2 ABC 3 D
178,138,BLAA FLYI ON-B B27-0 A 1 B
