id,system,body,siteID,extoolID,type,latitude,longitude,verified,visible,discoveredBy
1,6,9,1,\N,1,-4.8631,3.0394,1,1,376
2,7,10,2,\N,1,-65.5780,165.2446,0,1,44
3,7,12,3,\N,1,-22.1270,-99.8050,0,1,44
4,7,11,4,\N,1,18.5441,117.2379,0,1,44
5,8,13,5,\N,1,-33.2476,52.9794,0,1,44
6,8,14,6,\N,1,34.7347,99.5606,0,1,44
7,9,16,7,\N,1,7.7559,-153.3222,0,1,44
8,580,852,8,\N,1,27.1906,41.6520,1,1,44
9,588,862,9,\N,1,10.5512,-151.2654,1,1,44
10,591,865,10,\N,1,54.4862,52.0458,1,1,44
11,604,879,11,\N,1,4.1726,162.7135,1,1,44
12,614,890,12,\N,1,7.9078,132.2088,1,1,44
13,614,890,13,\N,1,-0.3814,-53.8507,1,1,44
14,614,890,14,\N,1,-10.8164,-43.3248,1,1,44
15,614,890,15,\N,1,-69.0015,121.4782,1,1,44
16,633,922,16,\N,1,44.1401,-76.8827,1,1,44
17,673,965,17,\N,1,43.8595,44.5843,1,1,44
18,673,965,18,\N,1,28.9110,112.8688,1,1,44
19,681,977,19,\N,1,-5.7463,96.7247,1,1,44
20,681,978,20,\N,1,-3.1468,-59.9358,1,1,44
21,681,976,21,\N,1,-48.8886,-151.9067,1,1,44
22,681,976,22,\N,1,44.6974,-93.0335,1,1,44
23,681,976,23,\N,1,35.0087,76.5551,1,1,44
24,681,975,24,\N,1,-25.5887,-108.5824,1,1,44
25,681,975,25,\N,1,-42.8524,-134.1830,1,1,44
26,681,975,26,\N,1,64.8666,-130.988,1,1,44
27,681,975,27,\N,1,24.3299,44.2246,1,1,44
28,681,975,28,\N,1,14.6168,-0.6771,1,1,44
29,684,984,29,\N,1,-50.1253,129.5716,1,1,44
30,646,937,30,\N,1,40.3987,-1.7777,1,1,44
31,705,1006,31,\N,1,-61.4610,26.6463,1,1,44
32,705,1006,32,\N,1,24.1381,-65.5068,1,1,44
33,722,1029,33,\N,1,17.4114,-98.8253,1,1,44
34,722,1028,34,\N,1,45.9501,-43.4345,1,1,44
35,728,1038,35,\N,1,-50.5520,-165.8521,1,1,44
36,739,1053,36,\N,1,7.2636,149.9771,1,1,44
37,770,1087,37,\N,1,48.0808,127.0176,1,1,44
