id,cmdrName
1,zzz_Unknown
2,"""Rusted Bulk"" Mike"
3,[Cornholio]
4,1_UnknownCMDR
5,5paxx0r
6,AdmlAdama
7,Aethir of Menelaus
8,Air Chief Jim
9,Alice Cooper
10,Alkhol
11,Alvivas
12,Ancla
13,Andrew Crisp
14,Anonymous
15,Aranionros Stormrage
16,Ariel Looney
17,Askon Voidborn
18,Astinius
19,astroJR
20,Astrovenator
21,austeregrim
22,Awan
23,b0rys
24,bag of holding
25,BaseKillerWolf
26,Bathuzad
27,Baton
28,BDelacroix
29,Big blk Bruce
30,bigcee75
31,Blain Crighton
32,Bluecrash
33,Bodaishin
34,Borgut86
35,Braden Fanguard
36,Bro x Legend
37,Broadsword1986
38,buck satan
39,Buzz I
40,Camlis
41,Camulorix
42,Canon Fodder
43,Captain-MD
44,Carahan
45,Catsy
46,Certh
47,Chiggi
48,ChreaN
49,Chrismasterski
50,Chundaman
51,Clobbertime
52,ClusterNuke63
53,CodexNecro81
54,Commanjo20X6
55,Copernic Project
56,Coruin
57,Crassus
58,Criddles
59,Crimshadow
60,CriosX
61,Cyclosphere
62,Cymoril Irsei
63,D.D. Harriman
64,DaftMav
65,Dan Soare
66,danubezoe
67,Darius Thrain
68,DarkMoon Picard
69,Darth_Vader
70,Dave Hedgehog
71,Dave Weyland
72,David Mik
73,Deathcow
74,Deltus Infinium
75,Den Elton
76,Denis Gold
77,Denneb
78,Derek Poulter
79,DESERTFOX235
80,DibEnzO diOxiN
81,DMaddogg
82,DMehaffy
83,DNA-Decay
84,Doctor Weird
85,Dodopriester
86,DoG Duggy
87,Dogwood Ivy
88,DonRomeo
89,Doom666
90,Draco Mercator
91,Drake Ramorey
92,Dreamstate
93,DS_Operative
94,Dutch Foster
95,dvr_n
96,Ecthelion
97,Edard
98,Ekial Ravenshaw
99,Electricnacho
100,Erkan Aergan
101,Factabulous
102,Farran
103,Fey Sky
104,FrenchFryBro
105,g1t
106,Galactic Fork
107,gauntl3t_83
108,Geovanny
109,GojiraSamurai
110,GoukaMekkyaku
111,Greenie_4711
112,Grimelinho
113,Grimscrub
114,grypos
115,Gul.duKat
116,GURU-951
117,Halfdan Helgrim
118,HAN CHOCO
119,helaeon
120,Howard P. Ripley
121,Hudiny
122,HunabKU
123,Hyperion-993
124,iamF1
125,Ian Doncaster
126,ichigobankai09
127,InfiniteDreamer
128,INFINITEDREAMER
129,Insane Golgotha
130,Inticus
131,Ishmair
132,Iureka
133,Jacques d'Orleans
134,Jamie Rush
135,JavLara
136,Jaykay
137,Jeet Klo
138,John Allbright
139,JohnTAss
140,Jon Cameron
141,joulupunikki
142,Kahea
143,kal_adar
144,Kataclysim
145,Kaz Archer
146,Kerevan
147,kidfortoday
148,Klumpozyte
149,Kraykray
150,Kuretes
151,Lacesz67
152,Lachann
153,Lain Brigands
154,Landphilz
155,Landslyde
156,Larzok82
157,LCU No Fool Like One
158,Lemonjai
159,Leo Jaleo
160,Lex Fernetti
161,Lexic Meise
162,LivewareCascade
163,LordTyvin
164,Lucius Questor
165,Lucius-Darcia
166,Lydia of the Void
167,MadDavo
168,Madproforg
169,Madraptor
170,Mageinta Warrior
171,Mahlergreen
172,Maiq The Liar
173,Malic
174,Maligno
175,MAPUDAN
176,Mar.Meow
177,Marcus Seldon
178,Markospliff
179,Martind Forlon
180,Marvin871PL
181,Mat2596
182,Mazrix
183,McNicholl
184,Mengy
185,Metroid
186,mGtRd
187,Midnight Ninja
188,Mighty BOB
189,Mikhram
190,mimionline700
191,Mist0
192,Mjr Brownstains
193,ModishNouns
194,Molan Ryke
195,Moleculor
196,Monain
197,Morality Gnashes
198,Mordagen
199,MrRayben123
200,MuggleMarc
201,Mursac
202,Mykl Atrum
203,MYO_Trav
204,Namix
205,Necer
206,Nemac
207,Nemaroth
208,Nexald
209,Nexusprime
210,NinjaDragon80
211,Nivell
212,NLE - Captain Song
213,Node_
214,Nolanus Raven
215,NSR2
216,Nstor1
217,Nwonknu
218,Nyanide
219,Oberdofer
220,Octofox
221,Odr
222,odyss3y
223,Oida Voda
224,olik98
225,Olthuis
226,OneRik
227,Orion Prime
228,Orskaa
229,OverloadRJ45
230,OverSavior
231,Ozric
232,P-R-TRIDGE
233,Panpiper
234,Partyboyky101
235,Petey4335
236,PhoenixBlue0
237,Phrausted
238,PilotPirx
239,Plutonicfever
240,Psykocow
241,pSyren Farseer
242,PwnLuc Jicard
243,Quake Matt
244,Raiss
245,Raj Matheo
246,rbarba
247,Redden Alt-Mer
248,Rex Slacker
249,Rhaider
250,Rigel Kent
251,Rikske
252,Rixat
253,Robbie
254,Roehl Debruys
255,Rollo Rhadium
256,RoninRage
257,Rory Clague
258,RualStorge
259,Russet Eveningshine
260,sashgorokhov
261,Schleichmichel
262,Scotty Ryke
263,Scrotiecraptaco
264,Seamus Donohue
265,Sean Bannon
266,Sgt.Glory
267,SharkBiscuit
268,Sharky
269,Shaye
270,Sheehy
271,Shoryuken
272,Simi2
273,Sinister Hedgehog
274,Sleep Runner
275,Smootherson
276,Solanix
277,Space Telemarketer
278,SPIDD
279,Spock Oddsocks
280,Stamrehn
281,Starry
282,Steve Arthur
283,Steyla
284,Stulli
285,Sunshine SunBurst
286,Surdra
287,Survivor-VT111
288,SWiFT ViiZIONS
289,Syleo
290,Taen
291,Tagom
292,Targrad
293,Tarkumi
294,Tear This Ship Apart
295,Teronis1746
296,Tharrn
297,Thatchinho
298,TheOriginalBastard
299,Thepher
300,Thepirateorc
301,TheProRockPL
302,Thomas Kavendish
303,Thorberg Shavestroke
304,Thorinbur
305,Thunktone
306,tomparkes1993
307,Tuvok
308,uggi75
309,Unknown
310,ussnumbnuts100
311,Vaelel
312,Valcor_
313,Vall
314,vallor
315,Vallysa
316,Varigor
317,Varonica
318,Venacz
319,Vik!ngSail
320,Violet Lightwave
321,Wheity
322,William J Smith
323,Wizard Motor
324,wrah
325,X1R0
326,Xed
327,Xenia_K
328,xNicoyax
329,Yellow Belly' McGee
330,Yimm
331,Yure
332,Zantetzou
333,Zebarmy
334,Zed
335,Zenith
336,Zenith Ddraiglas
337,Zero Shift
338,Zieman
339,Zorbaq
340,ZTiK
