id,systemName
1,102 IOTA TAURI
2,16 H ORIONIS
3,164 G. CANIS MAJORIS
4,2MASS J10433563-5945136
5,2MASS J10433739-6005084
6,2MASS J10444160-5947046
7,2MASS J14272268-5940166
8,2MASS J14274501-5937518
9,2MASS J18171704-1659394
10,2MASS J18181264-1654135
11,2MASS J18183883-1645311
12,5 PUPPIS
13,57 HYDRAE
14,64 VIRGINIS
15,70 G. CARINAE
16,72 TAURI
17,ALAUNUS
18,ARIES DARK REGION AQ-Y D14
19,ARIES DARK REGION DB-X C1-2
20,ARIES DARK REGION DB-X C1-7
21,ARIES DARK REGION DB-X D1-63
22,ARIES DARK REGION DB-X D1-64
23,ARIES DARK REGION FW-W D1-59
24,ARIES DARK REGION FW-W D1-76
25,ARIES DARK REGION GW-W D1-48
26,ARIES DARK REGION GW-W D1-86
27,ARIES DARK REGION HR-W C1-1
28,ARIES DARK REGION HR-W D1-34
29,ARIES DARK REGION HR-W D1-44
30,ARIES DARK REGION HR-W D1-53
31,ARIES DARK REGION HR-W D1-54
32,ARIES DARK REGION IH-V C2-9
33,ARIES DARK REGION IM-V C2-5
34,ARIES DARK REGION JC-V C2-6
35,ARIES DARK REGION JS-T C3-1
36,ARIES DARK REGION JW-W C1-4
37,ARIES DARK REGION KH-V C2-4
38,ARIES DARK REGION MS-T C3-15
39,ARIES DARK REGION MS-T C3-2
40,ARIES DARK REGION MS-T C3-8
41,ARIES DARK REGION MX-U C2-10
42,ARIES DARK REGION MX-U C2-8
43,ARIES DARK REGION NN-T C3-12
44,ARIES DARK REGION OD-S B4-1
45,ARIES DARK REGION OI-T C3-8
46,ARIES DARK REGION PY-R B4-1
47,ARIES DARK REGION VT-R B4-0
48,ASSAIPY LD-K D8-71
49,ATHAIR YO-I D9-272
50,BAULOO LX-U E2-17
51,BD-12 1172
52,BD+38 2037
53,BELAAKO
54,BHOTHO
55,BLAA EAEC NL-L C9-136
56,BLAA HYPAI CZ-D C13-0
57,BLAA HYPAI DD-I B26-0
58,BLAA HYPAI DZ-D C13-1
59,BLAA HYPAI EU-D C13-0
60,BLAA HYPAI GG-V C3-4
61,BLAA HYPAI HW-V D2-6
62,BLAA HYPAI LZ-F B27-0
63,BLAA HYPAI OZ-O D6-0
64,BLAA HYPAI OZ-O D6-16
65,BLAA HYPAI UO-L B10-1
66,BLAA HYPAI XR-I B26-0
67,BLAE DRYE DF-I B57-6
68,BLAE DRYE PE-E D13-6
69,BLAE DRYE VM-G B58-13
70,BLAE DRYE WU-O E6-3
71,BLAE DRYE XU-O E6-22
72,BLAE EORK IF-G C27-13
73,BLAE EORK QU-D D13-3
74,BLAE EORK RK-C D14-15
75,BLAE EORK RU-D D13-17
76,BLAE EORK RU-D D13-20
77,BLAE EORK UL-J B56-1
78,BLAE HYPUE SW-E B28-1
79,BLAU AED GW-T D4-9
80,BLEAE THUA CA-L C10-1
81,BLEETHOAE CM-C D13-208
82,BLEIA DRYIAE HN-S E4-37
83,BLEIA DRYIAE MA-M B54-8
84,BLEIA DRYIAE UP-F B44-1
85,BLEIA EOHN TK-C C27-0
86,BLO AESCS UL-L B41-1
87,BLO AESCS YY-A D80
88,BLODES
89,BLU EUQ BM-C D13-24
90,BLU THUA AE-T B3-5
91,BLU THUA GB-O C6-9
92,BLU THUA HR-N D6-60
93,BLU THUA KF-K B36-1
94,BLU THUA LF-M C21-11
95,BLU THUA OO-X D2-1
96,BLUA EAEC MM-M C23-188
97,BOELTS YK-X E1-626
98,BOEPP XA-D D13-2289
99,BOEPP XA-D D13-2791
100,BOEPP ZK-O E6-226
101,BOEWNST HN-S E4-325
102,BOEWNST TG-J D10-1066
103,BRESTLA
104,BUBBLE SECTOR LX-T B3-1
105,BYAA FLEE MT-N C21-0
106,BYAE AOWSY GR-N D6-52
107,BYEIA EUR BA-A G3
108,BYEIA EURK AS-J C22-43
109,BYOI AIP VA-E D12-143
110,BYOI THUA BU-R D4-32
111,BYOI THUA FY-F D12-0
112,BYOI THUA JI-J D9-9
113,BYOO BRE KS-S D4-0
114,BYOOE CHRAEA JL-P D5-1
115,BYOOMI LT-O D7-4801
116,BYUA AIM HY-F D12-1322
117,BYUA AIM MX-K D8-4056
118,BYUA AIM TE-W C16-130
119,BYUA EUQ KQ-P D5-70
120,CALIFORNIA SECTOR BA-A E6
121,CALIFORNIA SECTOR DL-Y D4
122,CALIFORNIA SECTOR HR-W D1-28
123,CALIFORNIA SECTOR JH-V C2-12
124,CALIFORNIA SECTOR LC-V C2-10
125,CAT'S PAW SECTOR LS-T B3-5
126,CAVE SECTOR FB-X C1-3
127,CAVE SECTOR JH-V C2-8
128,CD-24 13810
129,CD-24 13823D
130,CD-24 13844
131,CD-26 1339
132,CD-39 6137
133,CD-41 11037
134,CEPHEI SECTOR NX-U B2-0
135,CHAEA THAA EV-G D10-0
136,CHAEA THUA ZP-F C11-1
137,CHARICK DRIFT
138,CHI HYDRAE
139,CHI PERSEI SECTOR IX-S D4-57
140,CHO EUR OM-W D1-15
141,CHONA
142,CHRAISAO FF-A D12
143,CHRAISOAE HC-M D7-14
144,CHRAISOU AK-R D4-41
145,CHRAISUAE NF-Q C5-1
146,CHRAISUAE UD-T D3-1
147,CHREETAA PP-B B0
148,CHU THUA HS-J B36-0
149,CLOOKEOU RF-D D13-84
150,CLOOKEOU VL-B D14-114
151,CLOOKEOU VL-B D14-121
152,CLOOKUIA AW-V B16-0
153,CLOOKUIA FX-S C17-0
154,CLOOKUIA IZ-L B35-0
155,CLOOKUIA LT-T C3-3
156,CLOOKUIA MI-K D8-2
157,CLOOKUIA OI-K D8-8
158,COALSACK DARK REGION YJ-A D57
159,COELACHI
160,COL 132 SECTOR GH-V E2-13
161,COL 132 SECTOR IN-S D4-64
162,COL 132 SECTOR LJ-O B36-3
163,COL 132 SECTOR NT-Q D5-51
164,COL 132 SECTOR UB-R C19-5
165,COL 132 SECTOR WD-N B9-1
166,COL 135 SECTOR BC-K B9-0
167,COL 135 SECTOR DL-N B7-0
168,COL 135 SECTOR FR-V C2-19
169,COL 135 SECTOR LC-V D2-62
170,COL 135 SECTOR RO-Q C5-5
171,COL 135 SECTOR RO-Q C5-7
172,COL 135 SECTOR TU-O C6-15
173,COL 135 SECTOR TU-O C6-8
174,COL 135 SECTOR UU-O C6-2
175,COL 140 SECTOR IH-V D2-44
176,COL 173 SECTOR AB-N D7-34
177,COL 173 SECTOR AI-H C11-22
178,COL 173 SECTOR AP-Q B21-2
179,COL 173 SECTOR AU-Y B30-2
180,COL 173 SECTOR AV-N B23-5
181,COL 173 SECTOR AY-F C12-0
182,COL 173 SECTOR BH-K B25-8
183,COL 173 SECTOR BH-L D8-72
184,COL 173 SECTOR BN-Y C15-3
185,COL 173 SECTOR BO-F C12-24
186,COL 173 SECTOR BV-M B24-10
187,COL 173 SECTOR BV-O D6-55
188,COL 173 SECTOR BX-I C10-7
189,COL 173 SECTOR CC-K B25-8
190,COL 173 SECTOR CG-M B24-8
191,COL 173 SECTOR CH-L D8-14
192,COL 173 SECTOR CI-Y C15-1
193,COL 173 SECTOR DG-M B24-4
194,COL 173 SECTOR DG-M B24-5
195,COL 173 SECTOR DH-K B25-2
196,COL 173 SECTOR DK-Y B30-2
197,COL 173 SECTOR DM-U D3-82
198,COL 173 SECTOR DO-F C12-4
199,COL 173 SECTOR DZ-D C13-2
200,COL 173 SECTOR EC-K B25-0
201,COL 173 SECTOR EC-L D8-54
202,COL 173 SECTOR EM-L D8-69
203,COL 173 SECTOR EZ-D C13-25
204,COL 173 SECTOR FC-L D8-28
205,COL 173 SECTOR FS-I C10-2
206,COL 173 SECTOR FZ-D C13-30
207,COL 173 SECTOR GA-O B23-1
208,COL 173 SECTOR GA-O B23-4
209,COL 173 SECTOR GG-E B28-3
210,COL 173 SECTOR GS-J B25-4
211,COL 173 SECTOR HI-M A55-0
212,COL 173 SECTOR HM-Z B28-1
213,COL 173 SECTOR HN-I B26-5
214,COL 173 SECTOR HN-J D9-52
215,COL 173 SECTOR HP-D C13-11
216,COL 173 SECTOR HR-M B23-3
217,COL 173 SECTOR HS-S D4-77
218,COL 173 SECTOR HU-D C13-2
219,COL 173 SECTOR IJ-G B27-1
220,COL 173 SECTOR IL-M C8-5
221,COL 173 SECTOR IV-F B27-1
222,COL 173 SECTOR JB-F B27-1
223,COL 173 SECTOR JI-J B25-0
224,COL 173 SECTOR JP-D C13-14
225,COL 173 SECTOR JX-K B24-0
226,COL 173 SECTOR KN-J B25-5
227,COL 173 SECTOR KP-T B34-8
228,COL 173 SECTOR KS-J D9-37
229,COL 173 SECTOR KT-G B40-2
230,COL 173 SECTOR KY-Q D5-13
231,COL 173 SECTOR KY-Q D5-26
232,COL 173 SECTOR KY-Q D5-47
233,COL 173 SECTOR KY-Q D5-9
234,COL 173 SECTOR LB-W B31-0
235,COL 173 SECTOR LD-R D5-18
236,COL 173 SECTOR LD-R D5-19
