"id","key","value","type","environment","tag"
1,core_application,"{""name"":""CAPIv2"",""description"":""Canonn APIv2""}",object,"",""
2,plugin_users-permissions_grant,"{""email"":{""enabled"":true,""icon"":""envelope""},""discord"":{""enabled"":false,""icon"":""comments"",""key"":"""",""secret"":"""",""callback"":""/auth/discord/callback"",""scope"":[""identify"",""email""]},""facebook"":{""enabled"":false,""icon"":""facebook-official"",""key"":"""",""secret"":"""",""callback"":""/auth/facebook/callback"",""scope"":[""email""]},""google"":{""enabled"":false,""icon"":""google"",""key"":"""",""secret"":"""",""callback"":""/auth/google/callback"",""scope"":[""email""]},""github"":{""enabled"":false,""icon"":""github"",""key"":"""",""secret"":"""",""redirect_uri"":""/auth/github/callback"",""scope"":[""user"",""user:email""]},""microsoft"":{""enabled"":false,""icon"":""windows"",""key"":"""",""secret"":"""",""callback"":""/auth/microsoft/callback"",""scope"":[""user.read""]},""twitter"":{""enabled"":false,""icon"":""twitter"",""key"":"""",""secret"":"""",""callback"":""/auth/twitter/callback""}}",object,"",""
3,plugin_email_provider,"{""provider"":""sendmail"",""name"":""Sendmail"",""auth"":{""sendmail_default_from"":{""label"":""Sendmail Default From"",""type"":""text""},""sendmail_default_replyto"":{""label"":""Sendmail Default Reply-To"",""type"":""text""}}}",object,development,""
4,plugin_upload_provider,"{""provider"":""local"",""name"":""Local server"",""enabled"":true,""sizeLimit"":1000000}",object,development,""
6,plugin_users-permissions_email,"{""reset_password"":{""display"":""Email.template.reset_password"",""icon"":""refresh"",""options"":{""from"":{""name"":""Canonn AI (No-Reply)"",""email"":""no-reply@canonn.technology""},""response_email"":""rd@canonn.technoogy"",""object"":""Canonn R&D - ­Reset password"",""message"":""<p>Hello CMDR,</p>nn<p>We heard that a Thargoid stole your password!</p>nn<p>But don’t worry! You can use the following link to reset it:</p>nn<p>Please <a href=""""<%= URL %>?code=<%= TOKEN %>"""">click here</a> to reset it.</p>nn<p>Thank you CMDR o7 ,</p>nn<p>Canonn R&D Team</p>""}},""email_confirmation"":{""display"":""Email.template.email_confirmation"",""icon"":""check-square-o"",""options"":{""from"":{""name"":""Canonn AI (No-Reply)"",""email"":""no-reply@canonn.technology""},""response_email"":""rd@canonn.technology"",""object"":""Canonn API - Account confirmation"",""message"":""<p>Thank you for registering CMDR!</p>nn<p>You have to confirm your email address. Please click on the link below.</p>nn<p>Please <a href=""""<%= URL %>?confirmation=<%= CODE %>"""">click here</a> to complete.</p>nn<p>Thank you o7 ,</p>nn<p>Canonn R&D Team</p""}}}",object,"",""
7,plugin_users-permissions_advanced,"{""unique_email"":false,""allow_register"":true,""email_confirmation"":false,""email_confirmation_redirection"":""https://api.canonn.tech:2083/admin"",""default_role"":""authenticated""}",object,"",""
8,db_model_bmsites,"{""system"":{""model"":""system""},""body"":{""model"":""body""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""count"":{""min"":1,""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,"",""
9,db_model_btsites,"{""system"":{""model"":""system""},""body"":{""model"":""body""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""count"":{""min"":1,""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,"",""
10,db_model_fgsites,"{""system"":{""model"":""system""},""body"":{""model"":""body""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""count"":{""min"":1,""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,"",""
11,db_model_fmsites,"{""system"":{""model"":""system""},""body"":{""model"":""body""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""count"":{""min"":1,""type"":""integer""},""type"":{""model"":""fmtype""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,"",""
