id,type,journalName,journalID
1,Unknown,\N,\N
2,Sulphur Dioxide Fumarole,codex_ent_fumarole_sulphurdioxidemagma_name,21011
3,Water Fumarole,codex_ent_fumarole_watergeysers_name,21012
4,Silicate Vapour Fumarole,codex_ent_fumarole_silicatevapourgeysers_name,21013
5,Sulphur Dioxide Ice Fumarole,codex_ent_icefumarole_sulphurdioxidemagma_name,21031
6,Water Ice Fumarole,codex_ent_icefumarole_watergeysers_name,21032
7,Carbon Dioxide Ice Fumarole,codex_ent_icefumarole_carbondioxidegeysers_name,21033
8,Ammonia Ice Fumarole,codex_ent_icefumarole_ammoniageysers_name,21034
9,Methane Ice Fumarole,codex_ent_icefumarole_methanegeysers_name,21035
10,Nitrogen Ice Fumarole,codex_ent_icefumarole_nitrogengeysers_name,21036
11,Silicate Vapour Ice Fumarole,codex_ent_icefumarole_silicatevapourgeysers_name,21037
