id,gsCodexCategory,gsPrimaryArtifact,gsSecondaryArtifact,codexNumber,text
1,1,7,10,1,"Barnacle Seeding: This is very revealing. The data appears to explain why the Thargoids seeded a number of planets with barnacles in what eventually became Guardian space, millions of years ago. As we know, Thargoid barnacles are designed to extract resources from a planet and transform them into meta-alloys – an essential ingredient in the creation of Thargoid ships and technologies. The Guardians surmised that for the Thargoids, seeding a planet with barnacles is an important process in preparing an area for occupation."
2,1,7,11,2,"The War Begins: This data details the start of the conﬂict between the Guardians and the Thargoids. Several thousand years after they seeded planets in Guardian space with barnacles. the Thargoids returned. Of course, they discovered that the planets they had seeded were now occupied by the Guardians! The Thargoids immediately launched an assault. making no effort to communicate with the Guardians, which tallies with the Thargoids’ behaviour in human space."
3,1,7,9,3,"Unsuccessful Truce: This data supports my theory that the Guardians were gifted linguists. At some point after the war with the Thargoids began, the Guardians were forced to make a partial retreat. It seems they were still trying to communicate with the Thargoids, and were reluctant to take up arms against them. Eventually they managed to develop sufficient understanding of the Thargoids’ language to communicate, but it did the Guardians little good. The Thargoids were determined to continue hostilities, and the Guardians were forced to employ more aggressive methods to address the Thargoid threat."
4,1,7,8,4,"The War Machine: The data in this log details the methods used by the guardians against the Thargoids. At first they deployed ground troops, but when this proved ineffective they started to use drones – autonomous machines that felt no fear, fatigue or uncertainty. These war machines became highly sophisticated in a relatively short amount of time, and were soon able to identify and target anything that utilised Thargoid engineering. Even more remarkably, Thargoid bio-mechanical technology was engineered to recognise anything of Guardian origin. That explains why, millions of years after the conflict, Thargoids devices still react aggressively to the presence of Guardian technology."
5,1,7,12,5,"Victory: This log describes the end of the conflict between the Guardians and Thargoids. It appears the Thargoids entered Guardian space unprepared for a protracted military campaign, and after facing a relentless onslaught from the Guardians’ war machines they were forced to retreat. The log also mentions that the development of the Guardians’ war machines created a schism in their society, which may have seeded the civil war that occurred later in their history."
6,2,1,2,6,"Dawn of the Constructs: This log details the Guardians’ development of artiﬁcial intelligence. It appears the Guardians experimented with artiﬁcial intelligence prior to the invention of the monolith network, but the creation of the network and the knowledge-sharing it facilitated dramatically accelerated the rate of progress. Eventually. the Guardians’ experiments bore fruit, resulting in the ﬁrst fully sentient machines. These Constructs were seen as a means to enhance the Guardians’ technological mastery, and were integrated into various aspects of their society. Neural implants were developed that connected the Guardians with both the Constructs and the monolith network in a symbiotic circle. It is truly remarkable."
7,2,1,4,7,"The Schism: This data describes the motives behind the second Guardian civil war, which ultimately lead to their demise. The Guardians had a deep veneration of nature, and many of them saw the development of advanced technologies, such as artificial intelligence, as a perversion of the natural order. A schism emerged between the nature-worshipping traditionalists and the technologically minded progressives – a divide that widened with alarming speed. Efforts where made to defuse the rising tension, but the traditionalists felt alienated by the rapid rate of change. Artificial intelligence and the development of the monolith network became scapegoats for all manner of social ills, and the traditionalists began to clamour for a return to simpler times. Ultimately the ideological divergence proved insurmountable, a second civil war erupted, quickly engulfing most of the Guardians’ star systems."
8,2,1,5,8,"Two Tribes: This log reveals more about the sides that fought in the second civil war. In its early stages, the war was fought primarily by soldiers, but within a decade – and after significant loss of life – most of the fighting was conducted remotely. The progressives fought with automated combat machines. These engines of war took various forms, from autonomous drones to vast, lumbering dreadnoughts imbued with limited artificial intelligence. On the other side, the traditionalists relied mostly on biological weapons. They used germ warfare alongside long-range missiles loaded with corrosive enzymes, which could target the enemy’s war machines from a great distance."
9,2,1,3,9,"Ancestor Worship: This log outlines the downfall of the traditionalist faction during the second Guardian civil war. The main issue was the internecine nature of the conflict, which raged for over one hundred years and brought the Guardians’ civilisation to its knees, retarding any further social development. But the challenges facing the traditionalists were exacerbated by the fact that they devoted most of their resources to honouring the dead. From what I can gather, they regarded the departed in much the same way as the primitive cultures of Sol, constructing vast shrines to honour the deceased. As their situation worsened, they became increasingly obsessed with these practices. With so much of their resources dedicated to these rites, it is little wonder that their enemies’ war machines were able to overwhelm them."
10,2,1,6,10,"Annihilation: This log concerns the end of the second civil war. Remarkably, it seems the artificial intelligences developed during the conflict became fully self aware at some point, and were horrified by the destruction unfolding around them. It’s difficult to get a sense of exactly what happened next, as the Guardians were not privy to the Constructs’ thoughts. But reading between the lines, I believe the Constructs determined that even if peace was restored the Guardians would never be able to transcend their violent natures. I believe they decided that the only way to preclude further violence – while giving their own burgeoning society the best possible chance of survival – was to destroy what remained of the Guardians’ civilisation. By this time, the Constructs had complete control of the Guardians’ munitions and automated war machines. Their attack, when it came, was swift and merciless. Strategic nuclear and chemical-weapon strikes were executed with a precision that only a machine race could accomplish. The few that survived were able to record what had happened, but they soon succumbed to radiation poisoning. The Guardians were utterly destroyed."
11,3,2,3,11,"Weapons Development: This log describes the Guardians’ weapon technology. It seems they developed electro-magnetic projectile weapons early in their modern period, utilising the same technology they used to launch their first spacecraft. These weapons ionised the path their target before firing focused bolts of energy along the ionised track. they were crude and unpredictable at first, sometimes resulting in the death of the wielder, but once the Guardians learned to regulate the ionisation process they became more stable."
12,3,2,2,12,"Defenses: This data relates to Guardian Shield technology. Of course, i already knew they had developed extremely effective shields, capable of protecting entire cities and even of withstanding orbital bombardment. And i was aware that their shields were effective against both laser weapons and kinetic projectiles. But is remarkable to consider that this technology was developed millions of years ago, relatively early in the Guardian’s evolutionary timeline."
13,3,2,1,13,"Starships: This data provides further insights into the Guardians ship technology. We already know how ecologically conscientious the Guardians were, and of their assiduous avoidance of rockets and fossil fuels, so it isn’t surprising to discover that their first spacecraft were fired into space with electromagnetic launchers. Of course, this was an imperfect system that did not allow pilots to adjust their course after launch. Over time, the Guardians starships became much more sophisticated, but their approach to space travel remained rooted in a respect for the natural world, and their interplanetary expansion was fueled by clean nuclear fission and fusion. Their ships could travel at speeds approximating those of our own present-day craft. Unfortunately the data included no schematic information, so it seems likely that the details have been lost. Its a shame – I’m sure the pilots federation would have liked to know more about the Guardians spacecraft."
14,3,3,5,14,"Sentinels: This data concerns the automated defense systems found at Guardian sites. You may have already encountered them. The data indicates that these Sentinels date from some time prior to the second Guardian civil war. They are designed to respond aggressively to any unauthorised activity around the ruins. If you are forced to defend yourself, kinetic weaponry would be your best form of attack, since the Sentinels have no shields. Sentinel weapon parts and wreckage are of considerable value, so the loss is not signiﬁcant."
15,3,3,1,15,"Data Terminals: Remarkable! This log actually contains the blueprints for the Guardians’ data terminals. As you know, these terminals were used to store schematics for weapons and other sophisticated technologies. They are linked to energy pylons, scattered across Guardian sites, by some form of computer program. Of course, this system has been dormant for millennia. But targeting the pylons with an energy weapon will increase the change within. Essentially, we can awaken the system."
16,1,3,6,16,"Material Panels: This log details the construction of the panels found at certain Guardian sites. As I suspected, the panels are made from a unique alloy, manufactured from a metal I have yet to identify. Even more remarkably, the panels appear to incorporate nanobot technology. which activates when in proximity to a foreign body. This explains the faint glow given off by many Guardian materials and structures. This is an extraordinary discovery. Humanity has dabbled with nano technology, but evidently the Guardians’ achievements far surpassed our own."
17,3,3,4,17,"Relics: This data relates to the objects we have termed “Guardian relics”. These blue crystals are part power source, part computer, part key — and apparently played a central role in Guardian technology. Remarkably, it seems the crystals were grown rather than mined. The log is light on details, but from what I’ve been able to piece together, each crystal was designed to fulfill a specific purpose within the Guardian’s technological network. And, like the panels found at many Guardian sites, the relics incorporate nanobot technology."
