id,gsType,gsObeliskGroup,obeliskNumber,broken,gsCodexData,verified
1,1,1,01,1,NULL,1
2,1,1,02,0,14,0
3,1,1,03,0,16,0
4,1,1,04,0,17,0
5,1,1,05,0,20,0
6,1,1,06,0,10,0
7,1,2,01,0,20,0
8,1,2,02,1,NULL,1
9,1,2,03,0,17,0
10,1,2,04,0,26,0
11,1,2,05,0,26,0
12,1,2,06,1,NULL,1
13,1,2,07,0,24,0
14,1,2,08,0,16,0
15,1,2,09,1,NULL,1
16,1,2,10,1,NULL,1
17,1,2,11,1,NULL,1
18,1,2,12,1,NULL,1
19,1,2,13,1,NULL,1
20,1,2,14,1,NULL,1
21,1,3,01,1,NULL,1
22,1,3,02,1,NULL,1
23,1,3,03,1,NULL,1
24,1,3,04,1,NULL,1
25,1,3,05,1,NULL,1
26,1,3,06,1,NULL,1
27,1,3,07,1,NULL,1
28,1,3,08,1,NULL,1
29,1,3,09,1,NULL,1
30,1,3,10,1,NULL,1
31,1,3,11,1,NULL,1
32,1,3,12,1,NULL,1
33,1,4,01,1,NULL,1
34,1,4,02,1,NULL,1
35,1,4,03,1,NULL,1
36,1,4,04,1,NULL,1
37,1,4,05,0,24,0
38,1,4,06,0,16,0
39,1,4,07,0,26,0
40,1,4,08,0,17,0
41,1,4,09,0,14,0
42,1,4,10,0,10,0
43,1,4,11,0,20,0
44,1,4,12,0,14,0
45,1,4,13,0,10,0
46,1,4,14,0,26,0
47,2,5,01,0,14,0
48,2,5,02,1,NULL,1
49,2,5,03,1,NULL,1
50,2,5,04,1,NULL,1
51,2,5,05,0,3,0
52,2,5,06,0,27,0
53,2,5,07,0,NULL,
54,2,5,08,0,20,0
55,2,5,09,0,17,0
56,2,5,10,0,16,0
57,2,6,01,1,NULL,1
58,2,6,02,0,14,0
59,2,6,03,0,16,0
60,2,6,04,0,17,0
61,2,6,05,1,NULL,1
62,2,6,06,0,20,0
63,2,6,07,1,NULL,1
64,2,6,08,1,NULL,1
65,2,6,09,0,3,0
66,2,6,10,1,NULL,1
67,2,6,11,0,27,0
68,2,6,12,1,NULL,1
69,2,7,01,1,NULL,1
70,2,7,02,0,27,0
71,2,7,03,0,3,0
72,2,7,04,0,NULL,
73,2,7,05,0,14,0
74,2,8,01,0,20,0
75,2,8,02,0,17,0
76,2,8,03,0,16,0
77,2,8,04,0,3,0
78,2,8,05,1,NULL,1
79,3,9,01,0,25,0
80,3,9,02,1,NULL,1
81,3,9,03,0,20,0
82,3,9,04,0,17,0
83,3,9,05,1,NULL,1
84,3,9,06,0,23,0
85,3,9,07,0,28,0
86,3,9,08,0,16,0
87,3,9,09,1,NULL,1
88,3,9,10,0,14,0
89,3,9,11,1,NULL,1
90,3,9,12,1,NULL,1
91,3,10,01,1,NULL,1
92,3,10,02,0,25,0
93,3,10,03,0,28,0
94,3,10,04,0,NULL,
