"id","type"
1,Alcatraz Class Prison Ship
2,Aquarius Class Tanker
3,Banner Class Bulk Cargo Ship
4,Bellmarsh Class Prison Ship
5,Bowman Class Science Vessel
6,Demeter Class Agricultural Vessel
7,Dionysus Class Agricultural Vessel
8,Gordon Class Bulk Cargo Ship
9,Henry Class Bulk Cargo Ship
10,Hercules Class Bulk Cargo Ship
11,Hogan Class Bulk Cargo Ship
12,Lowell Class Science Vessel
13,Megaship
14,Naphtha Class Tanker
15,Riker Class Prison Ship
16,Sagan Class Tourist Ship
17,Samson Class Bulk Cargo Ship
18,Sanchez Class Science Vessel
19,Survey Vessel
20,Thomas Class Bulk Cargo Ship
21,Unknown
