"id","type","controller","action","enabled","policy","role"
1,application,bmreport,count,1,"",1
2,application,bmreport,count,1,"",2
3,application,bmreport,count,1,"",3
4,application,bmreport,create,1,"",1
5,application,bmreport,create,1,"",2
6,application,bmreport,create,1,"",3
7,application,bmreport,createrelation,1,"",1
8,application,bmreport,createrelation,1,"",2
9,application,bmreport,createrelation,1,"",3
10,application,bmreport,destroy,1,"",1
11,application,bmreport,destroy,0,"",2
12,application,bmreport,destroy,0,"",3
13,application,bmreport,destroyrelation,1,"",1
14,application,bmreport,destroyrelation,0,"",2
15,application,bmreport,destroyrelation,0,"",3
16,application,bmreport,find,1,"",1
17,application,bmreport,find,1,"",2
18,application,bmreport,find,1,"",3
19,application,bmreport,findone,1,"",1
20,application,bmreport,findone,1,"",2
21,application,bmreport,findone,1,"",3
22,application,bmreport,update,1,"",1
23,application,bmreport,update,1,"",2
24,application,bmreport,update,1,"",3
25,application,bmreport,updaterelation,1,"",1
26,application,bmreport,updaterelation,1,"",2
27,application,bmreport,updaterelation,1,"",3
28,application,bmsite,count,1,"",1
29,application,bmsite,count,1,"",2
30,application,bmsite,count,1,"",3
31,application,bmsite,create,1,"",1
32,application,bmsite,create,0,"",2
33,application,bmsite,create,0,"",3
34,application,bmsite,createrelation,1,"",1
35,application,bmsite,createrelation,0,"",2
36,application,bmsite,createrelation,0,"",3
37,application,bmsite,destroy,1,"",1
38,application,bmsite,destroy,0,"",2
39,application,bmsite,destroy,0,"",3
40,application,bmsite,destroyrelation,1,"",1
41,application,bmsite,destroyrelation,0,"",2
42,application,bmsite,destroyrelation,0,"",3
43,application,bmsite,find,1,"",1
44,application,bmsite,find,1,"",2
45,application,bmsite,find,1,"",3
46,application,bmsite,findone,1,"",1
47,application,bmsite,findone,1,"",2
48,application,bmsite,findone,1,"",3
49,application,bmsite,update,1,"",1
50,application,bmsite,update,0,"",2
51,application,bmsite,update,0,"",3
52,application,bmsite,updaterelation,1,"",1
53,application,bmsite,updaterelation,0,"",2
54,application,bmsite,updaterelation,0,"",3
55,application,body,count,1,"",1
56,application,body,count,1,"",2
57,application,body,count,1,"",3
58,application,body,create,1,"",1
59,application,body,create,0,"",2
60,application,body,create,0,"",3
61,application,body,createrelation,1,"",1
62,application,body,createrelation,0,"",2
63,application,body,createrelation,0,"",3
64,application,body,destroy,1,"",1
65,application,body,destroy,0,"",2
66,application,body,destroy,0,"",3
67,application,body,destroyrelation,1,"",1
68,application,body,destroyrelation,0,"",2
69,application,body,destroyrelation,0,"",3
70,application,body,find,1,"",1
71,application,body,find,1,"",2
72,application,body,find,1,"",3
73,application,body,findone,1,"",1
74,application,body,findone,1,"",2
75,application,body,findone,1,"",3
76,application,body,update,1,"",1
77,application,body,update,0,"",2
78,application,body,update,0,"",3
79,application,body,updaterelation,1,"",1
80,application,body,updaterelation,0,"",2
81,application,body,updaterelation,0,"",3
82,application,btreport,count,1,"",1
83,application,btreport,count,1,"",2
84,application,btreport,count,1,"",3
85,application,btreport,create,1,"",1
