id,type,journalName
1,Anomaly,NULL
2,Ceremonial Comms,USS_Type_Ceremonial
3,Combat Aftermath,USS_Type_Aftermath
4,Convoy Dispersal Pattern,USS_Type_Convoy
5,Degraded Emissions,USS_Type_Salvage
6,Distress Call,USS_Type_DistressSignal
7,Encoded Emissions,USS_Type_ValuableSalvage
8,High Grade Emissions,USS_Type_VeryValuableSalvage
9,Mission Target,USS_Type_MissionTarget
10,Non-Human Signal Source,USS_Type_NonHuman
11,Trading Beacon,USS_Type_TradingBeacon
12,Weapons Fire,USS_Type_WeaponsFire
