"id","key","value","type","environment","tag"
1,db_model_bmsites,"{""system"":{""model"":""system""},""body"":{""model"":""body""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""count"":{""min"":1,""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
2,db_model_btsites,"{""system"":{""model"":""system""},""body"":{""model"":""body""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""count"":{""min"":1,""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
5,db_model_fgreports,"{""systemName"":{""type"":""string"",""required"":true},""bodyName"":{""type"":""string"",""required"":true},""latitude"":{""type"":""float"",""required"":true,""min"":-90,""max"":90},""longitude"":{""type"":""float"",""required"":true,""min"":-180,""max"":180},""count"":{""min"":1,""type"":""integer""},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""isBeta"":{""type"":""boolean""},""screenshot"":{""collection"":""file"",""via"":""related"",""plugin"":""upload""},""reportStatus"":{""default"":""pending"",""type"":""enumeration"",""required"":true,""enum"":[""pending"","" updated"","" accepted"","" declined"","" issue""]},""reportComment"":{""type"":""text""},""voteCount"":{""type"":""integer""},""added"":{""type"":""boolean""},""site"":{""model"":""fgsite""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
6,db_model_fgsites,"{""system"":{""model"":""system""},""body"":{""model"":""body""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""count"":{""min"":1,""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
7,db_model_btreports,"{""systemName"":{""type"":""string"",""required"":true},""bodyName"":{""type"":""string"",""required"":true},""latitude"":{""type"":""float"",""required"":true,""min"":-90,""max"":90},""longitude"":{""type"":""float"",""required"":true,""min"":-180,""max"":180},""count"":{""min"":1,""type"":""integer""},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""isBeta"":{""type"":""boolean""},""screenshot"":{""collection"":""file"",""via"":""related"",""plugin"":""upload""},""reportStatus"":{""default"":""pending"",""type"":""enumeration"",""required"":true,""enum"":[""pending"","" updated"","" accepted"","" declined"","" issue""]},""reportComment"":{""type"":""text""},""voteCount"":{""type"":""integer""},""added"":{""type"":""boolean""},""site"":{""model"":""btsite""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
8,db_model_fmsites,"{""system"":{""model"":""system""},""body"":{""model"":""body""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""count"":{""min"":1,""type"":""integer""},""type"":{""model"":""fmtype""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
9,db_model_gractivegroups,"{""grSite"":{""model"":""grsite"",""via"":""activeGroups""},""activeGroup"":{""model"":""grobeliskgroup"",""dominant"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
10,db_model_genreports,"{""systemName"":{""type"":""string"",""required"":true},""orbitBody"":{""type"":""string""},""shipName"":{""type"":""string"",""required"":true},""directionSystem"":{""type"":""string""},""distance"":{""type"":""float""},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""isBeta"":{""type"":""boolean""},""screenshot"":{""collection"":""file"",""via"":""related"",""plugin"":""upload""},""reportStatus"":{""default"":""pending"",""type"":""enumeration"",""required"":true,""enum"":[""pending"","" updated"","" accepted"","" declined"","" issue""]},""reportComment"":{""type"":""text""},""voteCount"":{""type"":""integer""},""added"":{""type"":""boolean""},""site"":{""model"":""gensite""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
11,db_model_grobelisks,"{""grType"":{""model"":""grtype""},""grObeliskGroup"":{""model"":""grobeliskgroup""},""obeliskNumber"":{""min"":1,""type"":""integer"",""required"":true},""broken"":{""type"":""boolean""},""grCodexData"":{""model"":""grcodexdata""},""verified"":{""type"":""boolean""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
12,db_model_grobeliskreports,"{""grreport"":{""model"":""grreport"",""via"":""grobeliskreport""},""grobelisk"":{""model"":""grobelisk""}}",object,,
13,db_model_bodies,"{""system"":{""model"":""system"",""via"":""bodies""},""bodyName"":{""type"":""string"",""required"":true},""edsmID"":{""type"":""float""},""edsmID64"":{""type"":""float""},""edsmBodyID"":{""type"":""integer""},""edsmType"":{""type"":""string""},""edsmSubtype"":{""type"":""string""},""edsmOffset"":{""type"":""integer""},""edsmDistanceToArrival"":{""type"":""float""},""edsmIsMainStar"":{""type"":""boolean""},""edsmIsScoopable"":{""type"":""boolean""},""edsmIsLandable"":{""type"":""boolean""},""edsmAge"":{""type"":""integer""},""edsmLuminosity"":{""type"":""string""},""edsmAbsoluteMagnitude"":{""type"":""float""},""edsmSolarMasses"":{""type"":""float""},""edsmSolarRadius"":{""type"":""float""},""edsmGravity"":{""type"":""float""},""edsmEarthMasses"":{""type"":""float""},""edsmRadius"":{""type"":""float""},""edsmSurfaceTemperature"":{""type"":""float""},""edsmSurfacePressure"":{""type"":""float""},""edsmVolcanismType"":{""type"":""string""},""edsmAtmosphereType"":{""type"":""string""},""edsmTerraformingState"":{""type"":""string""},""edsmOrbitalPeriod"":{""type"":""float""},""edsmSemiMajorAxis"":{""type"":""float""},""edsmOrbitalEccentricity"":{""type"":""float""},""edsmOrbitalInclination"":{""type"":""float""},""edsmArgOfPeriapsis"":{""type"":""float""},""edsmRotationalPeriod"":{""type"":""float""},""edsmRotationalPeriodTidallyLocked"":{""type"":""boolean""},""edsmAxialTilt"":{""type"":""float""},""edsmSolidComposition"":{""type"":""json""},""edsmAtmosphere"":{""type"":""json""},""edsmMaterial"":{""type"":""json""},""rings"":{""collection"":""ring"",""via"":""body"",""dominant"":true,""isVirtual"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
14,db_model_fmtypes,"{""type"":{""unique"":true,""type"":""string"",""required"":true}}",object,,
15,db_model_grobeliskgroupreports,"{""grreport"":{""model"":""grreport"",""via"":""grobeliskgroupreport""},""grobeliskgroup"":{""model"":""grobeliskgroup""}}",object,,
16,db_model_factionkillreports,"{""systemName"":{""type"":""string""},""edTimestamp"":{""type"":""date""},""cmdrName"":{""type"":""string""},""reward"":{""type"":""integer""},""rewardingFaction"":{""type"":""string""},""victimFaction"":{""type"":""string""},""rawEvent"":{""type"":""json""},""isbeta"":{""type"":""boolean""}}",object,,
17,db_model_grartifacts,"{""artifactName"":{""unique"":true,""type"":""string"",""required"":true}}",object,,
18,db_model_gractiveobelisks,"{""grSite"":{""model"":""grsite"",""via"":""activeObelisks""},""activeObelisk"":{""model"":""grobelisk""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
21,db_model_cmdrs,"{""cmdrName"":{""unique"":true,""type"":""string"",""required"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
22,db_model_grsites,"{""system"":{""model"":""system""},""body"":{""model"":""body""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""model"":""grtype""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""activeGroups"":{""collection"":""gractivegroup"",""via"":""grSite"",""isVirtual"":true},""activeObelisks"":{""collection"":""gractiveobelisk"",""via"":""grSite"",""isVirtual"":true},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
23,db_model_grcodexdata,"{""grCodexCategory"":{""model"":""grcodexcategory""},""grPrimaryArtifact"":{""model"":""grartifact""},""grSecondaryArtifact"":{""model"":""grartifact""},""codexNumber"":{""min"":1,""type"":""integer"",""required"":true},""text"":{""unique"":true,""type"":""text"",""required"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
24,db_model_gensites,"{""system"":{""model"":""system""},""body"":{""model"":""body""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""shipName"":{""unique"":true,""type"":""string"",""required"":true},""directionSystem"":{""model"":""system""},""distance"":{""type"":""float""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
25,db_model_gsobelisks,"{""gsType"":{""model"":""gstype""},""gsObeliskGroup"":{""model"":""gsobeliskgroup""},""obeliskNumber"":{""min"":1,""type"":""integer"",""required"":true},""broken"":{""type"":""boolean""},""gsCodexData"":{""model"":""gscodexdata""},""verified"":{""type"":""boolean""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
26,db_model_gsactiveobelisks,"{""gsSite"":{""model"":""gssite"",""via"":""activeObelisks""},""gsObelisk"":{""model"":""gsobelisk""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
27,db_model_gsobeliskreports,"{""gsreport"":{""model"":""gsreport"",""via"":""gsobeliskreport""},""gsobelisk"":{""model"":""gsobelisk""}}",object,,
28,db_model_gysites,"{""system"":{""model"":""system""},""body"":{""model"":""body""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""count"":{""min"":1,""type"":""integer""},""type"":{""model"":""gytype""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
29,db_model_grobeliskgroups,"{""grType"":{""model"":""grtype""},""groupName"":{""type"":""string"",""required"":true},""amount"":{""min"":1,""type"":""integer"",""required"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
30,db_model_gscodexdata,"{""gsCodexCategory"":{""model"":""gscodexcategory""},""gsPrimaryArtifact"":{""model"":""gsartifact""},""gsSecondaryArtifact"":{""model"":""gsartifact""},""codexNumber"":{""min"":1,""type"":""integer"",""required"":true},""text"":{""unique"":true,""type"":""text"",""required"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
31,db_model_grcodexcategories,"{""categoryName"":{""type"":""string""}}",object,,
