"id","`key`","value","`type`","environment","tag"
1,core_application,"{""name"":""Canonn APIv2"",""description"":""Canonn API for all the Elite Dangerous Science Data""}",object,"",""
2,plugin_documentation_config,"{""restrictedAccess"":false}",object,"",""
3,plugin_email_provider,"{""provider"":""sendmail"",""name"":""Sendmail"",""auth"":{""sendmail_default_from"":{""label"":""Sendmail Default From"",""type"":""text""},""sendmail_default_replyto"":{""label"":""Sendmail Default Reply-To"",""type"":""text""}}}",object,development,""
4,plugin_upload_provider,"{""provider"":""local"",""name"":""Local server"",""enabled"":true,""sizeLimit"":1000000}",object,development,""
5,plugin_users-permissions_advanced,"{""unique_email"":false,""allow_register"":false,""email_confirmation"":true,""email_confirmation_redirection"":""https://docs.canonn.tech"",""default_role"":""authenticated""}",object,"",""
6,plugin_users-permissions_email,"{""reset_password"":{""display"":""Email.template.reset_password"",""icon"":""refresh"",""options"":{""from"":{""name"":""Canonn No-Reply"",""email"":""noreply@canonn.tech""},""response_email"":""rd@canonn.tech"",""object"":""­Reset password"",""message"":""<p>We heard that you lost your password. Sorry about that!</p>\n\n<p>But don’t worry! You can use the following link to reset your password:</p>\n\n<p><%= URL %>?code=<%= TOKEN %></p>\n\n<p>Thanks.</p>\n\n<p>Canonn R&D</p>""}},""email_confirmation"":{""display"":""Email.template.email_confirmation"",""icon"":""check-square-o"",""options"":{""from"":{""name"":""Canonn No-Reply"",""email"":""noreply@canonn.tech""},""response_email"":""rd@canonn.tech"",""object"":""Account confirmation"",""message"":""<p>Thank you for registering!</p>\n\n<p>You have to confirm your email address. Please click on the link below.</p>\n\n<p><%= URL %>?confirmation=<%= CODE %></p>\n\n<p>Thanks.</p>\n\n<p>Canonn R&D </p<""}}}",object,"",""
7,plugin_users-permissions_grant,"{""email"":{""enabled"":true,""icon"":""envelope""},""discord"":{""enabled"":false,""icon"":""comments"",""key"":"""",""secret"":"""",""callback"":""/auth/discord/callback"",""scope"":[""identify"",""email""]},""facebook"":{""enabled"":false,""icon"":""facebook-official"",""key"":"""",""secret"":"""",""callback"":""/auth/facebook/callback"",""scope"":[""email""]},""google"":{""enabled"":false,""icon"":""google"",""key"":"""",""secret"":"""",""callback"":""/auth/google/callback"",""scope"":[""email""]},""github"":{""enabled"":false,""icon"":""github"",""key"":"""",""secret"":"""",""redirect_uri"":""/auth/github/callback"",""scope"":[""user"",""user:email""]},""microsoft"":{""enabled"":false,""icon"":""windows"",""key"":"""",""secret"":"""",""callback"":""/auth/microsoft/callback"",""scope"":[""user.read""]},""twitter"":{""enabled"":false,""icon"":""twitter"",""key"":"""",""secret"":"""",""callback"":""/auth/twitter/callback""}}",object,"",""
8,db_model_apsites,"{""system"":{""model"":""system"",""via"":""apsites""},""body"":{""model"":""body"",""via"":""apsites""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""model"":""aptype""},""frontierID"":{""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
9,db_model_users-permissions_user,"{""username"":{""type"":""string"",""minLength"":3,""unique"":true,""configurable"":false,""required"":true},""email"":{""type"":""email"",""minLength"":6,""configurable"":false,""required"":true},""provider"":{""type"":""string"",""configurable"":false},""password"":{""type"":""password"",""minLength"":6,""configurable"":false,""private"":true},""resetPasswordToken"":{""type"":""string"",""configurable"":false,""private"":true},""confirmed"":{""type"":""boolean"",""default"":false,""configurable"":false},""blocked"":{""type"":""boolean"",""default"":false,""configurable"":false},""role"":{""model"":""role"",""via"":""users"",""plugin"":""users-permissions"",""configurable"":false},""cmdrs"":{""collection"":""cmdr"",""attribute"":""cmdr"",""column"":""id"",""isVirtual"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
10,db_model_strapi_administrator,"{""username"":{""type"":""string"",""minLength"":3,""unique"":true,""configurable"":false,""required"":true},""email"":{""type"":""email"",""minLength"":6,""configurable"":false,""required"":true},""password"":{""type"":""password"",""minLength"":6,""configurable"":false,""private"":true,""required"":true},""resetPasswordToken"":{""type"":""string"",""configurable"":false,""private"":true},""blocked"":{""type"":""boolean"",""default"":false,""configurable"":false}}",object,,
11,db_model_users-permissions_role,"{""name"":{""type"":""string"",""minLength"":3,""required"":true,""configurable"":false},""description"":{""type"":""string"",""configurable"":false},""type"":{""type"":""string"",""unique"":true,""configurable"":false},""permissions"":{""collection"":""permission"",""via"":""role"",""plugin"":""users-permissions"",""configurable"":false,""isVirtual"":true},""users"":{""collection"":""user"",""via"":""role"",""plugin"":""users-permissions"",""isVirtual"":true}}",object,,
12,db_model_gbsites,"{""system"":{""model"":""system"",""via"":""gbsites""},""body"":{""model"":""body"",""via"":""gbsites""},""siteID"":{""default"":"""",""unique"":true,""min"":1,""type"":""integer"",""required"":true},""gssite"":{""model"":""gssite""},""verified"":{""default"":false,""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""gbmessage"":{""model"":""gbmessage"",""via"":""gbsite""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
13,db_model_gractiveobelisks,"{""grSite"":{""model"":""grsite"",""via"":""activeObelisks""},""activeObelisk"":{""model"":""grobelisk""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
14,db_model_cmdrkills,"{""scoutKills"":{""type"":""integer""},""cyclopsKills"":{""type"":""integer""},""basiliskKills"":{""type"":""integer""},""medusaKills"":{""type"":""integer""},""unknownKills"":{""type"":""integer""},""scoutRewards"":{""type"":""integer""},""cyclopsRewards"":{""type"":""integer""},""basiliskRewards"":{""type"":""integer""},""medusaRewards"":{""type"":""integer""},""unknownRewards"":{""type"":""integer""},""totalRewards"":{""type"":""integer""},""totalKills"":{""type"":""integer""},""cmdr"":{""model"":""cmdr"",""via"":""cmdrkill""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
15,db_model_fmsites,"{""system"":{""model"":""system"",""via"":""fmsites""},""body"":{""model"":""body"",""via"":""fmsites""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""model"":""fmtype""},""frontierID"":{""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
16,db_model_cssites,"{""system"":{""model"":""system"",""via"":""cssites""},""body"":{""model"":""body"",""via"":""cssites""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""model"":""cstype""},""frontierID"":{""type"":""integer""},""verified"":{""type"":""boolean"",""required"":true},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
17,db_model_bmsites,"{""system"":{""model"":""system"",""via"":""bmsites""},""body"":{""model"":""body"",""via"":""bmsites""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""model"":""bmtype""},""frontierID"":{""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
18,db_model_fgsites,"{""system"":{""model"":""system"",""via"":""fgsites""},""body"":{""model"":""body"",""via"":""fgsites""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""model"":""fgtype""},""frontierID"":{""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
19,db_model_btsites,"{""system"":{""model"":""system"",""via"":""btsites""},""body"":{""model"":""body"",""via"":""btsites""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""model"":""bttype""},""frontierID"":{""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
20,db_model_gractivegroups,"{""grSite"":{""model"":""grsite"",""via"":""activeGroups""},""activeGroup"":{""model"":""grobeliskgroup"",""dominant"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
21,db_model_gbmessages,"{""gbsite"":{""model"":""gbsite"",""via"":""gbmessage""},""messageSystem"":{""model"":""system""},""messageBody"":{""model"":""body""},""latitude"":{""default"":"""",""type"":""float"",""required"":true},""longitude"":{""default"":"""",""type"":""float"",""required"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
22,db_model_grobelisks,"{""grType"":{""model"":""grtype""},""grObeliskGroup"":{""model"":""grobeliskgroup""},""obeliskNumber"":{""min"":1,""type"":""integer"",""required"":true},""broken"":{""type"":""boolean""},""grCodexData"":{""model"":""grcodexdata""},""verified"":{""type"":""boolean""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
23,db_model_grobeliskreports,"{""grreport"":{""model"":""grreport"",""via"":""grobeliskreport""},""groups"":{""type"":""json""},""obelisks"":{""type"":""json""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
24,db_model_gsactivegroups,"{""gsSite"":{""model"":""gssite"",""via"":""activeGroups""},""activeGroup"":{""model"":""gsobeliskgroup""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
25,db_model_gsactiveobelisks,"{""gsSite"":{""model"":""gssite"",""via"":""activeObelisks""},""activeObelisk"":{""model"":""gsobelisk""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
26,db_model_gsobelisks,"{""gsType"":{""model"":""gstype""},""gsObeliskGroup"":{""model"":""gsobeliskgroup""},""obeliskNumber"":{""min"":1,""type"":""integer"",""required"":true},""broken"":{""type"":""boolean""},""gsCodexData"":{""model"":""gscodexdata""},""verified"":{""type"":""boolean""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
27,db_model_gsobeliskreports,"{""gsreport"":{""model"":""gsreport"",""via"":""gsobeliskreport""},""groups"":{""type"":""json""},""obelisks"":{""type"":""json""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
