id,system,body,siteID,extoolID,latitude,longitude,type,verified,visible,discoveredBy
1,2916,4060,1,\N,3.5744,-40.2345,2,0,1,142
2,2916,4060,2,\N,10.138,41.0141,2,0,1,142
3,2915,4059,3,\N,-27.248,151.2496,2,0,1,142
4,3324,4595,4,\N,-4.6326,-24.0505,2,1,1,114
5,3324,4595,5,\N,-8.1722,-128.3918,2,1,1,114
6,2866,3993,6,\N,8.5999,-36.66,2,1,1,114
7,3323,4589,7,\N,-44.4594,-146.6704,2,1,1,114
8,3323,4588,8,\N,-84.8393,-99.5817,2,1,1,114
9,1209,1682,9,\N,79.2348,-123.5093,2,1,1,262
10,1930,2663,10,\N,-45.8008,113.0264,2,1,1,353
11,1336,1846,11,\N,21.8781,-120.1936,2,1,1,191
12,1336,1846,12,\N,14.3339,-149.9506,2,1,1,191
13,1930,2663,13,\N,2.5323,-146.8278,2,1,1,15
14,1209,1682,14,\N,54.6008,-45.5622,2,1,1,15
15,2430,3350,15,\N,20.3096,70.546,2,1,1,114
16,2433,3354,16,\N,-34.0355,63.3863,2,1,1,114
17,2432,3353,17,\N,62.6125,7.6781,2,1,1,114
18,2432,3352,18,\N,31.9782,-125.4309,2,1,1,114
19,2127,2930,19,\N,-30.2178,7.7806,2,1,1,114
20,2127,2931,20,\N,-0.374,-169.2894,2,1,1,114
21,1097,1526,21,\N,73.5302,65.7657,2,1,1,114
22,2173,2991,22,\N,39.0695,-33.8396,2,1,1,114
23,1551,2160,23,\N,37.2936,176.2333,2,1,1,114
24,1551,2161,24,\N,-15.649,108.6775,2,1,1,114
25,1551,2162,25,\N,-22.144,41.7567,2,1,1,114
26,1551,2163,26,\N,-82.767,-101.1715,2,1,1,114
27,1196,1668,27,\N,50.9929,-125.3295,2,1,1,395
28,1651,2323,28,\N,-58.2375,143.5242,2,1,1,96
29,1652,2324,29,\N,-9.5432,-147.8747,2,1,1,96
30,1652,2325,30,\N,21.7306,34.8522,2,1,1,96
31,1652,2326,31,\N,23.5605,-7.4316,2,1,1,96
32,1654,2328,32,\N,35.8368,160.0736,2,1,1,96
33,1930,2663,33,\N,27.4243,62.4786,2,1,1,183
34,1209,1682,34,\N,49.8155,-36.2118,2,1,1,15
35,2696,3740,35,\N,46.6238,146.1573,2,1,1,15
36,1551,2160,36,\N,-23.8089,-76.6188,2,1,1,241
37,1551,2161,37,\N,19.6249,-135.5535,2,1,1,241
38,1551,2162,38,\N,8.3782,-70.8076,2,1,1,241
39,1551,2163,39,\N,-6.979,-157.9099,2,1,1,241
40,767,1106,40,\N,-32.0157,-100.4578,2,1,1,75
41,1551,2162,41,\N,-79.7671,103.6435,2,1,1,503
42,1551,2163,42,\N,-50.1104,169.2241,2,1,1,503
43,2167,2980,43,\N,38.9909,-130.2198,2,1,1,503
44,1551,2161,44,\N,-13.1583,89.5367,2,1,1,130
45,1648,2318,45,\N,37.6622,150.0112,2,1,1,30
46,1648,2318,46,\N,61.1568,166.2404,2,1,1,30
47,1648,2318,47,\N,-42.3044,48.7157,2,1,1,30
48,1551,2162,48,\N,-6.7703,153.3775,2,1,1,503
49,2167,2980,49,\N,12.0685,53.7012,2,1,1,503
50,2432,3352,50,\N,-36.0592,-177.2774,2,1,1,15
51,1648,2318,51,\N,-46.6145,60.7463,2,1,1,30
52,1648,2318,52,\N,-2.5096,-3.4939,2,1,1,30
53,1648,2318,53,\N,-1.9827,-40.1452,2,1,1,30
54,1648,2318,54,\N,48.902,18.1528,2,1,1,30
55,1551,2162,55,\N,-22.9571,4.5963,2,1,1,165
56,1551,2160,56,\N,-36.6206,68.5649,2,1,1,165
57,1551,2161,57,\N,-49.2242,-83.9508,2,1,1,165
58,2127,2930,58,\N,-41.9064,93.9829,2,1,1,165
59,2220,3054,59,\N,-2.8137,-51.2106,2,1,1,30
60,1551,2161,60,\N,-69.0809,-109.821,2,1,1,183
61,2220,3054,61,\N,-8.958,-60.3059,2,1,1,30
62,2220,3054,62,\N,-64.3262,-146.8836,2,1,1,30
63,2220,3054,63,\N,-9.9769,-74.9624,2,1,1,30
64,2220,3054,64,\N,-19.4249,-50.7823,2,1,1,30
65,2220,3054,65,\N,21.7772,42.5951,2,1,1,30
66,2220,3054,66,\N,-43.9713,-10.3281,2,1,1,30
67,2220,3054,67,\N,68.5084,117.1664,2,1,1,30
68,2220,3054,68,\N,-0.9822,64.5677,2,1,1,30
69,2220,3054,69,\N,29.2617,60.666,2,1,1,30
70,1868,2575,70,\N,-30.5409,101.7611,2,1,1,114
71,2167,2980,71,\N,14.1104,-112.2806,2,1,1,183
72,1551,2160,72,\N,-32.2666,35.4068,2,1,1,15
73,1398,1953,73,\N,-31.5667,174.1927,2,1,1,114
74,2172,2988,74,\N,-51.1578,-149.4133,2,1,1,114
75,2172,2989,75,\N,-26.547,-110.6497,2,1,1,114
76,2172,2990,76,\N,-23.8565,-143.5521,2,1,1,114
77,2175,2993,77,\N,-25.5536,78.6039,2,1,1,114
78,2175,2994,78,\N,-10.8347,-9.7319,2,1,1,114
79,157,225,79,\N,29.892,26.4458,2,1,1,127
80,157,223,80,\N,73.6294,60.2669,2,1,1,127
81,157,224,81,\N,-55.158,-173.3654,2,1,1,127
82,2119,2920,82,\N,-14.6509,-29.8272,2,1,1,114
83,2123,2924,83,\N,45.5902,-143.9966,2,1,1,114
84,2122,2923,84,\N,36.967,173.4223,2,1,1,114
85,2164,2976,85,\N,58.9163,156.1861,2,1,1,114
86,2167,2979,86,\N,17.7362,158.4545,2,1,1,114
87,1380,1922,87,\N,-22.4061,14.629,2,1,1,114
88,2219,3053,88,\N,38.6886,154.622,2,1,1,96
89,2862,3989,89,\N,35.1961,-51.1298,2,1,1,489
90,2862,3989,90,\N,45.2416,-74.9442,2,1,1,489
91,2130,2934,91,\N,-7.7135,-151.8627,2,1,1,114
92,2130,2935,92,\N,-39.4471,-178.9694,2,1,1,114
93,2129,2933,93,\N,14.3912,145.5693,2,1,1,114
94,2125,2926,94,\N,-22.0307,-58.8074,2,1,1,114
95,2147,2957,95,\N,40.2354,-165.5472,2,1,1,114
96,2146,2956,96,\N,52.3699,-23.3364,2,1,1,114
97,720,1046,97,\N,-9.2801,-9.2535,2,1,1,114
98,722,1048,98,\N,-59.4496,-97.7232,2,1,1,114
99,1867,2574,99,\N,20.0837,63.2267,2,1,1,114
100,724,1050,100,\N,9.5488,-98.471,2,1,1,114
101,2171,2987,101,\N,68.9497,54.2967,2,1,1,114
102,2171,2986,102,\N,-23.379,-46.9379,2,1,1,114
103,1551,2162,103,\N,34.5313,44.0246,2,1,1,15
104,2124,2925,104,\N,20.4656,-113.4826,2,1,1,114
105,2169,2982,105,\N,52.5852,-142.8906,2,1,1,114
106,2170,2983,106,\N,-35.0378,-62.6153,2,1,1,114
107,2170,2984,107,\N,-28.8046,-25.1802,2,1,1,114
108,2170,2985,108,\N,-46.165,58.3735,2,1,1,114
109,2120,2921,109,\N,-14.9485,49.5386,2,1,1,114
110,2118,2919,110,\N,-32.7677,123.2261,2,1,1,114
111,2116,2917,111,\N,11.857,-34.2134,2,1,1,114
112,1551,2160,112,\N,-17.3545,-115.4492,2,1,1,130
113,2125,2926,113,\N,-26.8502,116.2626,2,1,1,318
114,1693,2371,114,\N,1.4286,-64.0622,2,1,1,503
115,1693,2371,115,\N,-4.9007,-49.536,2,1,1,503
116,2164,2976,116,\N,-34.6555,-11.8614,2,1,1,148
117,2127,2930,117,\N,-43.359,25.4262,2,1,1,148
118,317,462,118,\N,-20.2122,-24.0602,2,1,1,79
119,505,762,119,\N,-43.4283,20.531,2,1,1,211
120,505,763,120,\N,-9.1666,115.5888,2,1,1,211
121,160,228,121,\N,12.0449,-45.8086,2,1,1,79
122,2127,2930,122,\N,-79.6394,-75.8559,2,1,1,4
123,1551,2161,123,\N,-32.4814,89.8156,2,1,1,4
124,2230,3067,124,\N,5.4215,-116.6727,2,1,1,137
125,2231,3068,125,\N,53.2104,-62.9832,2,1,1,137
126,2234,3071,126,\N,19.1157,84.9942,2,1,1,137
127,1639,2308,127,\N,-25.7835,67.0528,2,1,1,79
128,1551,2160,128,\N,-39.1563,-165.1858,2,1,1,469
129,2236,3073,129,\N,17.9357,-46.7731,2,1,1,137
130,3265,4492,130,\N,-69.3579,166.3713,2,1,1,297
131,3265,4491,131,\N,-30.8892,-100.3058,2,1,1,297
132,2235,3072,132,\N,32.6031,-112.1943,2,1,1,137
133,781,1120,133,\N,56.0658,-127.7933,2,1,1,137
134,1669,2344,134,\N,-6.3334,112.3148,2,1,1,297
135,2426,3346,135,\N,8.7977,109.3284,2,1,1,53
136,2894,4034,136,\N,65.8322,-98.9161,2,1,1,429
137,2894,4034,137,\N,-3.1879,23.5429,2,1,1,429
138,2172,2988,138,\N,11.6628,98.5983,2,1,1,469
139,777,1116,139,\N,71.3924,84.8403,2,1,1,137
140,2172,2989,140,\N,-66.546,110.4444,2,1,1,469
141,1902,2624,141,\N,-36.4609,56.4038,2,1,1,297
142,1902,2624,142,\N,-43.0671,79.2795,2,1,1,297
143,1902,2624,143,\N,-60.4548,55.5338,2,1,1,297
144,2738,3807,144,\N,-2.5172,-33.1917,2,1,1,297
145,2891,4031,145,\N,19.8227,1.1502,2,1,1,429
146,2891,4030,146,\N,-35.3545,-66.1666,2,1,1,429
147,3262,4488,147,\N,14.4488,12.3754,2,1,1,473
148,3262,4488,148,\N,27.7202,20.4723,2,1,1,473
149,3262,4488,149,\N,43.4102,32.7816,2,1,1,473
150,3262,4488,150,\N,27.0625,42.7709,2,1,1,473
151,2261,3099,151,\N,-29.4114,-117.0611,2,1,1,333
152,1650,2320,152,\N,6.6715,-7.5499,2,1,1,297
153,1650,2321,153,\N,19.4437,-3.6805,2,1,1,297
154,1650,2322,154,\N,86.7342,-29.0134,2,1,1,297
155,1649,2319,155,\N,15.3615,-175.4375,2,1,1,297
156,779,1118,156,\N,21.1543,-100.0338,2,1,1,137
157,776,1115,157,\N,-24.8827,35.5652,2,1,1,137
158,2739,3808,158,\N,26.5527,105.0595,2,1,1,297
159,1415,1978,159,\N,17.6622,-145.6538,2,1,1,127
160,2691,3734,160,\N,-31.4533,116.4359,2,1,1,35
161,2859,3986,161,\N,67.5349,-55.7776,2,1,1,35
162,2860,3987,162,\N,-10.5894,177.8324,2,1,1,429
163,2860,3987,163,\N,8.9119,174.3828,2,1,1,429
164,2860,3987,164,\N,-62.544,-0.6634,2,1,1,429
165,2989,4149,165,\N,-62.2687,-122.6308,2,1,1,35
166,2989,4149,166,\N,-56.2953,111.4788,2,1,1,35
