id,system,bodyName
1,22,5 C A
2,41,1 A
3,41,2 A
4,41,2 B
5,42,B 1 A
6,42,B 2 D
7,44,1 B
8,44,2 B A
9,96,4 C
10,106,1 C A
11,152,5
12,158,10
13,263,4 A
14,268,B 1
15,269,A 9 A
16,270,A 7 A
17,271,4 A
18,279,A 5 A
19,281,4 A
20,294,6 A
21,300,1 B
22,306,8 C
23,307,2 A
24,308,B 2 A
25,310,7 A
26,311,2 C A
27,315,6 B
28,318,12 A
29,327,A 4 A
30,331,1 A
31,333,7 A
32,339,7 A
33,362,1 A
34,363,A 1 A
35,368,1 C
36,371,A 7 A
37,376,1 D
38,383,A 3
39,386,1 A
40,399,A 4 A
41,432,A 6
42,627,2 B
43,633,2 C A
44,691,D 14 B
45,785,B 5 A
46,787,8 B
47,788,B 4 A
48,789,B 6 A
49,790,B 4
50,791,A 2
51,791,A 5
52,792,5 A
53,793,4 C
54,794,A 3
55,795,A 1
56,796,3
57,796,A 3
58,797,7 A
59,797,8 C
60,798,1 A
61,799,5 A
62,799,5 D
63,799,7 A
64,800,A 2
65,800,A 3
66,801,1 B
67,804,A 4 B A
68,806,7 A
69,813,C 4 A
70,814,1 C A
71,816,AB 1 A
72,816,ABC 1 C A
73,822,15 C A
74,823,A 6 D A
75,825,3 A
76,838,A 14 C A
77,843,1 A
78,854,C 3 A
79,854,D 1
80,855,4 D A
81,861,AB 7 A
82,862,4 D A
83,863,2 E A
84,864,C 3
85,865,B 3 A
86,866,3 C A
87,867,1 B
88,868,3 D A
89,881,4
90,882,1
91,884,C 2
92,884,C 3
93,884,C 4
94,884,C 5
95,884,C 6
96,887,6
97,888,A 3
98,888,A 4
99,888,A 5
100,888,A 6
101,888,A 7
102,888,B 1
103,915,1 A
104,916,A 1 A
105,932,10 B A
106,1000,C 1
107,1001,B 1
108,1001,B 3
109,1001,B 5
110,1001,C 1
111,1001,C 2
112,1015,A
113,1029,B 1
114,1036,8 E A
115,1037,B 4 A
116,1037,B 4 B
117,1038,AB 1 A
118,1039,2 B
119,1040,5 A
120,1041,C 1
121,1056,E 2
122,1056,E 3
123,1057,1 C A
124,1060,5 A A
125,1064,3 D
126,1066,A 2
127,1070,7 E A
128,1071,5 A
129,1072,B 2 A
130,1074,3 D
131,1076,D 3
132,1080,C 2 A
133,1082,C 4 A
134,1083,D 1
135,1085,1 D A
136,1087,B 1
137,1088,A 8
138,1088,B 4
139,1089,B 4
140,1090,A 2
141,1093,B 3
142,1094,B 5 A
143,1095,A 3
144,1096,B 2
145,1096,B 3
146,1097,A 5
147,1099,A 4
148,1099,A 5
149,1100,D 1
150,1100,D 3
151,1102,A 2
152,1102,B 1
153,1102,B 2
154,1102,B 3
155,1102,B 4
156,1103,A 2 A
157,1103,B 5
158,1103,B 6
159,1104,A 5
160,1104,A 7
161,1105,A 2 A
162,1106,A 1
163,1107,12 A
164,1108,6
165,1109,1 C
166,1110,B 2 A
167,1111,14 C
168,1112,A 1 A
169,1113,D 2
170,1114,A 1
171,1115,1 A
172,1115,1 C A
173,1115,2 A
174,1115,2 B
175,1116,B 7
176,1116,C 5
177,1117,BC 4 A
178,1118,A 1
179,1119,A 1
180,1120,4 A
181,1121,A 1 A
182,1122,A 4
183,1122,BC 3
184,1123,AB 2
185,1125,B 2
186,1125,B 4
187,1126,C 3
188,1127,B 2
189,1128,A 5 A
190,1128,A 5 B
191,1129,A 3
192,1131,14 A
193,1131,14 B
194,1132,6 A
195,1133,8 C
196,1133,9 A
197,1133,9 D
198,1134,1 A
199,1135,C 1
200,1136,A 3
201,1136,B 6
202,1136,B 7
203,1139,A 2
204,1140,A 3
205,1141,D 1
206,1142,AB 9 A
207,1142,AB 9 B
208,1143,8 A
209,1143,8 B
210,1143,8 G
211,1145,B 5
212,1147,B 1
213,1148,A 4 A
214,1148,B 3 A
215,1151,A 4
216,1152,B 1
217,1153,B 3
218,1153,C 2
219,1154,B 1
220,1155,D 2
221,1156,A 1
222,1157,A 2
223,1158,B 1
224,1159,B 4
225,1160,B 2 A
226,1161,D 2
227,1163,5 A
228,1164,6 D
229,1167,5 B
230,1168,3 A
231,1168,3 B
232,1168,3 E
233,1168,3 F
234,1169,B 3
235,1170,B 1
236,1171,A 2 A
237,1172,A 3 A
238,1173,1 A
239,1175,C 1
240,1176,11 A
241,1177,2
242,1179,6 C
243,1179,6 D
244,1180,4 D
245,1180,4 F
246,1182,A 1 C
247,1184,AB 2 A
248,1184,AB 3
249,1184,C 1
250,1185,3 A
251,1186,C 3
252,1187,A 1 A
253,1188,B 2
254,1189,B 1
255,1190,A 3
256,1191,D 1
257,1192,A 3
258,1193,5
259,1194,C 5
260,1194,C 6
261,1196,A 4 A
262,1197,A 2
263,1197,B 4
264,1198,B 1
265,1199,B 1
266,1200,B 2
267,1201,A 2
268,1201,B 2
269,1202,A 5
270,1203,A 3
271,1204,B 2
272,1204,B 3
273,1205,C 4
274,1206,B 1
275,1207,A 1
276,1208,A 7 A
277,1209,B 5 A
278,1210,1
279,1211,B 1
280,1212,C 4
281,1214,B 3
282,1215,B 1
283,1228,1 A
284,1242,AB 4 A
285,1243,5 D
286,1252,4 A
287,1289,A 3
288,1307,A 4 A
289,1309,A 2 C
290,1350,1 A
291,1382,AB 1 C
292,1414,8 B
293,1467,B 2 A
294,1478,2 A
295,1512,3 A
296,1512,3 A C
297,1512,7 A A
298,1627,B 1
299,1627,B 2
300,1657,7 E A
301,1662,5 D
302,1663,2 F A
303,1664,A 4 E A
304,1665,2 D A
305,1666,AB 2 A
306,1667,1 D A
307,1668,6 B A
308,1669,2 C A
309,1670,3 A
310,1671,3 B
311,1672,1 A
312,1673,A 5 C
313,1684,C 1
314,1685,A 3 A
315,1686,10 A
316,1687,3 B A
317,1691,10 C A
318,1692,7 A A
319,1693,5 A A
320,1693,6 C A
321,1694,8 A A
322,1695,8 B A
323,1710,6
324,1711,2 A A
325,1717,1 A
326,1718,B 2 A
327,1721,4 A
328,1722,8 A E
329,1723,13 E
330,1724,D 1
331,1725,D 1
332,1726,B 2 A
333,1727,2 A
334,1728,A 1 A
335,1729,A 3
336,1730,1 A
337,1731,4 A
338,1732,7 B
339,1733,B 1 A
340,1734,4 A
341,1735,6 A
342,1736,4
343,1737,A 1
344,1738,1 B A
345,1739,1 A
346,1740,1 C A
347,1741,1 A
348,1742,1
349,1743,B 2
350,1744,2 C A
351,1745,B 4 A
352,1746,2 A
353,1747,AB 1 A
354,1748,4
355,1749,7 A
356,1750,6 D
357,1751,2
358,1752,2 B A
359,1753,A 3
360,1754,4 E A
361,1755,A 3 B A
362,1756,ABCD 1 E A
363,1757,1 B
364,1758,4 C A
365,1759,A 4 C
366,1760,5 B A
367,1761,3 C A
368,1762,AB 1 A A
369,1763,A 1 A
370,1764,1 A
371,1765,ABC 1 A
372,1765,ABC 1 H
373,1765,ABC 3 C
374,1766,1 B
375,1767,1 B A
376,1768,3 C
377,1768,4 C
378,1769,1 B
379,1770,B 7 A
380,1771,2 B A
381,1772,BC 1 B A
382,1773,4 D A
383,1774,2 C A
384,1775,1 A
385,1776,6 B
386,1777,3 D A
387,1778,1 B
388,1779,8 B
389,1780,2 A A
390,1780,A 1 B A
391,1781,3 E A
392,1781,5 D
393,1782,A 3 C A
394,1783,A 1 E A
395,1784,2
396,1785,3 B
397,1785,4 B
398,1785,5 B
399,1785,6 B
400,1785,7 B
401,1785,8 B
402,1785,9 B
403,1786,1 A A
404,1787,1
405,1788,A 4 D A
406,1789,AB 3 A
407,1790,A 1 A A
408,1791,5 A
409,1792,4 A
410,1793,B 3
411,1793,C 3
412,1794,B 1
413,1796,A 2 D
414,1815,ABC 2 A
415,1815,ABC 3 E A
416,1815,ABC 4 A
417,1815,ABC 6 A
418,1816,3 A
419,1817,A 1
420,1817,A 2
421,1818,A 2
422,1819,A 1 D A
