id,system,body,siteID,latitude,longitude,count,verified,visible
1,3807,957,1,-3.3269,139.8931,NULL,1,1
2,884,91,2,17.29,-108.53,NULL,1,1
3,2478,560,3,-24.78,125.81,NULL,1,1
4,2478,561,4,73.53,-16.62,NULL,1,1
5,4037,1173,5,-39.13,60.96,NULL,1,1
6,4037,1175,6,61.5873,164.3526,NULL,1,1
7,4078,1193,7,12.92,175.41,NULL,1,1
8,4118,1251,8,-5.07,169.47,NULL,1,1
9,1764,370,9,-14.0726,94.3267,NULL,1,1
10,2478,561,10,19.58,-162.58,NULL,1,1
11,3807,956,11,-20.53,151.35,NULL,1,1
12,3807,956,12,-18.14,96.39,NULL,1,1
13,3807,957,13,13.66,-40.78,NULL,1,1
14,3135,645,14,41.06,150.73,NULL,1,1
15,3136,646,15,-15.98,143.61,NULL,1,1
16,843,77,16,-32.8343,15.0372,NULL,1,1
17,1855,438,17,66.3917,84.1447,NULL,1,1
18,1831,434,18,-48.2731,-47.4449,NULL,1,1
19,1832,435,19,24.15,-45.8258,NULL,1,1
20,1857,440,20,51.4334,17.5896,NULL,1,1
21,1857,440,21,61.5956,30.1354,NULL,1,1
22,1860,443,22,-11.5608,33.8907,NULL,1,1
23,1859,442,23,18.6796,132.9822,NULL,1,1
24,4037,1173,24,10.6344,56.2811,NULL,1,1
25,4037,1173,25,29.1773,75.802,NULL,1,1
26,4037,1174,26,-16.9526,-13.2767,NULL,1,1
27,2082,489,27,2.0046,29.2919,NULL,1,1
28,2082,489,28,45.3692,-177.0091,NULL,1,1
29,2082,489,29,2.1793,-150.6453,NULL,1,1
30,2082,489,30,-38.2095,106.2298,NULL,1,1
31,4037,1175,31,37.2468,155.3687,NULL,1,1
32,1764,370,32,26.3988,90.6247,NULL,1,1
33,1790,407,33,30.4118,-134.6438,NULL,1,1
34,1790,407,34,-31.5981,-56.2382,NULL,1,1
35,1790,407,35,14.7116,135.528,NULL,1,1
36,1771,380,36,-29.9745,4.0689,NULL,1,1
37,1771,380,37,3.0361,84.7171,NULL,1,1
38,1781,392,38,-45.0271,45.6161,NULL,1,1
39,1781,391,39,32.8233,99.8167,NULL,1,1
40,1975,459,40,40.0754,-111.6587,NULL,1,1
41,814,70,41,-12.3667,143.6478,NULL,1,1
42,814,70,42,-35.8725,-89.5558,NULL,1,1
43,814,70,43,-26.1436,-87.004,NULL,1,1
44,814,70,44,45.234,167.2092,NULL,1,1
45,1976,461,45,-53.0819,-163.0337,NULL,1,1
46,2478,561,46,-3.8712,-56.3881,NULL,1,1
47,1980,466,47,-9.1401,-45.1593,NULL,1,1
48,1694,321,48,9.1864,-150.4373,NULL,1,1
49,3350,726,49,9.724,-161.4523,NULL,1,1
50,1693,320,50,9.2572,27.7121,NULL,1,1
51,1693,320,51,17.1353,-107.5362,NULL,1,1
52,3350,726,52,4.8999,28.4902,NULL,1,1
53,1693,319,53,-27.6244,-109.3809,NULL,1,1
54,3849,991,54,29.7371,23.4861,NULL,1,1
55,825,75,55,-70.7605,156.0312,NULL,1,1
56,2550,593,56,-1.1483,26.5604,NULL,1,1
57,2550,593,57,10.5415,123.8627,NULL,1,1
58,2550,593,58,9.7212,-30.1957,NULL,1,1
59,3831,975,59,16.1963,-74.2568,NULL,1,1
60,3831,975,60,-7.4784,78.6781,NULL,1,1
61,3831,975,61,-7.5528,-59.3983,NULL,1,1
62,3250,651,62,-50.3833,138.0796,NULL,1,1
63,3249,650,63,40.1001,131.1638,NULL,1,1
64,1695,322,64,4.4256,-16.1833,NULL,1,1
65,1695,322,65,-2.7645,-47.5568,NULL,1,1
66,1695,322,66,-4.5086,-144.5524,NULL,1,1
67,3318,697,67,-1.8441,20.4949,NULL,1,1
68,3318,697,68,-11.7293,-40.8511,NULL,1,1
69,825,75,69,50.7311,-32.1483,NULL,1,1
70,3823,967,70,-22.2384,33.4779,NULL,1,1
71,3805,955,71,-64.3718,-55.7859,NULL,1,1
72,3825,970,72,57.5679,59.0773,NULL,1,1
73,881,89,73,83.6478,-102.6522,NULL,1,1
74,4115,1246,74,-27.3359,-168.0797,NULL,1,1
75,1724,330,75,8.3285,68.0708,NULL,1,1
76,1724,330,76,11.0526,-170.7735,NULL,1,1
77,1669,308,77,8.2407,-96.0592,NULL,1,1
78,822,73,78,9.1079,88.2455,NULL,1,1
79,822,73,79,7.9014,-172.4354,NULL,1,1
80,822,73,80,1.2863,-43.5617,NULL,1,1
81,822,73,81,20.7736,77.8444,NULL,1,1
82,822,73,82,-11.0148,15.9302,NULL,1,1
83,3092,643,83,6.8876,53.5052,NULL,1,1
84,3092,643,84,3.614,89.2502,NULL,1,1
85,2623,599,85,2.2175,-160.7892,NULL,1,1
86,2623,599,86,4.4279,-6.7368,NULL,1,1
87,3092,643,87,-5.3697,-163.383,NULL,1,1
88,867,87,88,20.7961,66.4898,NULL,1,1
89,868,88,89,9.6052,140.0072,NULL,1,1
90,866,86,90,1.9271,-102.9887,NULL,1,1
91,823,74,91,6.3825,165.1069,NULL,1,1
92,2030,474,92,-0.4561,111.4275,NULL,1,1
93,2707,604,93,8.5066,101.8355,NULL,1,1
94,2707,604,94,-4.5114,179.1629,NULL,1,1
