id,system,body,siteID,extoolID,latitude,longitude,verified,visible,discoveredBy
1,1402,1188,1,\N,-3.3269,139.8931,0,1,78
2,185,102,2,\N,17.29,-108.53,0,1,167
3,750,702,3,\N,-24.78,125.81,0,1,167
4,750,703,4,\N,73.53,-16.62,0,1,167
5,1662,1477,5,\N,-39.13,60.96,0,1,167
6,1662,1479,6,\N,61.5873,164.3526,1,1,167
7,1688,1498,7,\N,12.92,175.41,0,1,167
8,1735,1567,8,\N,-5.07,169.47,0,1,167
9,493,465,9,\N,-14.0726,94.3267,1,1,19
10,750,703,10,\N,19.58,-162.58,1,1,178
11,1402,1187,11,\N,-20.53,151.35,0,1,224
12,1402,1187,12,\N,-18.14,96.39,0,1,224
13,1402,1188,13,\N,13.66,-40.78,0,1,224
14,891,822,14,\N,41.06,150.73,0,1,224
15,892,823,15,\N,-15.98,143.61,0,1,224
16,169,87,16,\N,-32.8343,15.0372,0,1,105
17,557,553,17,\N,66.3917,84.1447,0,1,156
18,549,547,18,\N,-48.2731,-47.4449,1,1,224
19,550,548,19,\N,24.15,-45.8258,1,1,224
20,559,555,20,\N,51.4334,17.5896,1,1,172
21,559,555,21,\N,61.5956,30.1354,1,1,172
22,562,558,22,\N,-11.5608,33.8907,1,1,172
23,561,557,23,\N,18.6796,132.9822,1,1,172
24,1662,1477,24,\N,10.6344,56.2811,1,1,98
25,1662,1477,25,\N,29.1773,75.802,1,1,98
26,1662,1478,26,\N,-16.9526,-13.2767,1,1,219
27,622,622,27,\N,2.0046,29.2919,1,1,17
28,622,622,28,\N,45.3692,-177.0091,1,1,17
29,622,622,29,\N,2.1793,-150.6453,1,1,17
30,622,622,30,\N,-38.2095,106.2298,1,1,17
31,1662,1479,31,\N,37.2468,155.3687,1,1,122
32,493,465,32,\N,26.3988,90.6247,1,1,19
33,529,516,33,\N,30.4118,-134.6438,1,1,19
34,529,516,34,\N,-31.5981,-56.2382,1,1,19
35,529,516,35,\N,14.7116,135.528,1,1,19
36,503,482,36,\N,-29.9745,4.0689,1,1,19
37,503,482,37,\N,3.0361,84.7171,1,1,19
38,514,496,38,\N,-45.0271,45.6161,0,1,19
39,514,495,39,\N,32.8233,99.8167,1,1,19
40,585,581,40,\N,40.0754,-111.6587,1,1,172
41,159,79,41,\N,-12.3667,143.6478,1,1,224
42,159,79,42,\N,-35.8725,-89.5558,1,1,224
