"id","system","bodyName","edsmID","edsmID64","edsmBodyID","edsmType","edsmSubtype","edsmOffset","edsmDistanceToArrival","edsmIsMainStar","edsmIsScoopable","edsmIsLandable","edsmAge","edsmLuminosity","edsmAbsoluteMagnitude","edsmSolarMasses","edsmSolarRadius","edsmGravity","edsmEarthMasses","edsmRadius","edsmSurfaceTemperature","edsmSurfacePressure","edsmVolcanismType","edsmAtmosphereType","edsmTerraformingState","edsmOrbitalPeriod","edsmSemiMajorAxis","edsmOrbitalEccentricity","edsmOrbitalInclination","edsmArgOfPeriapsis","edsmRotationalPeriod","edsmRotationalPeriodTidallyLocked","edsmAxialTilt","edsmSolidComposition","edsmAtmosphere","edsmMaterial","created_at","updated_at"
1,22,"5 C A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
2,41,"1 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
3,41,"2 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
4,41,"2 B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
5,42,B 1 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
6,42,B 2 D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
7,44,"1 B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
8,44,"2 B A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
9,95,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
10,97,"4 C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
11,107,"1 C A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
12,153,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
13,159,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
14,264,"4 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
15,269,B 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
16,270,A 9 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
17,271,A 7 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
18,272,"4 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
19,280,A 5 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
20,282,"4 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
21,295,"6 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
22,301,"1 B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
23,307,"8 C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
24,308,"2 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
25,309,B 2 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
26,311,"7 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
27,312,"2 C A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
28,316,"6 B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
29,319,"12 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
30,328,A 4 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
31,332,"1 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
32,334,"7 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
33,340,"7 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
34,363,"1 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
35,364,A 1 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
36,369,"1 C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
37,372,A 7 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
38,377,"1 D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
39,384,A 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
40,387,"1 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
41,400,A 4 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
42,433,A 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
43,627,"2 B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
44,633,"2 C A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
45,691,D 14 B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
46,785,B 5 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
47,787,"8 B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
48,788,B 4 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
49,789,B 6 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
50,790,B 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
51,791,A 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
52,791,A 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
53,792,"5 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
54,793,"4 C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
55,794,A 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
56,795,A 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
57,796,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
58,796,A 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
59,797,"7 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
60,797,"8 C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
61,798,"1 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
62,799,"5 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
63,799,"5 D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
64,799,"7 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 13:30:58,2018-08-31 13:30:58
