id,system,body,siteID,extoolID,latitude,longitude,type,verified,visible,discoveredBy
1,2,2,1,2674,-4.8631,3.0394,1,1,1,177
2,4,3,2,\N,-65.5780,165.2446,1,0,1,19
3,4,5,3,\N,-22.1270,-99.8050,1,0,1,19
4,4,4,4,\N,18.5441,117.2379,1,0,1,19
5,5,6,5,\N,-33.2476,52.9794,1,0,1,19
6,5,7,6,\N,34.7347,99.5606,1,0,1,19
7,6,9,7,\N,7.7559,-153.3222,1,0,1,19
8,225,154,8,2738,27.1906,41.6520,1,1,1,19
9,229,158,9,2758,10.5512,-151.2654,1,1,1,19
10,231,160,10,2808,54.4862,52.0458,1,1,1,19
11,243,173,11,2809,4.1726,162.7135,1,1,1,19
12,251,182,12,2810,7.9078,132.2088,1,1,1,19
13,251,182,13,2831,-0.3814,-53.8507,1,1,1,19
14,251,182,14,2832,-10.8164,-43.3248,1,1,1,19
15,251,182,15,2833,-69.0015,121.4782,1,1,1,19
16,264,206,16,2834,44.1401,-76.8827,1,1,1,19
17,274,216,17,\N,43.8595,44.5843,1,1,1,19
18,274,216,18,2835,28.9110,112.8688,1,1,1,19
19,279,225,19,2845,-5.7463,96.7247,1,1,1,19
20,279,226,20,2846,-3.1468,-59.9358,1,1,1,19
21,279,224,21,2853,-48.8886,-151.9067,1,1,1,19
22,279,224,22,2854,44.6974,-93.0335,1,1,1,19
23,279,224,23,2855,35.0087,76.5551,1,1,1,19
24,279,223,24,2856,-25.5887,-108.5824,1,1,1,19
25,279,223,25,2857,-42.8524,-134.1830,1,1,1,19
26,279,223,26,2858,64.8666,-130.988,1,1,1,19
27,279,223,27,2859,24.3299,44.2246,1,1,1,19
28,279,223,28,2860,14.6168,-0.6771,1,1,1,19
29,281,231,29,2861,-50.1253,129.5716,1,1,1,19
30,269,211,30,2918,40.3987,-1.7777,1,1,1,19
31,285,235,31,2761,-61.4610,26.6463,1,1,1,19
32,285,235,32,2762,24.1381,-65.5068,1,1,1,19
33,292,246,33,2763,17.4114,-98.8253,1,1,1,19
34,292,245,34,2764,45.9501,-43.4345,1,1,1,19
35,297,254,35,2836,-50.5520,-165.8521,1,1,1,19
36,304,266,36,2919,7.2636,149.9771,1,1,1,19
37,318,282,37,2920,48.0808,127.0176,1,1,1,19
38,318,282,38,2921,13.5402,140.2993,1,1,1,19
39,328,296,39,2837,-64.0736,-27.7055,1,1,1,19
40,328,296,40,2862,-30.1192,-74.0093,1,1,1,19
41,328,296,41,2863,-45.8336,-139.5594,1,1,1,19
42,549,542,42,\N,14.1399,-158.4774,1,0,1,19
43,549,542,43,\N,-66.5205,167.9569,1,0,1,19
44,550,543,44,\N,43.1344,61.7306,1,0,1,19
45,550,543,45,\N,47.5327,150.6297,1,0,1,19
46,551,544,46,\N,69.5822,-65.6835,1,0,1,19
47,551,545,47,\N,-15.1114,-19.0249,1,0,1,19
48,554,548,48,\N,19.1472,-74.7557,1,0,1,19
49,554,549,49,\N,-25.7799,92.8599,1,0,1,19
50,554,551,50,\N,39.8712,9.8842,1,0,1,19
51,554,550,51,\N,-0.3307,56.0831,1,0,1,19
52,555,552,52,\N,-24.9527,-43.5946,1,0,1,19
53,556,554,53,\N,-51.1798,84.8238,1,0,1,19
54,556,553,54,\N,16.3128,85.3387,1,0,1,19
55,556,553,55,\N,-40.1837,173.1855,1,0,1,19
56,556,555,56,\N,46.4111,109.9064,1,0,1,19
57,556,556,57,\N,5.4721,-52.5514,1,0,1,19
58,557,557,58,\N,59.3803,159.9808,1,0,1,19
59,557,558,59,7309,-67.0822,-133.4404,1,0,1,19
60,563,564,60,\N,25.0470,-179.8852,1,0,1,177
61,580,581,61,\N,-83.0984,32.6312,1,0,1,19
62,581,582,62,\N,5.8204,-51.4230,1,0,1,19
63,625,630,63,\N,72.0505,-56.1021,1,0,1,19
64,629,634,64,\N,33.0752,12.2098,1,0,1,19
65,774,737,65,2879,-30.0396,-149.4684,1,1,1,129
66,780,744,66,\N,-42.0381,9.3240,1,0,1,19
67,782,746,67,\N,-15.4508,-127.4753,1,0,1,129
68,782,747,68,3292,42.6634,95.1986,1,1,1,129
69,782,748,69,\N,-4.2054,-148.8758,1,0,1,129
70,784,750,70,\N,-27.7507,-98.7055,1,0,1,129
71,791,767,71,\N,28.3995,89.7813,1,0,1,19
72,795,774,72,\N,-35.3982,126.2055,1,1,1,19
73,805,792,73,\N,25.0856,114.2113,1,0,1,19
74,805,792,74,\N,34.1690,-105.1043,1,0,1,19
75,805,793,75,\N,45.0142,-36.2342,1,0,1,19
76,805,793,76,\N,-17.1079,139.6668,1,0,1,19
77,805,793,77,\N,-23.3599,107.6398,1,0,1,19
78,805,793,78,\N,-16.4619,107.9966,1,0,1,19
79,805,793,79,\N,-13.3061,53.8875,1,0,1,19
80,826,810,80,\N,67.0093,75.6757,1,0,1,19
81,895,838,81,2864,32.3710,-66.7544,1,1,1,19
82,895,839,82,2865,-7.0199,3.7237,1,1,1,19
83,901,847,83,2887,11.4400,48.4300,1,1,1,166
84,901,847,84,\N,6.8700,135.3200,1,1,1,235
85,903,849,85,2893,-36.3052,-80.1392,1,1,1,19
86,903,849,86,2894,-44.4303,-108.1785,1,1,1,19
87,903,849,87,2895,57.5678,-150.0415,1,1,1,19
88,988,918,88,\N,47.4240,177.7826,1,0,1,19
89,1056,983,89,\N,75.7750,13.5711,1,0,1,19
90,1056,984,90,\N,-13.6501,-40.9802,1,0,1,19
91,1060,988,91,2922,-68.5446,93.1421,1,1,1,19
92,1061,989,92,2923,74.4974,-113.2824,1,1,1,19
93,1061,989,93,\N,26.9764,-177.0129,1,0,1,19
94,1062,991,94,\N,-35.8956,-167.5493,1,0,1,19
95,1062,990,95,\N,26.7208,-35.4759,1,0,1,19
96,1409,1211,96,2386,27.1497,163.0964,1,1,1,79
97,1409,1212,97,2387,-29.4270,-43.7290,1,1,1,79
98,1511,1319,98,\N,46.7425,28.6299,1,0,1,129
99,1531,1344,99,\N,-28.3347,-137.5307,1,0,1,46
100,1531,1345,100,2880,-45.7667,-163.9887,1,1,1,46
101,1531,1346,101,\N,37.2984,-18.4852,1,0,1,46
102,542,533,102,6816,50.6245,-179.3078,1,1,1,24
103,1531,1345,103,\N,-4.1015,69.9954,1,0,1,46
104,1533,1348,104,\N,45.1790,-134.3400,1,0,1,46
105,1574,1391,105,\N,-781.0000,157.4734,1,0,1,129
106,1579,1397,106,\N,-35.3026,125.7626,1,0,1,129
107,1579,1396,107,\N,-38.2393,-57.4669,1,0,1,129
108,1585,1404,108,\N,60.6023,116.1723,1,0,1,129
109,1597,1415,109,\N,29.9000,-125.4000,1,0,1,126
110,1603,1426,110,\N,-42.9412,-83.0116,1,1,1,129
111,1603,1427,111,5538,35.4996,60.7949,1,1,1,129
112,1619,1443,112,5539,23.1655,121.1066,1,1,1,129
113,1619,1444,113,5540,-38.4706,34.9521,1,1,1,129
114,1628,1453,114,5622,33.0642,63.7917,1,0,1,19
115,1628,1454,115,\N,18.6211,-119.2363,1,0,1,19
116,1636,1465,116,5879,-15.4903,39.8149,1,0,1,129
117,1636,1466,117,\N,19.7509,148.6462,1,0,1,129
118,1636,1467,118,\N,-33.8064,-154.9665,1,0,1,129
119,1636,1468,119,\N,5.0520,174.6483,1,1,1,129
120,1638,1470,120,5620,26.4682,-42.5670,1,0,1,19
121,1639,1471,121,\N,45.1199,101.7850,1,0,1,129
122,1649,1482,122,\N,40.2611,95.5838,1,0,1,129
123,1652,1484,123,\N,-14.6653,106.3722,1,0,1,46
124,1651,1483,124,\N,49.7332,18.5988,1,0,1,46
125,1652,1484,125,\N,53.3894,-10.1255,1,0,1,46
126,1652,1484,126,\N,52.1812,-16.2724,1,0,1,46
127,1652,1484,127,\N,53.2032,146.4852,1,0,1,46
128,1661,1492,128,\N,8.3288,-6.3952,1,0,1,129
129,1661,1493,129,\N,20.6584,-137.4866,1,0,1,129
130,1662,1494,130,\N,-33.0878,-55.8072,1,0,1,46
131,1672,1505,131,\N,-48.4500,-148.2100,1,0,1,126
