id,cmdrName
1,1_Unknown
2,5paxx0r
3,AdmlAdama
4,Aethir of Menelaus
5,Air Chief Jim
6,Alice Cooper
7,Alvivas
8,Ancla
9,Andrew Crisp
10,Astinius
11,astroJR
12,Astrovenator
13,austeregrim
14,Awan
15,b0rys
16,bagofholding
17,Bathuzad
18,Baton
19,Big blk Bruce
20,bigcee75
21,Blain Crighton
22,Bluecrash
23,Bodaishin
24,Borgut86
25,Braden Fanguard
26,Broadsword1986
27,buck satan
28,Buzz I
29,Camulorix
30,Canon Fodder
31,Captain-MD
32,Chiggi
33,ChreaN
34,Clobbertime
35,ClusterNuke63
36,CodexNecro81
37,Commanjo20X6
38,Copernic Project
39,Crassus
40,Crimshadow
41,CriosX
42,Cyclosphere
43,Cymoril Irsei
44,D.D. Harriman
45,Dan Soare
46,danubezoe
47,Darius Thrain
48,Dave Hedgehog
49,Dave Weyland
50,David Mik
51,Deltus Infinium
52,Den Elton
53,Denis Gold
54,Denneb
55,DMaddogg
56,DMehaffy
57,Doctor Weird
58,DoG Duggy
59,Dogwood Ivy
60,Doom666
61,Dreamstate
62,DS_Operative
63,Dutch Foster
64,dvr_n
65,Ecthelion
66,Edard
67,Electricnacho
68,Erkan Aergan
69,Factabulous
70,Farran
71,Fey Sky
72,Galactic Fork
73,gauntl3t_83
74,Geovanny
75,GoukaMekkyaku
76,Greenie_4711
77,Grimelinho
78,Grimscrub
79,Gul.duKat
80,GURU-951
81,HAN CHOCO
82,helaeon
83,Hyperion-993
84,iamF1
85,Ian Doncaster
86,ichigobankai09
87,INFINITEDREAMER
88,Insane Golgotha
89,Ishmair
90,Iureka
91,Jamie Rush
92,Jeet Klo
93,John Allbright
94,Jon Cameron
95,joulupunikki
96,kal_adar
97,Kataclysim
98,Kaz Archer
99,Kerevan
100,Klumpozyte
101,Kraykray
102,Kuretes
103,Lain Brigands
104,Larzok82
105,Lex Fernetti
106,Lexic Meise
107,LivewareCascade
108,Lucius-Darcia
109,Luke Art
110,Madraptor
111,Mahlergreen
112,Malic
113,Maligno
114,MAPUDAN
115,Mar.Meow
116,Marcus Seldon
117,Markospliff
118,Marvin871PL
119,Mat2596
120,Mazrix
121,Mengy
122,Metroid
123,mGtRd
124,Midnight Ninja
125,Mighty BOB
126,Mikhram
127,mimionline700
128,Mist0
129,Mjr Brownstains
130,ModishNouns
131,Molan Ryke
132,Morality Gnashes
133,MrRayben123
134,MuggleMarc
135,Mursac
136,Mykl Atrum
137,Namix
138,Nemac
139,Nexusprime
140,NinjaDragon80
141,Nivell
142,Node_
143,Nolanus Raven
144,NSR2
145,Nstor1
146,Nwonknu
147,Nyanide
148,Oberdofer
149,Oida Voda
150,Orskaa
151,Ozric
152,P-R-TRIDGE
153,Panpiper
154,Partyboyky101
155,Petey4335
156,PhoenixBlue0
157,Phrausted
158,PilotPirx
159,Plutonicfever
160,Psykocow
161,PwnLuc Jicard
162,Quake Matt
163,Raiss
164,Raj Matheo
165,rbarba
166,Redden Alt-Mer
167,Rex Slacker
168,Rikske
169,Robbie
170,Roehl Debruys
171,Rollo Rhadium
172,Rory Clague
173,RualStorge
174,Schleichmichel
175,Scrotiecraptaco
176,Sgt.Glory
177,SharkBiscuit
178,Sharky
179,Shaye
180,Sheehy
181,Shoryuken
182,Simi2
183,Sleep Runner
184,SPIDD
185,Spock Oddsocks
186,Starry
187,Steve Arthur
188,Steyla
189,Stulli
190,Survivor-VT111
191,SWiFT ViiZIONS
192,Syleo
193,Taen
194,Tear This Ship Apart
195,Tharrn
196,Thatchinho
197,Thepher
198,Thomas Kavendish
199,Thorberg Shavestroke
200,Thorinbur
201,tomparkes1993
202,Tuvok
203,uggi75
204,Unknown
205,Vaelel
206,vallor
207,Varonica
208,Venacz
209,Violet Lightwave
210,William J Smith
211,wrah
212,X1R0
213,Xed
214,Xenia_K
215,xNicoyax
216,Yimm
217,Yure
218,Zantetzou
219,Zebarmy
220,Zed
221,Zenith
222,Zenith Ddraiglas
223,Zero Shift
224,Zieman
225,Zorbaq
