id,system,body,siteID,latitude,longitude,count,verified,visible,discoveredBy
1,1309,1117,1,-3.3269,139.8931,NULL,0,1,66
2,173,97,2,17.29,-108.53,NULL,0,1,141
3,698,660,3,-24.78,125.81,NULL,0,1,141
4,698,661,4,73.53,-16.62,NULL,0,1,141
5,1553,1380,5,-39.13,60.96,NULL,0,1,141
6,1553,1382,6,61.5873,164.3526,NULL,0,1,141
7,1584,1400,7,12.92,175.41,NULL,0,1,141
8,1621,1462,8,-5.07,169.47,NULL,0,1,141
9,459,436,9,-14.0726,94.3267,NULL,0,1,16
10,698,661,10,19.58,-162.58,NULL,0,1,152
11,1309,1116,11,-20.53,151.35,NULL,0,1,192
12,1309,1116,12,-18.14,96.39,NULL,0,1,192
13,1309,1117,13,13.66,-40.78,NULL,0,1,192
14,829,774,14,41.06,150.73,NULL,0,1,192
15,830,775,15,-15.98,143.61,NULL,0,1,192
16,158,83,16,-32.8343,15.0372,NULL,0,1,90
17,518,521,17,66.3917,84.1447,NULL,0,1,133
18,512,516,18,-48.2731,-47.4449,NULL,0,1,192
19,513,517,19,24.15,-45.8258,NULL,0,1,192
20,520,523,20,51.4334,17.5896,NULL,0,1,146
21,520,523,21,61.5956,30.1354,NULL,0,1,146
22,523,526,22,-11.5608,33.8907,NULL,0,1,146
23,522,525,23,18.6796,132.9822,NULL,0,1,146
24,1553,1380,24,10.6344,56.2811,NULL,0,1,84
25,1553,1380,25,29.1773,75.802,NULL,0,1,84
26,1553,1381,26,-16.9526,-13.2767,NULL,0,1,188
27,576,585,27,2.0046,29.2919,NULL,0,1,14
28,576,585,28,45.3692,-177.0091,NULL,0,1,14
29,576,585,29,2.1793,-150.6453,NULL,0,1,14
30,576,585,30,-38.2095,106.2298,NULL,0,1,14
31,1553,1382,31,37.2468,155.3687,NULL,0,1,105
32,459,436,32,26.3988,90.6247,NULL,0,1,16
33,495,487,33,30.4118,-134.6438,NULL,0,1,16
34,495,487,34,-31.5981,-56.2382,NULL,0,1,16
35,495,487,35,14.7116,135.528,NULL,0,1,16
36,469,452,36,-29.9745,4.0689,NULL,0,1,16
37,469,452,37,3.0361,84.7171,NULL,0,1,16
38,480,466,38,-45.0271,45.6161,NULL,0,1,16
39,480,465,39,32.8233,99.8167,NULL,0,1,16
40,540,544,40,40.0754,-111.6587,NULL,0,1,146
41,151,76,41,-12.3667,143.6478,NULL,0,1,192
42,151,76,42,-35.8725,-89.5558,NULL,0,1,192
43,151,76,43,-26.1436,-87.004,NULL,0,1,192
44,151,76,44,45.234,167.2092,NULL,0,1,192
45,541,546,45,-53.0819,-163.0337,NULL,0,1,146
46,698,661,46,-3.8712,-56.3881,NULL,0,1,84
47,545,551,47,-9.1401,-45.1593,NULL,0,1,146
48,388,362,48,9.1864,-150.4373,NULL,0,1,146
49,941,866,49,9.724,-161.4523,NULL,0,1,137
50,387,361,50,9.2572,27.7121,NULL,0,1,146
51,387,361,51,17.1353,-107.5362,NULL,0,1,146
52,941,866,52,4.8999,28.4902,NULL,0,1,137
