id,system,body,siteID,latitude,longitude,count,verified,visible,discoveredBy
1,2,2,1,-4.8631,3.0394,NULL,0,1,141
2,4,3,2,-65.5780,165.2446,NULL,0,1,16
3,4,5,3,-22.1270,-99.8050,NULL,0,1,16
4,4,4,4,18.5441,117.2379,NULL,0,1,16
5,5,6,5,-33.2476,52.9794,NULL,0,1,16
6,5,7,6,34.7347,99.5606,NULL,0,1,16
7,6,9,7,7.7559,-153.3222,NULL,0,1,16
8,196,132,8,27.1906,41.6520,NULL,0,1,16
9,200,136,9,10.5512,-151.2654,NULL,0,1,16
10,202,138,10,54.4862,52.0458,NULL,0,1,16
11,214,151,11,4.1726,162.7135,NULL,0,1,16
12,221,159,12,7.9078,132.2088,NULL,0,1,16
13,221,159,13,-0.3814,-53.8507,NULL,0,1,16
14,221,159,14,-10.8164,-43.3248,NULL,0,1,16
15,221,159,15,-69.0015,121.4782,NULL,0,1,16
16,234,183,16,44.1401,-76.8827,NULL,0,1,16
17,242,191,17,43.8595,44.5843,NULL,0,1,16
18,242,191,18,28.9110,112.8688,NULL,0,1,16
19,246,198,19,-5.7463,96.7247,NULL,0,1,16
20,246,199,20,-3.1468,-59.9358,NULL,0,1,16
21,246,197,21,-48.8886,-151.9067,NULL,0,1,16
22,246,197,22,44.6974,-93.0335,NULL,0,1,16
23,246,197,23,35.0087,76.5551,NULL,0,1,16
24,246,196,24,-25.5887,-108.5824,NULL,0,1,16
25,246,196,25,-42.8524,-134.1830,NULL,0,1,16
26,246,196,26,64.8666,-130.988,NULL,0,1,16
27,246,196,27,24.3299,44.2246,NULL,0,1,16
28,246,196,28,14.6168,-0.6771,NULL,0,1,16
29,248,204,29,-50.1253,129.5716,NULL,0,1,16
30,239,188,30,40.3987,-1.7777,NULL,0,1,16
31,252,208,31,-61.4610,26.6463,NULL,0,1,16
32,252,208,32,24.1381,-65.5068,NULL,0,1,16
33,258,218,33,17.4114,-98.8253,NULL,0,1,16
34,258,217,34,45.9501,-43.4345,NULL,0,1,16
35,263,226,35,-50.5520,-165.8521,NULL,0,1,16
36,270,238,36,7.2636,149.9771,NULL,0,1,16
37,283,253,37,48.0808,127.0176,NULL,0,1,16
38,283,253,38,13.5402,140.2993,NULL,0,1,16
39,293,266,39,-64.0736,-27.7055,NULL,0,1,16
40,293,266,40,-30.1192,-74.0093,NULL,0,1,16
41,293,266,41,-45.8336,-139.5594,NULL,0,1,16
42,503,499,42,14.1399,-158.4774,NULL,0,1,16
43,503,499,43,-66.5205,167.9569,NULL,0,1,16
44,504,500,44,43.1344,61.7306,NULL,0,1,16
45,504,500,45,47.5327,150.6297,NULL,0,1,16
46,505,501,46,69.5822,-65.6835,NULL,0,1,16
47,505,502,47,-15.1114,-19.0249,NULL,0,1,16
48,507,504,48,19.1472,-74.7557,NULL,0,1,16
49,507,505,49,-25.7799,92.8599,NULL,0,1,16
50,507,507,50,39.8712,9.8842,NULL,0,1,16
51,507,506,51,-0.3307,56.0831,NULL,0,1,16
52,508,508,52,-24.9527,-43.5946,NULL,0,1,16
53,509,510,53,-51.1798,84.8238,NULL,0,1,16
54,509,509,54,16.3128,85.3387,NULL,0,1,16
55,509,509,55,-40.1837,173.1855,NULL,0,1,16
56,509,511,56,46.4111,109.9064,NULL,0,1,16
57,509,512,57,5.4721,-52.5514,NULL,0,1,16
58,510,513,58,59.3803,159.9808,NULL,0,1,16
59,510,514,59,-67.0822,-133.4404,NULL,0,1,16
60,515,519,60,25.0470,-179.8852,NULL,0,1,141
61,531,536,61,-83.0984,32.6312,NULL,0,1,16
62,532,537,62,5.8204,-51.4230,NULL,0,1,16
63,564,574,63,72.0505,-56.1021,NULL,0,1,16
64,568,578,64,33.0752,12.2098,NULL,0,1,16
65,705,671,65,-30.0396,-149.4684,NULL,0,1,105
66,710,677,66,-42.0381,9.3240,NULL,0,1,16
67,712,679,67,-15.4508,-127.4753,NULL,0,1,105
68,712,680,68,42.6634,95.1986,NULL,0,1,105
69,712,681,69,-4.2054,-148.8758,NULL,0,1,105
70,714,683,70,-27.7507,-98.7055,NULL,0,1,105
71,719,693,71,28.3995,89.7813,NULL,0,1,16
72,722,696,72,-35.3982,126.2055,NULL,0,1,16
73,731,713,73,25.0856,114.2113,NULL,0,1,16
74,731,713,74,34.1690,-105.1043,NULL,0,1,16
75,731,714,75,45.0142,-36.2342,NULL,0,1,16
76,731,714,76,-17.1079,139.6668,NULL,0,1,16
77,731,714,77,-23.3599,107.6398,NULL,0,1,16
78,731,714,78,-16.4619,107.9966,NULL,0,1,16
79,731,714,79,-13.3061,53.8875,NULL,0,1,16
80,750,730,80,67.0093,75.6757,NULL,0,1,16
81,814,757,81,32.3710,-66.7544,NULL,0,1,16
82,814,758,82,-7.0199,3.7237,NULL,0,1,16
83,820,765,83,11.4400,48.4300,NULL,0,1,135
84,820,765,84,6.8700,135.3200,NULL,0,1,189
85,822,767,85,-36.3052,-80.1392,NULL,0,1,16
86,822,767,86,-44.4303,-108.1785,NULL,0,1,16
87,822,767,87,57.5678,-150.0415,NULL,0,1,16
88,901,826,88,47.4240,177.7826,NULL,0,1,16
89,961,884,89,75.7750,13.5711,NULL,0,1,16
90,961,885,90,-13.6501,-40.9802,NULL,0,1,16
91,963,887,91,-68.5446,93.1421,NULL,0,1,16
92,964,888,92,74.4974,-113.2824,NULL,0,1,16
93,964,888,93,26.9764,-177.0129,NULL,0,1,16
94,965,890,94,-35.8956,-167.5493,NULL,0,1,16
95,965,889,95,26.7208,-35.4759,NULL,0,1,16
96,1296,1102,96,27.1497,163.0964,NULL,0,1,63
97,1296,1103,97,-29.4270,-43.7290,NULL,0,1,63
98,1386,1189,98,46.7425,28.6299,NULL,0,1,105
99,1405,1209,99,-28.3347,-137.5307,NULL,0,1,37
100,1405,1210,100,-45.7667,-163.9887,NULL,0,1,37
101,1405,1211,101,37.2984,-18.4852,NULL,0,1,37
102,1405,1212,102,-25.9627,-30.6480,NULL,0,1,37
103,1405,1210,103,-4.1015,69.9954,NULL,0,1,37
104,1407,1214,104,45.1790,-134.3400,NULL,0,1,37
105,1439,1248,105,-781.0000,157.4734,NULL,0,1,105
106,1443,1253,106,-35.3026,125.7626,NULL,0,1,105
107,1443,1252,107,-38.2393,-57.4669,NULL,0,1,105
108,1448,1259,108,60.6023,116.1723,NULL,0,1,105
109,1460,1269,109,29.9000,-125.4000,NULL,0,1,102
110,1465,1279,110,-42.9412,-83.0116,NULL,0,1,105
111,1465,1280,111,35.4996,60.7949,NULL,0,1,105
112,1480,1295,112,23.1655,121.1066,NULL,0,1,105
113,1480,1296,113,-38.4706,34.9521,NULL,0,1,105
114,1488,1303,114,33.0642,63.7917,NULL,0,1,16
115,1488,1304,115,18.6211,-119.2363,NULL,0,1,16
116,1495,1314,116,-15.4903,39.8149,NULL,0,1,105
117,1495,1315,117,19.7509,148.6462,NULL,0,1,105
