id,cmdrName
1,1_Unknown
2,AdmlAdama
3,Alice Cooper
4,Alvivas
5,Ancla
6,Andrew Crisp
7,Astrovenator
8,Awan
9,bagofholding
10,Bathuzad
11,Baton
12,Blain Crighton
13,Bluecrash
14,Borgut86
15,Broadsword1986
16,Buzz I
17,Camulorix
18,Canon Fodder
19,Captain-MD
20,ChreaN
21,Clobbertime
22,ClusterNuke63
23,CodexNecro81
24,Commanjo20X6
25,Crassus
26,Crimshadow
27,D.D. Harriman
28,Dan Soare
29,Dave Hedgehog
30,Dave Weyland
31,Deltus Infinium
32,Den Elton
33,Denis Gold
34,DMaddogg
35,DMehaffy
36,Doctor Weird
37,DoG Duggy
38,Dogwood Ivy
39,Doom666
40,DS_Operative
41,Dutch Foster
42,dvr_n
43,Edard
44,Factabulous
45,Farran
46,Fey Sky
47,Galactic Fork
48,GoukaMekkyaku
49,Grimelinho
50,Gul.duKat
51,GURU-951
52,helaeon
53,iamF1
54,Ian Doncaster
55,Jamie Rush
56,Jeet Klo
57,John Allbright
58,joulupunikki
59,Kaz Archer
60,Kuretes
61,Larzok82
62,Lexic Meise
63,Luke Art
64,Mahlergreen
65,Maligno
66,Mar.Meow
67,Marcus Seldon
68,Mengy
69,Metroid
70,Mighty BOB
71,Mikhram
72,mimionline700
73,Mursac
74,Namix
75,NinjaDragon80
76,Node_
77,Nolanus Raven
78,Nyanide
79,Ozric
80,P-R-TRIDGE
81,Panpiper
82,PhoenixBlue0
83,Phrausted
84,PilotPirx
85,PwnLuc Jicard
86,Raiss
87,Raj Matheo
88,Rex Slacker
89,Roehl Debruys
90,Rory Clague
91,RualStorge
92,Scrotiecraptaco
93,Sgt.Glory
94,Shoryuken
95,Simi2
96,Sleep Runner
97,Spock Oddsocks
98,Starry
99,Steve Arthur
100,Steyla
101,Stulli
102,Survivor-VT111
103,SWiFT ViiZIONS
104,Syleo
105,Taen
106,Tear This Ship Apart
107,Tharrn
108,Thepher
109,Thomas Kavendish
110,Thorberg Shavestroke
111,uggi75
112,Varonica
113,Venacz
114,Violet Lightwave
115,wrah
116,Xed
117,Xenia_K
118,xNicoyax
119,Zebarmy
120,Zed
121,Zero Shift
122,Zieman
