id,gbsite,messageSystem,messageBody,latitude,longitude
1,1,1501,1274,12.18,44.31
2,2,1437,1205,-46.8,-132.28
3,3,1437,1205,-46.8,-132.28
4,4,1489,1263,47.41,80.6
5,5,853,777,25.47,-132.9
6,6,1466,1238,-23.99,174.22
7,7,964,869,-1.18,25.38
8,8,1438,1206,-52.28,98.44
9,9,1472,1244,-3.49,-115.24
10,10,1611,1400,2.6,126.62
11,11,1529,1307,-44.92,89.42
12,12,1474,1246,37.8,-111.61
13,13,960,865,80.3,113.4
14,14,1444,1211,-16.2,-5.73
15,15,1508,1282,50.63,-35.06
16,16,1444,1211,-16.2,-5.73
17,17,1493,1267,-42.522,-155.66
18,18,1469,1241,64.31,163.65
19,19,1485,1258,-4.85,-65.77
20,20,1517,1291,38.27,-48.57
21,21,1497,1270,56.72,121.67
22,22,1439,1207,43.66,174.22
23,23,856,780,-44.52,34.33
24,24,1457,1226,-14.06,-31.18
25,25,1536,1317,59.51,-23.36
26,26,1470,1242,-37.56,-125.58
27,27,1462,1234,-45.48,152.41
