id,gsSite,activeGroup
1,1,9
2,1,11
3,2,16
4,2,17
5,2,18
6,2,19
7,3,12
8,3,13
9,3,14
10,4,1
11,4,2
12,4,4
13,5,9
14,5,10
15,5,11
16,6,1
17,6,2
18,6,4
19,7,9
20,7,10
21,7,11
22,8,12
23,8,13
24,8,14
25,9,16
26,9,17
27,9,18
28,9,19
29,10,1
30,10,2
31,10,4
32,11,9
33,11,11
34,12,1
35,12,2
36,12,4
37,13,24
38,13,25
39,13,26
40,13,27
41,14,1
42,14,2
43,14,4
44,15,5
45,15,6
46,15,8
47,16,1
48,16,2
49,16,4
50,17,5
51,17,6
52,17,7
53,18,1
54,18,2
55,18,4
56,19,12
57,19,13
58,19,14
59,20,1
60,20,2
61,20,4
62,21,5
63,21,6
64,21,8
65,22,6
66,22,8
67,23,16
68,23,17
69,23,18
70,23,19
71,24,16
72,24,17
73,25,1
74,25,2
75,25,4
76,26,16
77,26,17
78,26,18
79,26,19
80,27,9
81,27,10
82,27,11
83,28,9
84,28,10
85,28,11
86,29,1
87,29,2
88,29,4
89,30,5
90,30,6
91,30,8
92,31,24
93,31,25
94,31,26
95,31,27
96,32,24
97,32,25
98,32,26
99,32,27
100,33,20
101,33,21
102,33,22
103,33,23
104,34,20
105,34,21
106,34,22
107,34,23
108,35,20
109,35,21
110,35,22
111,35,23
112,36,12
113,36,13
114,36,14
115,37,12
116,37,13
117,37,14
118,38,20
119,38,22
120,38,23
121,39,6
122,39,8
123,40,1
124,40,2
125,40,4
126,41,6
127,41,8
128,42,16
129,42,17
130,42,18
131,42,19
132,43,12
133,43,13
134,43,14
135,44,24
136,44,25
137,44,26
138,44,27
139,45,20
140,45,21
141,45,22
142,45,23
143,46,9
144,46,10
145,46,11
146,47,5
147,47,6
148,47,7
149,48,20
150,48,21
151,48,23
152,49,24
153,49,25
154,49,26
155,49,27
156,50,21
157,50,22
158,50,23
159,51,5
160,51,6
161,51,8
162,52,12
163,52,13
164,52,14
165,53,12
166,53,13
167,54,1
168,54,2
169,54,4
170,55,12
171,55,13
172,55,14
173,56,20
174,56,23
175,57,9
176,57,10
177,57,11
178,58,1
179,58,2
180,58,4
181,59,5
182,59,6
183,59,7
184,59,8
185,60,24
186,60,25
187,60,26
188,60,27
189,61,20
190,61,21
191,61,22
192,62,9
193,62,10
194,62,11
195,63,1
196,63,2
197,63,4
198,64,5
199,64,6
200,64,8
201,65,5
202,65,6
203,65,8
204,66,20
205,66,21
206,66,22
207,67,20
208,67,21
209,67,22
210,68,16
211,68,17
212,68,18
213,68,19
214,69,1
215,69,2
216,69,4
217,70,16
218,70,17
219,70,18
220,70,19
221,71,12
222,71,13
223,71,14
224,72,5
225,72,6
226,72,8
227,73,1
228,73,2
229,73,4
230,79,36
231,79,37
232,79,39
233,79,42
234,81,32
235,81,33
236,81,34
237,81,35
238,91,36
239,91,37
240,91,40
241,91,43
242,94,28
243,94,29
244,94,30
245,96,28
246,96,29
247,96,30
248,97,32
249,97,33
250,97,34
251,97,35
