id,gsSite,activeObelisk
1,1,84
2,1,107
3,2,153
4,2,157
5,2,171
6,2,184
7,2,190
8,2,192
9,3,119
10,3,128
11,3,138
12,4,4
13,4,6
14,4,9
15,4,10
16,4,39
17,4,42
18,4,45
19,4,46
20,5,85
21,5,98
22,5,102
23,6,5
24,6,7
25,6,37
26,6,41
27,6,43
28,7,88
29,7,97
30,7,109
31,8,114
32,8,123
33,8,145
34,9,154
35,9,161
36,9,173
37,9,190
38,10,6
39,10,10
40,10,40
41,10,41
42,10,42
43,11,85
44,11,102
45,12,4
46,12,6
47,12,9
48,12,36
49,12,39
50,12,42
51,12,43
52,12,45
53,13,228
54,13,243
55,13,250
56,13,256
57,13,265
58,14,4
59,14,9
60,14,39
61,14,42
62,14,46
63,15,51
64,15,60
65,15,67
66,15,77
67,16,6
68,16,10
69,16,38
70,16,41
71,16,42
72,17,52
73,17,65
74,17,67
75,17,71
76,18,3
77,18,14
78,18,37
79,18,40
80,18,44
81,19,111
82,19,131
83,19,133
84,20,3
85,20,6
86,20,13
87,20,14
88,20,37
89,20,43
90,20,45
91,20,46
92,21,56
93,21,59
94,21,76
95,22,67
96,22,77
97,23,153
98,23,158
99,23,174
100,23,181
101,23,192
102,24,153
103,24,162
104,25,4
105,25,7
106,25,43
107,25,44
108,25,46
109,26,153
110,26,158
111,26,174
112,26,178
113,26,181
114,27,81
115,27,84
116,27,92
117,27,104
118,27,107
119,28,86
120,28,96
121,28,103
122,29,2
123,29,14
124,29,38
125,29,39
126,29,46
127,30,55
128,30,60
129,30,74
130,31,230
131,31,240
132,31,249
133,31,254
134,31,264
135,32,228
136,32,233
137,32,242
138,32,243
139,32,249
140,32,250
141,32,253
142,32,256
143,32,264
144,32,265
145,33,197
146,33,201
147,33,215
148,33,220
149,34,193
150,34,208
151,34,215
152,34,220
153,35,193
154,35,202
155,35,207
156,35,215
157,35,221
158,36,114
159,36,124
160,36,145
161,37,115
162,37,124
163,37,146
164,38,197
165,38,199
166,38,210
167,38,217
168,39,67
169,39,77
170,40,5
171,40,13
172,40,39
173,40,41
174,40,42
175,41,59
176,41,77
177,42,156
178,42,165
179,42,167
180,42,179
181,42,183
182,43,120
183,43,129
184,43,138
185,44,230
186,44,240
187,44,249
188,44,254
189,44,264
190,45,193
191,45,199
192,45,202
193,45,215
194,45,220
195,46,82
196,46,96
197,46,105
198,47,54
199,47,62
200,47,67
201,47,70
202,48,199
203,48,202
204,48,208
205,48,221
206,49,225
207,49,238
208,49,249
209,49,254
210,49,264
211,50,201
212,50,202
213,50,215
214,50,221
215,51,55
216,51,60
217,51,65
218,51,74
219,52,114
220,52,123
221,52,145
222,53,113
223,53,121
224,54,2
225,54,11
226,54,37
227,54,38
228,54,46
229,55,120
230,55,129
231,55,138
232,56,193
233,56,197
234,56,199
235,56,220
236,57,88
237,57,97
238,57,109
239,58,3
240,58,9
241,58,43
242,58,46
243,58,40
244,59,54
245,59,56
246,59,58
247,59,59
248,59,62
249,59,70
250,59,75
251,60,231
252,60,246
253,60,250
254,60,257
255,60,265
256,61,199
257,61,207
258,61,215
259,62,79
260,62,93
261,62,106
262,63,3
263,63,14
264,63,37
265,63,38
266,63,41
267,64,51
268,64,55
269,64,58
270,64,60
271,64,67
272,64,75
273,64,77
274,65,56
275,65,59
276,65,62
277,65,75
278,66,197
279,66,201
280,66,210
281,67,199
282,67,208
283,67,210
284,67,215
285,68,156
286,68,165
287,68,167
288,68,184
289,68,187
290,69,5
291,69,13
292,69,38
293,69,41
294,69,46
295,70,153
296,70,157
297,70,171
298,70,183
299,70,187
300,70,192
301,71,111
302,71,131
303,71,133
304,72,55
305,72,60
306,72,62
307,72,75
308,73,5
309,73,13
310,73,43
311,73,44
312,73,40
313,75,422
314,75,430
315,75,465
316,75,483
317,76,429
318,76,440
319,76,467
320,76,486
321,77,429
322,77,440
323,77,467
324,77,486
325,78,341
326,78,358
327,78,372
328,78,395
329,79,428
330,79,437
331,79,455
332,79,480
333,80,267
334,80,272
335,80,286
336,80,291
337,80,297
338,81,341
339,81,358
340,81,372
341,81,396
342,82,272
343,82,291
344,82,297
345,83,325
346,83,345
347,83,367
348,84,428
349,84,437
350,84,455
351,84,480
352,85,333
353,85,357
354,85,371
355,85,394
356,86,419
357,86,430
358,86,465
359,86,485
360,88,338
361,88,361
362,88,369
363,88,393
364,89,422
365,89,430
366,89,465
367,89,483
368,90,81
369,90,92
370,90,104
371,91,419
372,91,430
373,91,466
374,91,485
375,92,272
376,92,292
377,92,297
378,93,428
379,93,432
380,93,437
381,93,455
382,93,459
383,93,475
384,93,480
385,94,272
386,94,291
387,94,297
388,95,266
389,95,285
390,96,269
391,96,293
392,96,303
393,97,333
394,97,338
395,97,357
396,97,346
397,97,371
398,97,385
399,97,393
400,97,394
401,98,272
402,98,291
403,98,297
404,99,338
405,99,341
406,99,346
407,99,361
408,99,369
409,99,385
410,99,395
411,100,422
412,100,435
413,100,456
414,100,483
415,101,354
416,101,362
417,101,389
418,102,334
419,102,344
420,102,373
421,102,396
422,103,154
423,103,158
424,103,174
425,103,187
426,104,153
427,104,158
428,104,166
429,104,167
430,104,174
431,104,181
432,104,184
433,104,187
434,104,190
435,105,266
436,105,284
437,106,333
438,106,357
439,106,371
440,111,87
441,111,99
442,111,109
443,112,55
444,112,60
445,112,74
446,113,228
447,113,243
448,113,250
449,113,256
450,113,265
451,114,156
452,114,165
453,114,167
454,114,179
455,114,184
456,116,153
457,116,157
458,116,171
459,116,181
460,116,184
461,116,192
