id,system,body,siteID,latitude,longitude,count,verified,visible,discoveredBy
1,1643,1409,1,38.8111,-130.3432,NULL,0,1,14
2,372,343,2,-16.9577,-17.2757,NULL,0,1,14
3,1571,1337,3,-29.722,91.478,NULL,0,1,14
4,1570,1336,4,-32.1679,91.4709,NULL,0,1,14
5,347,320,5,-41.5087,-168.7731,NULL,0,1,28
6,347,320,6,66.9674,167.043,NULL,0,1,28
7,347,320,7,16.4535,111.3423,NULL,0,1,28
8,347,320,8,11.515,-139.0139,NULL,0,1,28
9,356,327,9,40.1341,-151.7328,NULL,0,1,28
10,153,82,10,72.6948,-69.7243,NULL,0,1,43
11,1206,940,11,44.7967,-64.6416,NULL,0,1,6
12,1206,940,12,53.4202,51.7159,NULL,0,1,6
13,1548,1304,13,58.6739,-80.8141,NULL,0,1,92
14,146,75,14,-5.0897,-155.0098,NULL,0,1,154
15,391,363,15,67.21,-100.6855,NULL,0,1,154
16,834,765,16,-18.6742,-58.3293,NULL,0,1,52
17,1310,1052,17,61.2685,155.0603,NULL,0,1,40
18,142,71,18,-61.2274,-157.9513,NULL,0,1,95
19,1301,1039,19,25.1605,157.8528,NULL,0,1,19
20,1251,987,20,32.6408,172.9669,NULL,0,1,19
21,1359,1095,21,-35.4107,69.5356,NULL,0,1,66
22,1577,1343,22,10.7387,60.5876,NULL,0,1,46
23,125,48,23,29.4388,102.2621,NULL,0,1,19
24,526,529,24,-13.3003,-161.5954,NULL,0,1,46
25,1550,1306,25,-63.315,51.5889,NULL,0,1,59
26,731,706,26,13.3769,69.997,NULL,0,1,73
27,1376,1114,27,46.1517,-99.7919,NULL,0,1,47
28,344,319,28,28.7754,8.6374,NULL,0,1,33
29,931,847,29,32.0073,92.5071,NULL,0,1,59
30,1262,1002,30,47.9833,-109.6827,NULL,0,1,67
31,1505,1263,31,5.9575,-58.3073,NULL,0,1,59
32,365,336,32,39.0469,-58.5762,NULL,0,1,140
33,365,336,33,33.9654,-98.9257,NULL,0,1,140
34,365,336,34,-60.5088,158.2323,NULL,0,1,140
35,365,336,35,-18.2348,-73.8975,NULL,0,1,140
36,926,843,36,14.4214,12.4027,NULL,0,1,157
37,155,84,37,-55.2152,62.3968,NULL,0,1,144
38,1245,982,38,26.9816,81.1913,NULL,0,1,157
39,928,845,39,33.0313,132.2693,NULL,0,1,157
40,326,306,40,6.7942,164.5247,NULL,0,1,88
41,927,844,41,-26.4493,-105.279,NULL,0,1,157
42,1248,984,42,-23.6829,58.5817,NULL,0,1,67
43,393,365,43,40.3149,-104.1278,NULL,0,1,22
44,393,365,44,-22.7717,-177.3404,NULL,0,1,22
45,925,842,45,59.2299,-79.3826,NULL,0,1,157
46,143,72,46,56.8599,75.0595,NULL,0,1,158
47,369,340,47,-12.32,-109.5705,NULL,0,1,144
48,1202,936,48,-79.2671,-167.0497,NULL,0,1,134
49,1326,1064,49,-16.3153,131.8972,NULL,0,1,67
50,1242,979,50,-0.024,-89.1907,NULL,0,1,13
51,1266,1005,51,-25.9479,-133.4786,NULL,0,1,159
52,796,733,52,66.1368,-28.9611,NULL,0,1,42
53,182,114,53,-18.7286,-168.2343,NULL,0,1,42
54,182,114,54,56.6757,-35.5511,NULL,0,1,42
55,182,113,55,20.223,3.4255,NULL,0,1,42
56,1272,1011,56,-17.7558,166.0778,NULL,0,1,42
57,1272,1010,57,59.3058,66.4091,NULL,0,1,42
58,512,512,58,-31.9395,13.5582,NULL,0,1,42
59,356,326,59,13.4782,-33.9249,NULL,0,1,146
60,375,346,60,59.5852,23.6203,NULL,0,1,155
61,826,760,61,61.3057,-139.5297,NULL,0,1,66
62,826,760,62,76.1634,76.0918,NULL,0,1,66
63,1415,1155,63,-39.0385,-76.6066,NULL,0,1,42
64,361,332,64,27.5665,35.0297,NULL,0,1,159
65,495,485,65,-18.7417,77.0928,NULL,0,1,124
66,507,508,66,-74.5741,45.8952,NULL,0,1,27
67,507,508,67,-65.6969,56.1782,NULL,0,1,27
68,683,638,68,-8.4418,128.928,NULL,0,1,27
69,630,605,69,58.8919,-11.8988,NULL,0,1,27
70,719,687,70,6.4145,-160.6624,NULL,0,1,27
71,833,764,71,1.824,-15.2976,NULL,0,1,42
72,1307,1047,72,-36.6738,64.001,NULL,0,1,42
73,1307,1048,73,11.0343,40.5314,NULL,0,1,42
74,1307,1049,74,44.8316,25.4236,NULL,0,1,42
75,387,358,75,7.5015,-109.1642,NULL,0,1,144
76,1510,1268,76,2.9772,6.9911,NULL,0,1,71
77,517,517,77,-39.6659,36.5939,NULL,0,1,42
78,384,355,78,-7.763,-11.913,NULL,0,1,42
79,942,856,79,60.5892,119.7708,NULL,0,1,53
80,943,857,80,26.2467,-33.6285,NULL,0,1,53
81,1498,1254,81,-73.247,-100.7436,NULL,0,1,27
