id,system,body,siteID,latitude,longitude,count,verified,visible,discoveredBy
1,364,341,1,75.9209,-50.3884,NULL,0,1,174
2,125,47,2,26.6262,-3.0664,NULL,0,1,174
3,1575,1397,3,-6.9893,-152.8119,NULL,0,1,174
4,149,78,4,12.2184,-10.2441,NULL,0,1,178
5,149,78,5,-74.9864,-95.0046,NULL,0,1,178
6,149,78,6,-70.0366,-174.733,NULL,0,1,178
7,1588,1416,7,-54.9481,-94.6083,NULL,0,1,112
8,149,78,8,-68.6117,-99.6224,NULL,0,1,178
9,149,78,9,-59.4326,-160.4244,NULL,0,1,178
10,191,129,10,-17.773,161.6514,NULL,0,1,146
11,191,130,11,-2.828,137.6917,NULL,0,1,146
12,1350,1163,12,3.1723,172.4312,NULL,0,1,178
13,1245,1051,13,-27.8096,162.5179,NULL,0,1,106
14,519,525,14,-44.4899,-100.638,NULL,0,1,146
15,1550,1380,15,61.8835,-67.7267,NULL,0,1,84
16,1550,1380,16,72.4314,33.945,NULL,0,1,84
17,1239,1046,17,12.2835,-142.915,NULL,0,1,117
18,162,89,18,69.4519,-5.442,NULL,0,1,179
19,518,524,19,-0.4513,-153.3462,NULL,0,1,146
20,161,88,20,-19.8031,-63.1552,NULL,0,1,185
21,541,550,21,-14.9909,-162.372,NULL,0,1,146
22,541,549,22,63.9633,110.5599,NULL,0,1,146
23,525,530,23,-66.1609,-44.7732,NULL,0,1,74
24,525,530,24,-65.3703,-45.1379,NULL,0,1,74
25,160,87,25,53.0882,133.8129,NULL,0,1,179
26,540,548,26,11.5539,146.229,NULL,0,1,146
27,508,515,27,7.0446,139.2528,NULL,0,1,116
28,542,551,28,23.8555,154.0171,NULL,0,1,146
29,542,551,29,32.5508,-10.59,NULL,0,1,146
30,922,850,30,-42.0135,13.2121,NULL,0,1,74
31,542,551,31,40.4231,32.2982,NULL,0,1,146
32,1269,1077,32,-45.7789,139.0983,NULL,0,1,74
33,386,363,33,-3.5348,11.0031,NULL,0,1,146
34,900,828,34,-7.0972,-106.007,NULL,0,1,146
35,900,828,35,-18.0463,42.0863,NULL,0,1,146
36,152,81,36,27.2378,-80.1881,NULL,0,1,175
37,156,85,37,31.5565,177.7729,NULL,0,1,179
38,1237,1043,38,-6.8861,-172.1937,NULL,0,1,74
39,1237,1043,39,0.4241,-156.0717,NULL,0,1,74
40,1237,1044,40,-65.3787,-127.0076,NULL,0,1,74
41,330,316,41,25.4626,65.4087,NULL,0,1,105
42,330,316,42,-43.9843,1.1024,NULL,0,1,105
43,330,316,43,-44.1371,50.7621,NULL,0,1,105
44,330,316,44,-44.7745,-129.1465,NULL,0,1,105
45,11,10,45,13.5261,72.3732,NULL,0,1,139
46,1275,1084,46,0.5314,164.4449,NULL,0,1,74
47,552,560,47,-68.0372,69.3178,NULL,0,1,47
48,1583,1409,48,60.9169,-170.8148,NULL,0,1,74
49,1300,1112,49,8.6381,85.2415,NULL,0,1,146
50,1331,1142,50,7.7084,127.5177,NULL,0,1,146
51,1332,1143,51,2.3561,-151.1994,NULL,0,1,146
52,401,381,52,10.6252,-31.6873,NULL,0,1,146
53,401,381,53,-9.4622,137.787,NULL,0,1,146
54,401,381,54,5.4729,44.9933,NULL,0,1,146
55,372,349,55,19.8462,-129.6812,NULL,0,1,146
56,150,79,56,1.8216,134.8014,NULL,0,1,146
57,823,772,57,8.2202,179.1203,NULL,0,1,146
58,948,874,58,-32.971,-38.7788,NULL,0,1,183
59,191,129,59,-28.4146,-175.0873,NULL,0,1,146
60,1281,1090,60,-44.9294,177.7631,NULL,0,1,180
61,15,13,61,-22.8044,-162.152,NULL,0,1,141
62,65,41,62,-77.4617,-50.8017,NULL,0,1,141
63,366,343,63,-37.4387,17.6597,NULL,0,1,174
64,180,118,64,44.3791,82.0343,NULL,0,1,74
65,180,115,65,-27.6217,-91.5997,NULL,0,1,74
66,967,894,66,74.376,-132.0391,NULL,0,1,47
67,966,893,67,-70.4309,-54.8392,NULL,0,1,47
68,803,750,68,29.2006,-125.8242,NULL,0,1,47
69,187,125,69,-17.8234,4.5288,NULL,0,1,47
70,189,127,70,-71.6255,89.7166,NULL,0,1,47
71,1310,1121,71,63.4922,-45.0519,NULL,0,1,47
72,123,46,72,-73.9918,-138.3031,NULL,0,1,47
73,123,46,73,18.1597,91.6293,NULL,0,1,47
74,547,557,74,0.5794,-50.3964,NULL,0,1,47
75,536,542,75,1.427,-44.4923,NULL,0,1,47
76,165,92,76,7.6378,51.2403,NULL,0,1,146
77,151,80,77,5.0132,-33.5507,NULL,0,1,146
78,151,80,78,5.5164,-1.7702,NULL,0,1,146
