id,systemName
1,164 G. CANIS MAJORIS
2,26 TAURI
3,2MASS J10433563-5945136
4,2MASS J10433739-6005084
5,2MASS J10444160-5947046
6,37 XI BOOTIS
7,42 N PERSEI
8,59 ARIETIS
9,63 TAU-2 ARIETIS
10,64 ARIETIS
11,64 VIRGINIS
12,65 ARIETIS
13,7 TAURI
14,72 TAURI
15,82 ERIDANI
16,AKANDINIGUA
17,ALAUNUS
18,ALCOR
19,ALCYONE
20,ALDEBARAN
21,ALPHA CENTAURI
22,ALRAI
23,ANOTCHADIAE
24,ARIES DARK REGION AL-O B6-0
25,ARIES DARK REGION AQ-Y D14
26,ARIES DARK REGION DB-X C1-2
27,ARIES DARK REGION DB-X C1-7
28,ARIES DARK REGION DB-X D1-63
29,ARIES DARK REGION DB-X D1-64
30,ARIES DARK REGION FW-W D1-59
31,ARIES DARK REGION FW-W D1-76
32,ARIES DARK REGION GR-V C2-7
33,ARIES DARK REGION GW-W D1-37
34,ARIES DARK REGION GW-W D1-40
35,ARIES DARK REGION GW-W D1-48
36,ARIES DARK REGION GW-W D1-52
37,ARIES DARK REGION GW-W D1-81
38,ARIES DARK REGION GW-W D1-86
39,ARIES DARK REGION GX-S B4-1
40,ARIES DARK REGION HR-W C1-1
41,ARIES DARK REGION HR-W D1-34
42,ARIES DARK REGION HR-W D1-44
43,ARIES DARK REGION HR-W D1-53
44,ARIES DARK REGION HR-W D1-54
45,ARIES DARK REGION IH-V C2-9
46,ARIES DARK REGION IM-V C2-13
47,ARIES DARK REGION IM-V C2-5
48,ARIES DARK REGION IN-S B4-1
49,ARIES DARK REGION IX-S B4-0
50,ARIES DARK REGION JC-V C2-6
51,ARIES DARK REGION JS-T C3-1
52,ARIES DARK REGION JW-W C1-4
53,ARIES DARK REGION KH-V C2-4
54,ARIES DARK REGION LN-T C3-9
55,ARIES DARK REGION MS-S B4-3
56,ARIES DARK REGION MS-T C3-10
57,ARIES DARK REGION MS-T C3-11
58,ARIES DARK REGION MS-T C3-15
59,ARIES DARK REGION MS-T C3-2
60,ARIES DARK REGION MS-T C3-3
61,ARIES DARK REGION MX-U C2-10
62,ARIES DARK REGION MX-U C2-8
63,ARIES DARK REGION ND-R B5-0
64,ARIES DARK REGION NN-T C3-12
65,ARIES DARK REGION NS-S B4-2
66,ARIES DARK REGION NY-Q B5-0
67,ARIES DARK REGION NY-Q B5-3
68,ARIES DARK REGION NY-Q B5-4
69,ARIES DARK REGION OD-S B4-1
70,ARIES DARK REGION OI-T C3-8
71,ARIES DARK REGION OY-Q B5-3
72,ARIES DARK REGION PY-Q B5-1
73,ARIES DARK REGION PY-Q B5-2
74,ARIES DARK REGION PY-Q B5-3
75,ARIES DARK REGION PY-R B4-1
76,ARIES DARK REGION QI-S B4-2
77,ARIES DARK REGION QT-Q B5-2
78,ARIES DARK REGION QY-Q B5-0
79,ARIES DARK REGION QY-Q B5-2
80,ARIES DARK REGION SE-P B6-3
81,ARIES DARK REGION TZ-O B6-2
82,ARIES DARK REGION UZ-O B6-0
83,ARIES DARK REGION VT-R B4-0
84,ARIES DARK REGION XA-N B7-0
85,ARIES DARK REGION YF-N B7-3
86,ARIETIS SECTOR AF-Z B3
87,ARIETIS SECTOR AK-A C4
88,ARIETIS SECTOR AV-X B1-4
89,ARIETIS SECTOR BA-Z B1
90,ARIETIS SECTOR CL-X B1-6
91,ARIETIS SECTOR CQ-Y C18
92,ARIETIS SECTOR DL-Y D73
93,ARIETIS SECTOR DQ-Y C11
94,ARIETIS SECTOR DV-Y B1
95,ARIETIS SECTOR EL-X B1-5
96,ARIETIS SECTOR EL-Y C13
97,ARIETIS SECTOR FG-X B1-4
98,ARIETIS SECTOR GG-X B1-4
99,ARIETIS SECTOR GS-R A5-3
100,ARIETIS SECTOR HS-R A5-1
101,ARIETIS SECTOR HW-W C1-7
102,ARIETIS SECTOR IH-U B3-3
103,ARIETIS SECTOR JR-W C1-8
104,ARIETIS SECTOR KH-V B2-3
105,ARIETIS SECTOR KS-R A5-1
106,ARIETIS SECTOR LS-T B3-1
107,ARIETIS SECTOR MH-V B2-4
108,ARIETIS SECTOR NN-T B3-4
109,ARIETIS SECTOR PX-U B2-2
110,ARIETIS SECTOR TD-T B3-1
111,ARIETIS SECTOR WE-X A2-0
112,ARIETIS SECTOR WT-A B1
113,ARIETIS SECTOR XE-Z B4
114,ARIETIS SECTOR YL-T A4-5
115,ARIETIS SECTOR YZ-W A2-4
116,ARIETIS SECTOR ZE-A D49
117,ARIETIS SECTOR ZJ-A C15
118,ARIETIS SECTOR ZJ-A C3
119,ARIETIS SECTOR ZJ-A C8
120,ARIETIS SECTOR ZO-A B4
121,ASSAIPY LD-K D8-71
122,ASSINDA
123,ASTEROPE
124,ATHAIR YO-I D9-272
125,ATLAS
126,BARNARD'S STAR
127,BAULOO LX-U E2-17
128,BD+37 2416
129,BLAA EAEC NL-L C9-136
130,BLAA HYPAI CZ-D C13-0
131,BLAA HYPAI DD-I B26-0
132,BLAA HYPAI DZ-D C13-1
133,BLAA HYPAI EU-D C13-0
134,BLAA HYPAI LZ-F B27-0
135,BLAA HYPAI OZ-O D6-0
136,BLAA HYPAI OZ-O D6-16
137,BLAA HYPAI XR-I B26-0
138,BLAE EORK IF-G C27-13
139,BLAE EORK QU-D D13-3
140,BLAE EORK RK-C D14-15
141,BLAE EORK RU-D D13-17
142,BLAE EORK RU-D D13-20
143,BLAE EORK UL-J B56-1
144,BLAE HYPUE SW-E B28-1
145,BLAU AED GW-T D4-9
146,BLEETHOAE CM-C D13-208
147,BLO AESCS UL-L B41-1
148,BLO AESCS YY-A D80
149,BLU EUQ BM-C D13-24
150,BOEPP ZK-O E6-226
151,BOEWNST HN-S E4-325
152,BOEWNST MD-H B43-18
153,BOEWNST TG-J D10-1066
154,BOTEIN
155,BRESTLA
156,BUBBLE SECTOR LX-T B3-1
157,BUKURNABAL
158,BYAA FLEE MT-N C21-0
159,BYAE AOWSY GR-N D6-52
160,BYOI THUA BU-R D4-32
161,BYOI THUA FY-F D12-0
162,BYOI THUA JI-J D9-9
163,BYOO BRE KS-S D4-0
164,BYOOE CHRAEA JL-P D5-1
165,BYUA AIM HY-F D12-1322
166,BYUA AIM MX-K D8-4056
167,BYUA AIM TE-W C16-130
168,CALIFORNIA SECTOR BA-A E6
169,CALIFORNIA SECTOR BV-Y C7
170,CALIFORNIA SECTOR DL-Y D4
171,CALIFORNIA SECTOR JH-V C2-12
172,CAVE SECTOR FB-X C1-3
173,CAVE SECTOR JH-V C2-8
174,CD-41 11037
175,CELAENO
176,CETI SECTOR CL-Y D55
177,CHAEA THAA EV-G D10-0
178,CHAEA THUA ZP-F C11-1
179,CHARICK DRIFT
180,CHAUALKYRJA
181,CHO EUR OM-W D1-15
182,CHRAISAO FF-A D12
183,CHRAISOAE HC-M D7-14
184,CHRAISOU AK-R D4-41
185,CHRAISUAE NF-Q C5-1
186,CHRAISUAE UD-T D3-1
187,CHU THUA HS-J B36-0
188,CLOOKUIA MI-K D8-2
189,CLOOKUIA OI-K D8-8
190,COALSACK DARK REGION YJ-A D57
191,COELACHI
192,COEUS
193,COL 132 SECTOR GH-V E2-13
194,COL 132 SECTOR IN-S D4-64
195,COL 132 SECTOR LJ-O B36-3
196,COL 132 SECTOR NT-Q D5-51
197,COL 132 SECTOR UB-R C19-5
198,COL 135 SECTOR BC-K B9-0
199,COL 135 SECTOR RO-Q C5-5
200,COL 135 SECTOR TU-O C6-15
201,COL 140 SECTOR IH-V D2-44
202,COL 173 SECTOR AI-H C11-22
203,COL 173 SECTOR AP-Q B21-2
204,COL 173 SECTOR AU-Y B30-2
205,COL 173 SECTOR AV-N B23-5
206,COL 173 SECTOR BH-K B25-8
207,COL 173 SECTOR BH-L D8-72
208,COL 173 SECTOR BO-F C12-24
209,COL 173 SECTOR BX-I C10-7
210,COL 173 SECTOR CC-K B25-8
211,COL 173 SECTOR CG-M B24-8
212,COL 173 SECTOR CH-L D8-14
213,COL 173 SECTOR DG-M B24-4
214,COL 173 SECTOR DG-M B24-5
215,COL 173 SECTOR DH-K B25-2
216,COL 173 SECTOR DM-U D3-82
217,COL 173 SECTOR DO-F C12-4
218,COL 173 SECTOR DZ-D C13-2
219,COL 173 SECTOR EC-K B25-0
220,COL 173 SECTOR EC-L D8-54
221,COL 173 SECTOR EM-L D8-69
222,COL 173 SECTOR FC-L D8-28
223,COL 173 SECTOR GG-E B28-3
