id,system,body,siteID,latitude,longitude,type,cycle,count,verified,visible,discoveredBy
1,1239,1042,1,2.3189,177.2434,2,3,NULL,0,1,1
2,897,823,2,-26.3515,-156.4056,8,4,NULL,0,1,1
3,1079,967,3,21.93,96.98,2,2,NULL,0,1,1
4,1079,967,4,21.3348,91.9834,8,2,NULL,0,1,1
5,1079,967,5,19.2477,92.0916,8,2,NULL,0,1,1
6,1079,967,6,23.16,94.07,8,2,NULL,0,1,1
7,1079,967,7,20.86,91.68,8,2,NULL,0,1,1
8,1079,967,8,25.3363,25.5291,5,2,NULL,0,1,1
9,1079,967,9,-57.8318,107.4311,8,3,NULL,0,1,1
10,1079,968,10,49.9075,102.7141,2,3,NULL,0,1,1
11,1079,968,11,49.7519,102.161,8,1,NULL,0,1,1
12,1079,968,12,49.5347,102.0792,3,3,NULL,0,1,1
13,1239,1042,13,0.8185,176.5622,2,2,NULL,0,1,1
14,1079,967,14,20.1833,86.7352,8,3,NULL,0,1,1
15,1079,967,15,21.6104,89.0181,8,1,NULL,0,1,1
16,1079,968,16,13.0,18.24,8,1,NULL,0,1,1
17,1079,968,17,49.0665,102.9364,2,2,NULL,0,1,1
18,1079,967,18,22.8117,94.0667,8,1,NULL,0,1,1
19,1079,968,19,49.7498,102.1578,2,2,NULL,0,1,1
20,1079,968,20,59.4,-59.7,8,1,NULL,0,1,1
21,1079,967,21,2.4138,23.5577,3,3,NULL,0,1,1
22,1079,967,22,-0.9981,25.85,8,3,NULL,0,1,1
23,1079,967,23,9.34,22.49,8,1,NULL,0,1,1
24,1079,968,24,49.98,101.51,8,1,NULL,0,1,1
25,1079,968,25,-1.86,-45.17,8,1,NULL,0,1,1
26,1079,967,26,-21.27,-85.61,8,1,NULL,0,1,1
27,1239,1042,27,-6.2472,-173.9321,2,4,NULL,0,1,1
28,1079,967,28,-8.7979,-13.3657,6,4,NULL,0,1,1
29,1079,968,29,-17.61,-18.06,8,1,NULL,0,1,1
30,1079,968,30,-17.95,-17.28,2,2,NULL,0,1,1
31,1079,968,31,-18.23,-17.35,8,1,NULL,0,1,1
32,1079,968,32,-28.04,29.51,8,1,NULL,0,1,1
33,1079,968,33,-2.7,-45.27,8,1,NULL,0,1,1
34,1079,968,34,-1.85,43.63,8,1,NULL,0,1,1
35,1079,968,35,13.01,18.25,8,1,NULL,0,1,1
36,1079,968,36,61.23,-56.02,8,1,NULL,0,1,1
37,1079,968,37,60.3878,-51.8026,8,1,NULL,0,1,1
38,1079,968,38,46.6403,-62.9002,8,1,NULL,0,1,1
39,1061,947,39,-1.254,-164.182,8,4,NULL,0,1,1
40,1061,947,40,-3.13,-162.2377,8,1,NULL,0,1,1
41,1061,947,41,-0.7678,-162.5522,8,1,NULL,0,1,1
42,1061,947,42,-0.5601,-161.9771,3,4,NULL,0,1,1
43,1079,968,43,49.906,101.5107,8,1,NULL,0,1,1
44,1061,947,44,-1.6133,-163.5428,8,4,NULL,0,1,1
45,1061,947,45,-1.4193,-165.1568,5,4,NULL,0,1,1
46,1079,967,46,-58.6949,-98.2852,8,1,NULL,0,1,1
47,1061,949,47,5.89,-70.95,8,1,NULL,0,1,1
48,1061,949,48,3.31,-70.97,2,3,NULL,0,1,1
49,1061,949,49,4.23,-69.81,8,1,NULL,0,1,1
50,1061,949,50,28.41,4.8037,8,1,NULL,0,1,1
51,1061,948,51,-6.51,132.85,8,1,NULL,0,1,1
52,1079,968,52,28.4218,-34.7203,8,1,NULL,0,1,1
53,173,97,53,45.6905,-88.1535,6,2,NULL,0,1,141
54,173,98,54,-21.6941,23.0779,2,3,NULL,0,1,1
55,173,101,55,-34.46,-44.4367,6,3,NULL,0,1,1
56,173,101,56,-29.4314,-54.3335,2,4,NULL,0,1,1
57,173,101,57,-24.7449,-64.0429,5,2,NULL,0,1,1
58,173,101,58,10.357,-80.2207,5,3,NULL,0,1,1
59,175,108,59,-56.2571,108.4921,2,4,NULL,0,1,1
60,1622,1465,60,-16.5359,151.8175,5,4,NULL,0,1,1
61,897,822,61,13.4277,-161.5145,8,4,NULL,0,1,36
62,175,103,62,-17.3842,-18.7939,2,2,NULL,0,1,91
63,1617,1456,63,-65.9886,-173.642,6,4,NULL,0,1,115
64,1061,949,64,42.764,-97.152,8,1,NULL,0,1,1
65,1061,949,65,42.845,-96.98,8,1,NULL,0,1,1
66,171,95,66,37.9339,-40.4353,6,4,NULL,0,1,122
67,171,95,67,34.832,-40.392,2,2,NULL,0,1,122
68,1622,1467,68,-24.4643,-26.8704,3,3,NULL,0,1,91
69,1622,1469,69,-0.5026,-163.3102,2,4,NULL,0,1,91
70,1622,1468,70,4.0266,-40.0451,5,4,NULL,0,1,91
71,171,95,71,30.5814,-66.2712,6,4,NULL,0,1,122
72,171,95,72,-37.4567,14.9971,2,4,NULL,0,1,122
73,171,95,73,30.6258,-67.1392,3,3,NULL,0,1,122
74,897,823,74,8.3379,-96.1337,2,2,NULL,0,1,201
75,897,823,75,-28.245,-109.5219,2,4,NULL,0,1,127
76,171,95,76,64.4428,4.7017,2,4,NULL,0,1,125
77,1622,1465,77,-22.9365,176.0601,5,3,NULL,0,1,122
78,897,823,78,-28.77,-114.01,3,3,NULL,0,1,186
79,175,104,79,-9.7187,138.7988,6,4,NULL,0,1,91
80,173,97,80,-1.4133,-141.7319,3,4,NULL,0,1,91
81,173,99,81,-11.8843,54.5331,2,2,NULL,0,1,91
82,173,100,82,-27.3231,178.3874,2,2,NULL,0,1,91
83,632,616,83,-33.2579,140.347,8,1,NULL,0,1,141
84,632,616,84,-31.9412,141.221,2,4,NULL,0,1,141
85,1061,949,85,18.8394,-82.8223,8,1,NULL,0,1,75
86,1061,949,86,30.182,-54.4523,8,1,NULL,0,1,75
87,1061,949,87,15.9454,-28.9784,8,1,NULL,0,1,75
88,1061,949,88,14.6782,-29.5419,8,1,NULL,0,1,75
89,1061,949,89,15.2147,-31.35,8,1,NULL,0,1,75
90,632,616,90,-32.754,140.103,2,4,NULL,0,1,2
91,1061,949,91,16.947,-82.6808,8,1,NULL,0,1,1
92,1061,948,92,2.5221,142.879,8,1,NULL,0,1,141
93,1061,948,93,5.2474,142.8703,6,3,NULL,0,1,141
94,1061,948,94,0.4332,143.1308,3,3,NULL,0,1,191
95,1061,948,95,46.6599,-170.3448,2,3,NULL,0,1,109
96,1061,948,96,0.891,142.0576,8,3,NULL,0,1,141
97,1061,948,97,-1.7955,141.2449,8,3,NULL,0,1,141
98,1174,1021,98,-27.081,75.1162,2,2,NULL,0,1,141
99,1174,1021,99,-27.1014,74.6003,3,3,NULL,0,1,141
100,1174,1021,100,-26.9032,72.4783,2,4,NULL,0,1,141
101,1174,1021,101,-27.016,72.0928,8,2,NULL,0,1,141
