"id","systemName","edsmID","edsmID64","edsmCoordX","edsmCoordY","edsmCoordZ","edsmCoordLocked","created_at","updated_at"
1,"164 G. CANIS MAJORIS",4506329,74337739940,484.125,-31,-311.03125,1,2018-09-12 08:05:04,2018-09-13 00:10:17
2,"26 TAURI",23376,147339601068,-49.03125,-95.78125,-222.0625,1,2018-09-12 08:05:04,2018-09-13 00:10:17
3,"2MASS J10433563-5945136",801566,53076813116,8613.09375,-122.53125,2710.09375,1,2018-09-12 08:05:04,2018-09-13 00:10:17
4,"2MASS J10433739-6005084",985703,23012042044,8597,-168.25,2731.375,1,2018-09-12 08:05:04,2018-09-13 00:10:17
5,"2MASS J10444160-5947046",187704,115368495739,8614.1875,-116.6875,2733.03125,1,2018-09-12 08:05:04,2018-09-13 00:10:17
6,"37 XI BOOTIS",16622,5581410702034,-4.21875,19.09375,9.8125,1,2018-09-12 08:05:04,2018-09-13 00:10:17
7,"42 N PERSEI",25933,138745472172,-83.5625,-73.40625,-244.34375,1,2018-09-12 08:05:04,2018-09-13 00:10:17
8,"59 ARIETIS",206405,83718247082,-68.875,-91.21875,-187.25,1,2018-09-12 08:05:04,2018-09-13 00:10:17
9,"63 TAU-2 ARIETIS",203325,83718181530,-73,-154.78125,-267.5625,1,2018-09-12 08:05:04,2018-09-13 00:10:17
10,"64 ARIETIS",3944,358663262898,-57.09375,-90.65625,-178.34375,1,2018-09-12 08:05:04,2018-09-13 00:10:17
11,"64 VIRGINIS",3017663,9900663996,50.5625,197,69.65625,1,2018-09-12 08:05:04,2018-09-13 00:10:17
12,"65 ARIETIS",203324,628935854419,-70.53125,-150.71875,-264.09375,1,2018-09-12 08:05:04,2018-09-13 00:10:17
13,"7 TAURI",23399,181695145124,-104.9375,-178.53125,-375.9375,1,2018-09-12 08:05:04,2018-09-13 00:10:17
14,"72 TAURI",121210,31375484068,-33.375,-111.125,-359.71875,1,2018-09-12 08:05:04,2018-09-13 00:10:17
15,"82 ERIDANI",694,79196850539,10.40625,-16.3125,-3.75,1,2018-09-12 08:05:04,2018-09-13 00:10:17
16,AKANDINIGUA,17036,13866167707049,85.65625,-18.15625,-4.5625,1,2018-09-12 08:05:04,2018-09-13 00:10:17
17,ALAUNUS,23425,18263140345249,-0.65625,-52.28125,-5.96875,1,2018-09-12 08:05:04,2018-09-13 00:10:17
18,ALCOR,6523,263303726260,-36,71.78125,-15.125,1,2018-09-12 08:05:04,2018-09-13 00:10:17
19,ALCYONE,23427,8752984661,-82.9375,-156.78125,-362.09375,1,2018-09-12 08:05:04,2018-09-13 00:10:17
20,ALDEBARAN,23428,3657265320650,1.4375,-22.40625,-62.75,1,2018-09-12 08:05:04,2018-09-13 00:10:17
21,ALPHA CENTAURI,6903,1178708478315,3.03125,-0.09375,3.15625,1,2018-09-12 08:05:04,2018-09-13 00:10:17
22,ALRAI,10746,3657198211794,-38.71875,12.3125,-21.625,1,2018-09-12 08:05:04,2018-09-13 00:10:17
23,ANOTCHADIAE,16008,2621834283379,72.4375,69.5625,58.40625,1,2018-09-12 08:05:04,2018-09-13 00:10:17
24,ARIES DARK REGION AL-O B6-0,182035,669880100177,-66.84375,-199.28125,-212.75,1,2018-09-12 08:05:04,2018-09-13 00:10:17
