id,system,body,siteID,latitude,longitude,count,verified,visible
1,2542,588,1,-1.4054,140.8423,NULL,1,1
2,2547,591,2,-1.8161,-137.3999,NULL,1,1
3,2547,591,3,12.3752,32.0999,NULL,1,1
4,2332,528,4,-38.0357,-85.6467,NULL,1,1
5,1980,466,5,10.1605,17.1322,NULL,1,1
6,2547,591,6,21.9127,24.5374,NULL,1,1
7,2547,591,7,-3.9227,44.1731,NULL,1,1
8,1980,466,8,-7.4639,98.3023,NULL,1,1
9,2550,593,9,5.8876,-107.4878,NULL,1,1
10,2551,594,10,-13.3464,-171.3861,NULL,1,1
11,1692,318,11,8.7025,40.258,NULL,1,1
12,2550,593,12,-16.6021,-78.8721,NULL,1,1
13,2550,593,13,-19.4121,23.8399,NULL,1,1
14,3318,697,14,3.52,89.8647,NULL,1,1
15,3318,697,15,-6.0299,-33.1501,NULL,1,1
16,843,77,16,-32.8299,15.0299,NULL,1,1
17,2550,593,17,20.7471,168.1912,NULL,1,1
18,3092,643,18,5.0652,18.9814,NULL,1,1
19,3092,643,19,2.2381,69.9729,NULL,1,1
20,2030,474,20,6.731,51.0271,NULL,1,1
21,2030,474,21,-4.7808,-34.8424,NULL,1,1
22,2031,476,22,-5.9535,158.2056,NULL,1,1
23,2031,475,23,7.3947,-123.5075,NULL,1,1
24,2707,603,24,19.122,-29.9567,NULL,1,1
25,2564,595,25,25.2305,-147.1726,NULL,1,1
26,2032,478,26,7.4382,143.737,NULL,1,1
27,2526,573,27,8.3596,-29.7793,NULL,1,1
