id,system,body,siteID,extoolID,latitude,longitude,type,verified,visible,discoveredBy
1,830,807,1,\N,-1.4054,140.8423,1,1,1,41
2,835,815,2,\N,-1.8161,-137.3999,1,1,1,21
3,835,815,3,\N,12.3752,32.0999,1,1,1,21
4,752,727,4,\N,-38.0357,-85.6467,1,1,1,21
5,634,636,5,\N,10.1605,17.1322,1,1,1,204
6,835,815,6,\N,21.9127,24.5374,1,1,1,21
7,835,815,7,\N,-3.9227,44.1731,1,1,1,21
8,634,636,8,\N,-7.4639,98.3023,1,1,1,204
9,840,821,9,\N,5.8876,-107.4878,1,1,1,21
10,841,822,10,\N,-13.3464,-171.3861,1,1,1,21
11,447,419,11,\N,8.7025,40.258,1,1,1,204
12,840,821,12,\N,-16.6021,-78.8721,1,1,1,21
13,840,821,13,\N,-19.4121,23.8399,1,1,1,21
14,1042,977,14,\N,3.52,89.8647,1,1,1,204
15,1042,977,15,\N,-6.0299,-33.1501,1,1,1,204
16,182,102,16,\N,-32.8299,15.0299,1,0,1,256
17,840,821,17,\N,20.7471,168.1912,1,1,1,21
18,950,899,18,\N,5.0652,18.9814,1,1,1,204
19,950,899,19,\N,2.2381,69.9729,1,1,1,204
20,653,655,20,\N,6.731,51.0271,1,1,1,204
21,653,655,21,\N,-4.7808,-34.8424,1,1,1,204
22,654,657,22,\N,-5.9535,158.2056,1,1,1,204
23,654,656,23,\N,7.3947,-123.5075,1,1,1,204
24,861,846,24,\N,19.122,-29.9567,1,1,1,204
25,844,831,25,\N,25.2305,-147.1726,1,1,1,62
26,656,660,26,\N,7.4382,143.737,1,1,1,204
27,817,781,27,\N,8.3596,-29.7793,1,1,1,204
28,850,840,28,\N,5.9176,167.5988,1,1,1,42
29,655,658,29,\N,-22.0587,-164.608,1,0,1,42
30,813,777,30,\N,2.5083,-153.4364,1,1,1,139
31,187,106,31,\N,32.1352,-48.9161,1,1,1,48
32,1626,1452,32,\N,3.1804,-3.9519,8,1,1,164
33,860,845,33,\N,-36.486,-73.391,5,1,1,164
34,10,12,34,\N,55.2559,116.6158,8,1,1,259
35,468,444,35,\N,69.7376,17.7446,6,1,1,153
36,833,812,36,\N,-75.6181,-40.705,7,1,1,43
37,833,813,37,\N,29.4244,-2.3728,7,1,1,43
38,833,813,38,\N,20.4955,62.7135,7,1,1,43
39,833,813,39,\N,-71.5266,-154.1508,7,1,1,43
40,833,813,40,\N,-52.012,-66.434,7,1,1,43
41,833,813,41,\N,-5.6647,-107.6041,7,1,1,43
42,831,809,42,\N,-50.476,34.8801,7,1,1,43
43,831,810,43,\N,65.7428,143.4124,7,1,1,43
44,644,646,44,\N,27.3286,-2.1669,4,1,1,226
45,1538,1356,45,\N,10.0092,-49.4453,6,1,1,1
46,1538,1356,46,\N,16.8287,152.1689,6,1,1,1
47,1538,1357,47,\N,25.5932,-117.8543,6,1,1,1
48,1538,1357,48,\N,-61.5998,149.5168,6,1,1,1
49,1408,1212,49,\N,37.1412,135.4144,6,1,1,66
50,1408,1212,50,\N,-15.4105,91.3033,6,1,1,66
51,219,147,51,\N,33.1669,19.044,6,1,1,135
52,219,148,52,\N,51.2885,-112.2077,6,1,1,135
53,219,149,53,\N,6.0911,45.4337,6,1,1,135
54,752,726,54,\N,63.1567,-58.4292,6,1,1,272
55,445,417,55,\N,70.349,-172.2171,2,1,1,153
56,1929,1800,56,\N,-67.3177,93.7727,6,1,1,110
57,1929,1800,57,\N,-21.3286,-151.0888,6,1,1,110
58,1929,1801,58,\N,-64.1884,34.0136,6,1,1,110
