id,system,body,siteID,latitude,longitude,count,type,verified,visible
1,3788,937,1,-26.1589,-90.6344,NULL,NULL,1,1
2,3353,729,2,-54.1391,60.816,NULL,NULL,1,1
3,3352,728,3,79.2144,-102.5297,NULL,NULL,1,1
4,1796,413,4,-19.6617,-175.3967,NULL,NULL,1,1
5,2989,624,5,0.9803,34.6832,NULL,NULL,1,1
6,4189,1321,6,54.2257,41.9895,NULL,NULL,1,1
7,627,42,7,7.2434,-34.5406,NULL,NULL,1,1
8,1687,316,8,36.1108,-158.4958,NULL,NULL,1,1
9,855,80,9,-67.9876,-103.2627,NULL,NULL,1,1
10,3826,971,10,-33.2006,-35.0718,NULL,NULL,1,1
11,3828,973,11,-74.4511,-63.709,NULL,NULL,1,1
12,3827,972,12,17.0926,129.0382,NULL,NULL,1,1
13,2977,619,13,54.2293,69.7184,NULL,NULL,1,1
14,2977,619,14,50.9525,-38.7305,NULL,NULL,1,1
15,2977,619,15,-4.1387,11.2136,NULL,NULL,1,1
16,2977,619,16,-41.983,148.8269,NULL,NULL,1,1
17,2317,524,17,-45.454,36.7738,NULL,NULL,1,1
18,2981,620,18,-9.6124,-13.1981,NULL,NULL,1,1
19,4074,1192,19,-62.3767,81.6913,NULL,NULL,1,1
20,2650,600,20,-48.4586,63.0763,NULL,NULL,1,1
21,816,72,21,83.7647,42.8541,NULL,NULL,1,1
22,816,72,22,-67.4829,-85.549,NULL,NULL,1,1
23,816,72,23,-67.1605,55.5439,NULL,NULL,1,1
24,1057,123,24,-7.743,-101.8669,NULL,NULL,1,1
25,1057,123,25,-31.8327,-135.1079,NULL,NULL,1,1
26,816,71,26,-11.2511,72.3721,NULL,NULL,1,1
27,816,71,27,14.4218,-162.7472,NULL,NULL,1,1
28,4085,1206,28,-36.7492,21.0186,NULL,NULL,1,1
29,4007,1141,29,8.8814,-102.1113,NULL,NULL,1,1
30,3847,990,30,-25.296,-109.9486,NULL,NULL,1,1
31,1056,121,31,-28.3224,-127.3301,NULL,NULL,1,1
32,1056,121,32,-53.4648,6.9403,NULL,NULL,1,1
33,1056,121,33,-20.8418,113.1809,NULL,NULL,1,1
34,1056,122,34,21.2918,86.4218,NULL,NULL,1,1
35,1056,122,35,3.8739,120.7287,NULL,NULL,1,1
36,1860,443,36,-2.7254,74.0536,NULL,NULL,1,1
37,4000,1136,37,67.3613,81.2341,NULL,NULL,1,1
38,3752,898,38,-16.0293,-154.8076,NULL,NULL,1,1
39,3779,928,39,-71.6735,41.9377,NULL,NULL,1,1
40,3252,653,40,4.6062,124.8543,NULL,NULL,1,1
41,4037,1173,41,13.3769,69.997,NULL,NULL,1,1
42,1858,441,42,-18.3594,-95.8232,NULL,NULL,1,1
43,3777,926,43,1.1776,74.8481,NULL,NULL,1,1
44,3777,925,44,31.8643,-7.2629,NULL,NULL,1,1
45,1667,306,45,3.4585,27.3418,NULL,NULL,1,1
46,1157,222,46,-3.7332,-131.7999,NULL,NULL,1,1
47,1157,222,47,-5.6381,-153.8728,NULL,NULL,1,1
