id,gbsite,messageSystem,messageBody,latitude,longitude
1,1,1541,1336,12.18,44.31
2,2,1477,1267,-46.8,-132.28
3,3,1477,1267,-46.8,-132.28
4,4,1528,1324,47.41,80.6
5,5,877,806,25.47,-132.9
6,6,1505,1299,-23.99,174.22
7,7,995,908,-1.18,25.38
8,8,1478,1268,-52.28,98.44
9,9,1511,1305,-3.49,-115.24
10,10,1651,1464,2.6,126.62
11,11,1569,1370,-44.92,89.42
12,12,1513,1307,37.8,-111.61
13,13,991,904,80.3,113.4
14,14,1483,1273,-16.2,-5.73
15,15,1549,1345,50.63,-35.06
16,16,1483,1273,-16.2,-5.73
17,17,1533,1329,-42.522,-155.66
18,18,1508,1302,64.31,163.65
19,19,1524,1319,-4.85,-65.77
20,20,1558,1354,38.27,-48.57
21,21,1537,1332,56.72,121.67
22,22,1479,1269,43.66,174.22
23,23,880,809,-44.52,34.33
24,24,1496,1288,-14.06,-31.18
25,25,1576,1380,59.51,-23.36
26,26,1509,1303,-37.56,-125.58
27,27,1501,1295,-45.48,152.41
28,28,771,735,19.55,-132.67
