id,system,body,siteID,shipName,directionSystem,distance,discoveredBy
1,947,848,1,Artemis,\N,\N,1
2,204,120,2,Atlas,\N,\N,1
3,883,798,3,Hyperion,1767,7340,1
4,17,15,4,Lycaon,784,22365,107
5,1368,1141,5,Odysseus,\N,\N,1
6,608,596,6,Pleione,1641,8395,1
7,953,853,7,Thetis,\N,\N,1
8,881,\N,8,Venusian,1768,2532,101
9,1682,1484,9,Lazarus Expedition,\N,\N,1
10,218,134,10,Phobos,614,1893,192
11,946,847,11,Demeter,\N,\N,20
12,200,113,12,Phanes,\N,\N,140
13,616,600,13,Achlys,\N,\N,97
14,791,\N,14,Epimetheus,\N,\N,26
15,724,664,15,Spear of Hope,\N,\N,139
