id,system,body,siteID,latitude,longitude,type,verified,visible
1,4017,1152,1,-31.7347,-128.9212,2,1,1
2,3007,631,2,-29.1664,-30.5041,2,1,1
3,3014,636,3,29.4200,-59.5400,1,1,1
4,4016,1149,4,19.5300,-141.7600,2,1,1
5,4029,1165,5,-23.3821,178.9094,1,1,1
6,1133,195,6,16.2701,18.1282,2,1,1
7,1133,195,7,46.0700,-171.3300,1,1,1
8,2547,592,8,7.0924,170.2272,2,1,1
9,3993,1130,9,59.3300,15.1000,3,1,1
10,3993,1130,10,31.9600,-99.9700,2,1,1
11,3993,1130,11,31.8800,-100.0500,1,1,1
12,1133,196,12,-15.0842,-102.9397,1,1,1
13,3956,1092,13,-30.5400,-24.2000,1,1,1
14,1133,196,14,-37.5256,84.2501,3,1,1
15,3946,1074,15,-10.0700,114.5000,3,1,1
16,3946,1074,16,-37.3100,106.4200,3,1,1
17,3946,1074,17,9.0200,48.7700,2,1,1
18,1090,140,18,42.8343,-175.6545,2,1,1
19,1090,140,19,33.2757,-175.5038,2,1,1
20,1090,140,20,-18.7380,-135.5687,3,1,1
21,1133,197,21,-10.8195,-89.8905,2,1,1
22,3956,1092,22,0.6600,-36.82,1,1,1
23,1142,206,23,65.9181,-128.5455,1,1,1
24,1142,206,24,71.3187,-112.4353,2,1,1
25,2547,592,25,-0.0129,-149.4705,2,1,1
26,1142,206,26,39.7396,48.2240,2,1,1
27,1142,207,27,21.9117,154.1760,3,1,1
28,1197,262,28,-17.0000,44.2400,2,1,1
29,1143,208,29,-20.3200,-133.6400,1,1,1
30,1099,147,30,-42.7780,130.3500,3,1,1
31,1099,147,31,-15.8330,-172.5550,3,1,1
32,1099,148,32,19.0369,155.2710,3,1,1
33,1143,208,33,1.5200,-116.6500,2,1,1
34,1143,208,34,-5.0000,-175.2100,3,1,1
35,1143,209,35,-6.3400,130.6700,1,1,1
36,1155,220,36,-20.9600,82.6100,3,1,1
37,1155,220,37,-3.8000,84.5200,1,1,1
38,1155,220,38,-31.6400,150.7600,1,1,1
39,1197,263,39,15.9200,23.8100,2,1,1
40,1197,263,40,-77.1000,127.4500,2,1,1
41,3891,1020,41,-27.2200,-7.3600,2,1,1
42,3891,1020,42,-27.1500,-7.2900,1,1,1
43,3891,1020,43,-18.2300,0.2700,1,1,1
44,4031,1167,44,28.8065,-51.8289,1,1,1
45,4031,1167,45,13.8800,-0.5478,2,1,1
46,4031,1167,46,-32.7100,-34.0391,1,1,1
47,3006,629,47,9.2000,-130.0600,1,1,1
48,4100,1227,48,-31.4700,-44.5200,1,1,1
49,4099,1225,49,-22.4296,126.9466,2,1,1
50,4100,1227,50,-19.5500,-1.9400,1,1,1
51,4100,1227,51,-36.7800,20.0200,1,1,1
52,4099,1223,52,-18.4224,65.5005,1,1,1
53,4100,1228,53,36.8100,132.8800,2,1,1
54,4099,1223,54,-17.0825,-54.7755,1,1,1
55,4093,1215,55,41.1500,129.2600,1,1,1
56,4093,1215,56,10.4600,130.2400,2,1,1
57,4093,1215,57,7.9000,-86.4600,3,1,1
58,1088,137,58,-33.1039,-32.2718,2,1,1
59,1088,138,59,13.3300,-61.5500,3,1,1
60,1088,138,60,19.0100,-100.9600,1,1,1
61,1088,138,61,-35.3193,-73.9108,2,1,1
62,1153,218,62,2.4000,132.0500,3,1,1
