"id","system","body","siteID","latitude","longitude","type","verified","visible","discoveredBy","created_at","updated_at"
1,3964,1098,1,-31.7347,-128.9212,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
2,2997,618,2,-29.1664,-30.5041,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
3,3001,620,3,29.42,-59.54,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
4,3963,1095,4,19.53,-141.76,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
5,3974,1109,5,-23.3821,178.9094,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
6,1131,194,6,16.2701,18.1282,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
7,1131,194,7,46.07,-171.33,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
8,2540,583,8,7.0924,170.2272,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
9,3940,1076,9,59.33,15.1,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
10,3940,1076,10,31.96,-99.97,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
11,3940,1076,11,31.88,-100.05,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
12,1131,195,12,-15.0842,-102.9397,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
13,3908,1043,13,-30.54,-24.2,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
14,1131,195,14,-37.5256,84.2501,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
15,3899,1026,15,-10.07,114.5,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
16,3899,1026,16,-37.31,106.42,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
17,3899,1026,17,9.02,48.77,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
18,1088,139,18,42.8343,-175.6545,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
19,1088,139,19,33.2757,-175.5038,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
20,1088,139,20,-18.738,-135.5687,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
21,1131,196,21,-10.8195,-89.8905,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
22,3908,1043,22,0.66,-36.82,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
23,1140,205,23,65.9181,-128.5455,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
24,1140,205,24,71.3187,-112.4353,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
25,2540,583,25,-0.0129,-149.4705,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
26,1140,205,26,39.7396,48.224,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
27,1140,206,27,21.9117,154.176,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
28,1195,261,28,-17,44.24,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
29,1141,207,29,-20.32,-133.64,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
30,1097,146,30,-42.778,130.35,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
31,1097,146,31,-15.833,-172.555,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
32,1097,147,32,19.0369,155.271,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
33,1141,207,33,1.52,-116.65,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
34,1141,207,34,-5,-175.21,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
35,1141,208,35,-6.34,130.67,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
36,1153,219,36,-20.96,82.61,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
37,1153,219,37,-3.8,84.52,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
38,1153,219,38,-31.64,150.76,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
