id,system,body,siteID,latitude,longitude,type,hasDatabank,verified,visible
1,3946,1074,1,52.6791,115.2503,3,0,1,1
2,4092,1214,2,-31.1571,99.4384,5,1,1,1
3,1116,175,3,43.1349,104.3013,4,1,1,1
4,4099,1223,4,28.0021,-15.4242,1,0,1,1
5,2547,592,5,-32.0927,16.5575,3,0,1,1
6,1104,159,6,10.6348,-12.5755,1,0,1,1
7,4029,1165,7,-44.476,-95.0524,3,0,1,1
8,4028,1163,8,33.5862,-54.0217,4,1,1,1
9,3911,1041,9,-23.2718,126.3758,5,1,1,1
10,1194,259,10,-77.9657,-170.4414,1,0,1,1
11,1093,141,11,-50.1193,-69.9793,3,0,1,1
12,1168,230,12,31.46,-154.25,1,0,1,1
13,2034,480,13,40.7966,-106.5073,7,1,1,1
14,1167,229,14,-56.6923,91.5176,1,0,1,1
15,1125,185,15,-11.4828,107.1574,2,0,1,1
16,1126,187,16,37.2591,19.255,1,0,1,1
17,4096,1219,17,-57.4285,155.0567,2,0,1,1
18,4095,1218,18,-21.8939,-18.9468,1,0,1,1
19,3891,1020,19,42.1745,72.6098,4,1,1,1
20,4031,1167,20,18.7047,106.9514,1,0,1,1
21,1118,178,21,-4.9932,-37.9452,2,0,1,1
22,2033,479,22,31.068,130.9747,2,0,1,1
23,3990,1126,23,-24.6821,-21.6226,5,1,1,1
24,4091,1213,24,-6.5804,-39.8589,5,1,1,1
25,1119,179,25,22.4474,-58.5793,1,0,1,1
26,1152,216,26,-31.6828,-141.3324,5,1,1,1
27,3993,1130,27,-27.3238,-17.1637,3,0,1,1
28,1170,235,28,-41.6365,126.0865,3,0,1,1
29,4097,1221,29,32.8026,139.444,1,0,1,1
30,4093,1215,30,18.3677,-69.1438,2,0,1,1
31,4089,1211,31,-38.1717,-157.2472,7,1,1,1
32,3921,1051,32,-26.0524,32.0035,7,1,1,1
33,4098,1222,33,25.3814,145.5499,6,1,1,1
34,1140,204,34,-68.9706,-37.988,6,1,1,1
35,1211,279,35,-39.3809,-0.3041,6,1,1,1
36,3914,1044,36,-20.9783,-19.0668,4,1,1,1
37,1097,146,37,77.4091,62.0971,4,1,1,1
38,1145,211,38,-17.5551,68.0306,6,1,1,1
39,1202,269,39,5.1764,-54.8679,2,0,1,1
40,1203,270,40,50.0511,-103.6453,1,0,1,1
41,4101,1229,41,23.1817,51.5521,2,0,1,1
42,4094,1216,42,-14.6799,51.6902,5,1,1,1
43,1171,236,43,-23.8931,-58.4678,4,1,1,1
44,1113,169,44,5.5275,144.351,7,1,1,1
45,1132,194,45,61.2262,53.4023,6,1,1,1
46,1106,162,46,15.887,-18.7158,3,0,1,1
47,1095,143,47,46.7568,131.9607,2,0,1,1
48,1114,170,48,-35.5002,-126.2597,6,1,1,1
49,3956,1092,49,-34.8383,132.8863,7,1,1,1
50,1163,227,50,18.5719,14.3325,6,1,1,1
51,1164,228,51,-42.1308,-98.7161,2,0,1,1
52,3328,702,52,62.753,43.22,4,1,1,1
53,4105,1236,53,-59.3564,14.9096,4,1,1,1
54,4088,1210,54,-46.7879,-46.1474,1,0,1,1
55,1214,281,55,48.3529,90.8586,4,1,1,1
