"id","systemName","edsmID","edsmID64","edsmCoordX","edsmCoordY","edsmCoordZ","edsmCoordLocked","created_at","updated_at"
1,"1 HYDRAE",15225,2656194005347,60.90625,28.53125,-54.90625,1,2018-08-31 13:28:39,2018-08-31 13:34:13
2,"1 I CENTAURI",19210,1384883685739,38.46875,29.78125,40.46875,1,2018-08-31 13:28:39,2018-08-31 13:34:13
3,"10 TAURI",9911,1762824014179,3.25,-29.9375,-34.1875,1,2018-08-31 13:28:39,2018-08-31 13:34:13
4,"101 TAURI",1222,4374164130139,12.0625,-35.375,-127.78125,1,2018-08-31 13:28:39,2018-08-31 13:34:13
5,"102 G. CANIS MAJOR",325786,147343803572,101.21875,-20.03125,-68.28125,1,2018-08-31 13:28:39,2018-08-31 13:34:13
6,"109 PISCIUM",17754,422794217827,-51.40625,-69.1875,-62.15625,1,2018-08-31 13:28:39,2018-08-31 13:34:13
7,"11 CEPHEI",2561,358462034634,-167.3125,43.96875,-57.875,1,2018-08-31 13:28:39,2018-08-31 13:34:13
8,"11 MU AURIGAE",13308,1453586385243,-30,0.75,-150.03125,1,2018-08-31 13:28:39,2018-08-31 13:34:13
9,"11 ORIONIS",1242639,82915091620,40.15625,-92.9375,-350.9375,1,2018-08-31 13:28:39,2018-08-31 13:34:13
10,"110 HERCULIS",12737,2381299321195,-48,10.875,38.75,1,2018-08-31 13:28:39,2018-08-31 13:34:13
11,"110 TAURI",59739,117274829988,55.9375,-72.1875,-396.84375,1,2018-08-31 13:28:39,2018-08-31 13:34:13
12,"12 D BOOTIS",17554,271893660852,-19.5,115.8125,33.1875,1,2018-08-31 13:28:39,2018-08-31 13:34:13
13,"12 KAPPA ARIETIS",505,388417685851,-82.78125,-108.1875,-120.125,1,2018-08-31 13:28:39,2018-08-31 13:34:13
14,"12 OPHIUCHI",62897,2557753692890,-6.84375,14.8125,27.28125,1,2018-08-31 13:28:39,2018-08-31 13:34:13
15,"12 TRIANGULI",700897,181695145132,-77.15625,-76.8125,-120.6875,1,2018-08-31 13:28:39,2018-08-31 13:34:13
16,"14 ERIDANI",5428,182292826467,15.21875,-86.3125,-68.90625,1,2018-08-31 13:28:39,2018-08-31 13:34:13
17,"14 TAU URSAE MAJORIS",18803,1865903262051,-46.59375,81.03125,-84.96875,1,2018-08-31 13:28:39,2018-08-31 13:34:13
18,"14 TAURI",56872,358596088458,-65.1875,-184.25,-360.1875,1,2018-08-31 13:28:39,2018-08-31 13:34:13
19,"15 PEGASI",15857,285338487147,-83.625,-30.1875,10.84375,1,2018-08-31 13:28:39,2018-08-31 13:34:13
20,"157 G. AQUARII",4893,1968982444395,-44.53125,-64.6875,26.5625,1,2018-08-31 13:28:39,2018-08-31 13:34:13
21,"16 TAU CORONAE BOREALIS",2105,3932009075418,-65.46875,82.84375,40.53125,1,2018-08-31 13:28:39,2018-08-31 13:34:13
22,"164 G. CANIS MAJORIS",4506329,74337739940,484.125,-31,-311.03125,1,2018-08-31 13:28:39,2018-08-31 13:34:13
23,"17 CYGNI",8254,2621817489771,-64.53125,5,24.59375,1,2018-08-31 13:28:39,2018-08-31 13:34:13
24,"17 DRACONIS",26712,104381555892,-305.75,272.21875,49.5,1,2018-08-31 13:28:39,2018-08-31 13:34:13
25,"171 G. AQUARII",9527,2072061659499,-64.15625,-87.90625,29.53125,1,2018-08-31 13:28:39,2018-08-31 13:34:13
26,"18 TAU PERSEI",132919,903797016915,-157.90625,-23.5625,-197.875,1,2018-08-31 13:28:39,2018-08-31 13:34:17
27,"18 TAURI",23369,207464948900,-90.4375,-157.90625,-366.5625,1,2018-08-31 13:28:39,2018-08-31 13:34:17
28,"2 PI-2 ORIONIS",366510,104389928108,36.875,-81.28125,-206,1,2018-08-31 13:28:39,2018-08-31 13:34:17
