id,systemName
1,16 H ORIONIS
2,164 G. CANIS MAJORIS
3,26 TAURI
4,2MASS J10433563-5945136
5,2MASS J10433739-6005084
6,2MASS J10444160-5947046
7,42 N PERSEI
8,59 ARIETIS
9,63 TAU-2 ARIETIS
10,64 ARIETIS
11,64 VIRGINIS
12,65 ARIETIS
13,7 TAURI
14,70 G. CARINAE
15,72 TAURI
16,ADENETS
17,AKANDINIGUA
18,AKHEILOS
19,ALAUNUS
20,ALCYONE
21,ALDEBARAN
22,ARIES DARK REGION AL-O B6-0
23,ARIES DARK REGION AQ-Y D14
24,ARIES DARK REGION DB-X C1-2
25,ARIES DARK REGION DB-X C1-7
26,ARIES DARK REGION DB-X D1-63
27,ARIES DARK REGION DB-X D1-64
28,ARIES DARK REGION FR-V C2-1
29,ARIES DARK REGION FR-V C2-17
30,ARIES DARK REGION FR-V C2-5
31,ARIES DARK REGION FW-W D1-59
32,ARIES DARK REGION FW-W D1-76
33,ARIES DARK REGION GR-V C2-7
34,ARIES DARK REGION GW-W D1-37
35,ARIES DARK REGION GW-W D1-40
36,ARIES DARK REGION GW-W D1-48
37,ARIES DARK REGION GW-W D1-52
38,ARIES DARK REGION GW-W D1-81
39,ARIES DARK REGION GW-W D1-86
40,ARIES DARK REGION GX-S B4-1
41,ARIES DARK REGION HR-W C1-1
42,ARIES DARK REGION HR-W D1-34
43,ARIES DARK REGION HR-W D1-44
44,ARIES DARK REGION HR-W D1-53
45,ARIES DARK REGION HR-W D1-54
46,ARIES DARK REGION IH-V C2-9
47,ARIES DARK REGION IM-V C2-11
48,ARIES DARK REGION IM-V C2-13
49,ARIES DARK REGION IM-V C2-5
50,ARIES DARK REGION IN-S B4-1
51,ARIES DARK REGION IX-S B4-0
52,ARIES DARK REGION JC-V C2-6
53,ARIES DARK REGION JS-T C3-1
54,ARIES DARK REGION JW-W C1-4
55,ARIES DARK REGION KH-V C2-4
56,ARIES DARK REGION LN-T C3-9
57,ARIES DARK REGION MS-S B4-3
58,ARIES DARK REGION MS-T C3-10
59,ARIES DARK REGION MS-T C3-11
60,ARIES DARK REGION MS-T C3-15
61,ARIES DARK REGION MS-T C3-2
62,ARIES DARK REGION MS-T C3-3
63,ARIES DARK REGION MX-U C2-10
64,ARIES DARK REGION MX-U C2-8
65,ARIES DARK REGION ND-R B5-0
66,ARIES DARK REGION NN-T C3-12
67,ARIES DARK REGION NS-S B4-2
68,ARIES DARK REGION NY-Q B5-0
69,ARIES DARK REGION NY-Q B5-3
70,ARIES DARK REGION NY-Q B5-4
71,ARIES DARK REGION OD-S B4-1
72,ARIES DARK REGION OI-T C3-8
73,ARIES DARK REGION OY-Q B5-3
74,ARIES DARK REGION PY-Q B5-1
75,ARIES DARK REGION PY-Q B5-2
76,ARIES DARK REGION PY-Q B5-3
77,ARIES DARK REGION PY-R B4-1
78,ARIES DARK REGION QI-S B4-2
79,ARIES DARK REGION QT-Q B5-2
80,ARIES DARK REGION QY-Q B5-0
81,ARIES DARK REGION QY-Q B5-2
82,ARIES DARK REGION SD-S B4-0
83,ARIES DARK REGION SE-P B6-3
84,ARIES DARK REGION TZ-O B6-2
85,ARIES DARK REGION UZ-O B6-0
86,ARIES DARK REGION VT-R B4-0
87,ARIES DARK REGION XA-N B7-0
88,ARIES DARK REGION YF-N B7-2
89,ARIES DARK REGION YF-N B7-3
90,ARIES DARK REGION YU-O B6-0
91,ARIETIS SECTOR AF-A D68
92,ARIETIS SECTOR AF-Z B3
93,ARIETIS SECTOR AK-A C4
94,ARIETIS SECTOR AV-X B1-4
95,ARIETIS SECTOR BA-Z B1
96,ARIETIS SECTOR CL-X B1-6
97,ARIETIS SECTOR CQ-Y C18
98,ARIETIS SECTOR DL-Y D73
99,ARIETIS SECTOR DQ-Y C11
100,ARIETIS SECTOR DQ-Y C20
101,ARIETIS SECTOR DV-Y B1
102,ARIETIS SECTOR EL-X B1-5
103,ARIETIS SECTOR EL-Y C13
104,ARIETIS SECTOR FG-X B1-4
105,ARIETIS SECTOR GG-X B1-4
106,ARIETIS SECTOR GS-R A5-3
107,ARIETIS SECTOR HS-R A5-1
108,ARIETIS SECTOR HW-W C1-7
109,ARIETIS SECTOR IH-U B3-3
110,ARIETIS SECTOR JR-W C1-8
111,ARIETIS SECTOR JS-R A5-0
112,ARIETIS SECTOR KH-V B2-3
113,ARIETIS SECTOR KS-R A5-1
114,ARIETIS SECTOR LS-T B3-1
115,ARIETIS SECTOR MH-V B2-4
116,ARIETIS SECTOR NN-T B3-4
117,ARIETIS SECTOR PX-U B2-2
118,ARIETIS SECTOR SE-X A2-0
119,ARIETIS SECTOR TD-T B3-1
120,ARIETIS SECTOR WE-X A2-0
121,ARIETIS SECTOR WT-A B1
122,ARIETIS SECTOR XE-Z B4
123,ARIETIS SECTOR XO-A C10
124,ARIETIS SECTOR YL-T A4-5
125,ARIETIS SECTOR YZ-W A2-4
126,ARIETIS SECTOR ZE-A D49
127,ARIETIS SECTOR ZJ-A C15
128,ARIETIS SECTOR ZJ-A C3
129,ARIETIS SECTOR ZJ-A C8
130,ARIETIS SECTOR ZO-A B0
131,ARIETIS SECTOR ZO-A B4
132,ASSAIPY LD-K D8-71
133,ASSINDA
134,ASTEROPE
135,ATHAIR YO-I D9-272
136,ATLAS
137,BAULOO LX-U E2-17
138,BLAA EAEC NL-L C9-136
139,BLAA HYPAI CZ-D C13-0
140,BLAA HYPAI DD-I B26-0
141,BLAA HYPAI DZ-D C13-1
142,BLAA HYPAI EU-D C13-0
143,BLAA HYPAI LZ-F B27-0
144,BLAA HYPAI OZ-O D6-0
145,BLAA HYPAI OZ-O D6-16
146,BLAA HYPAI XR-I B26-0
147,BLAE DRYE DF-I B57-6
148,BLAE EORK IF-G C27-13
149,BLAE EORK QU-D D13-3
150,BLAE EORK RK-C D14-15
151,BLAE EORK RU-D D13-17
152,BLAE EORK RU-D D13-20
153,BLAE EORK UL-J B56-1
154,BLAE HYPUE SW-E B28-1
155,BLAU AED GW-T D4-9
156,BLEETHOAE CM-C D13-208
157,BLEIA DRYIAE MA-M B54-8
158,BLEIA DRYIAE UP-F B44-1
159,BLO AESCS UL-L B41-1
160,BLO AESCS YY-A D80
161,BLU EUQ BM-C D13-24
162,BLU THUA IR-N D6-65
163,BOEPP ZK-O E6-226
164,BOEWNST HN-S E4-325
165,BOEWNST TG-J D10-1066
166,BOTEIN
167,BRAUFAE GQ-Y D1
168,BRAUFAE WY-A D0
169,BRESTLA
170,BUBBLE SECTOR LX-T B3-1
171,BYAA FLEE MT-N C21-0
172,BYAE AOWSY DK-L C22-11
173,BYAE AOWSY GR-N D6-52
174,BYAE AOWSY LD-B B1-4
175,BYOI THUA BU-R D4-32
176,BYOI THUA FY-F D12-0
177,BYOI THUA JI-J D9-9
178,BYOO BRE KS-S D4-0
179,BYOOE CHRAEA JL-P D5-1
180,BYUA AIM HY-F D12-1322
181,BYUA AIM MX-K D8-4056
182,BYUA AIM TE-W C16-130
183,CALIFORNIA SECTOR BA-A E6
184,CALIFORNIA SECTOR BV-Y C7
185,CALIFORNIA SECTOR DL-Y D4
186,CALIFORNIA SECTOR HR-W D1-28
187,CALIFORNIA SECTOR JH-V C2-12
188,CALIFORNIA SECTOR LC-V C2-10
189,CANTJARISNI
190,CAVE SECTOR FB-X C1-3
191,CAVE SECTOR JH-V C2-8
192,CD-26 1339
193,CD-41 11037
194,CELAENO
195,CEPHEI SECTOR NX-U B2-0
196,CETI SECTOR CL-Y D55
197,CHAEA THAA EV-G D10-0
198,CHAEA THUA ZP-F C11-1
199,CHARICK DRIFT
200,CHI PERSEI SECTOR IX-S D4-57
201,CHO EUR OM-W D1-15
202,CHO THAA NZ-E C25-0
203,CHRAISAO FF-A D12
204,CHRAISOAE HC-M D7-14
205,CHRAISOU AK-R D4-41
206,CHRAISUAE NF-Q C5-1
207,CHRAISUAE UD-T D3-1
208,CHU THUA HS-J B36-0
209,CLOOKUIA MI-K D8-2
210,CLOOKUIA OI-K D8-8
211,COALSACK DARK REGION YJ-A D57
212,COELACHI
213,COEUS
214,COL 132 SECTOR GH-V E2-13
215,COL 132 SECTOR IN-S D4-64
216,COL 132 SECTOR LJ-O B36-3
217,COL 132 SECTOR NT-Q D5-51
218,COL 132 SECTOR UB-R C19-5
219,COL 132 SECTOR WD-N B9-1
220,COL 135 SECTOR BC-K B9-0
221,COL 135 SECTOR DL-N B7-0
222,COL 135 SECTOR FR-V C2-19
223,COL 135 SECTOR LC-V D2-62
224,COL 135 SECTOR RO-Q C5-5
225,COL 135 SECTOR RO-Q C5-7
226,COL 135 SECTOR TU-O C6-15
227,COL 135 SECTOR TU-O C6-8
228,COL 135 SECTOR UU-O C6-2
229,COL 140 SECTOR IH-V D2-44
230,COL 173 SECTOR AB-N D7-34
231,COL 173 SECTOR AI-H C11-22
232,COL 173 SECTOR AP-Q B21-2
233,COL 173 SECTOR AU-Y B30-2
234,COL 173 SECTOR AV-N B23-5
235,COL 173 SECTOR AY-F C12-0
236,COL 173 SECTOR BH-K B25-8
237,COL 173 SECTOR BH-L D8-72
238,COL 173 SECTOR BN-Y C15-3
239,COL 173 SECTOR BO-F C12-24
240,COL 173 SECTOR BV-O D6-55
241,COL 173 SECTOR BX-I C10-7
242,COL 173 SECTOR CC-K B25-8
243,COL 173 SECTOR CG-M B24-8
244,COL 173 SECTOR CH-L D8-14
245,COL 173 SECTOR CI-Y C15-1
246,COL 173 SECTOR DG-M B24-4
247,COL 173 SECTOR DG-M B24-5
248,COL 173 SECTOR DH-K B25-2
249,COL 173 SECTOR DK-Y B30-2
250,COL 173 SECTOR DM-U D3-82
251,COL 173 SECTOR DO-F C12-4
252,COL 173 SECTOR DZ-D C13-2
253,COL 173 SECTOR EC-K B25-0
254,COL 173 SECTOR EC-L D8-54
255,COL 173 SECTOR EM-L D8-69
256,COL 173 SECTOR EZ-D C13-25
257,COL 173 SECTOR FC-L D8-28
258,COL 173 SECTOR FS-I C10-2
259,COL 173 SECTOR FZ-D C13-30
260,COL 173 SECTOR GG-E B28-3
261,COL 173 SECTOR GS-J B25-4
262,COL 173 SECTOR HI-M A55-0
263,COL 173 SECTOR HM-Z B28-1
264,COL 173 SECTOR HN-I B26-5
265,COL 173 SECTOR HN-J D9-52
266,COL 173 SECTOR HR-M B23-3
267,COL 173 SECTOR HS-S D4-77
268,COL 173 SECTOR HU-D C13-2
269,COL 173 SECTOR IJ-G B27-1
270,COL 173 SECTOR IL-M C8-5
271,COL 173 SECTOR IV-F B27-1
272,COL 173 SECTOR JB-F B27-1
273,COL 173 SECTOR JI-J B25-0
274,COL 173 SECTOR JP-D C13-14
275,COL 173 SECTOR JX-K B24-0
276,COL 173 SECTOR KN-J B25-5
277,COL 173 SECTOR KP-T B34-8
278,COL 173 SECTOR KS-J D9-37
279,COL 173 SECTOR KT-G B40-2
280,COL 173 SECTOR KY-Q D5-13
281,COL 173 SECTOR KY-Q D5-26
282,COL 173 SECTOR KY-Q D5-47
283,COL 173 SECTOR KY-Q D5-9
284,COL 173 SECTOR LB-W B31-0
285,COL 173 SECTOR LJ-F C12-0
286,COL 173 SECTOR LN-M B23-1
287,COL 173 SECTOR LT-Q D5-82
288,COL 173 SECTOR LT-Q D5-90
289,COL 173 SECTOR LY-Q D5-13
290,COL 173 SECTOR LY-Q D5-59
291,COL 173 SECTOR ME-P D6-92
292,COL 173 SECTOR MJ-H B26-0
293,COL 173 SECTOR MN-K B24-4
294,COL 173 SECTOR NV-B C14-1
295,COL 173 SECTOR OC-C B29-1
296,COL 173 SECTOR OD-J B25-2
297,COL 173 SECTOR OE-P D6-11
298,COL 173 SECTOR OG-Z C15-35
299,COL 173 SECTOR OT-Q D5-18
300,COL 173 SECTOR OZ-U B33-6
301,COL 173 SECTOR PE-P D6-110
302,COL 173 SECTOR PF-E B28-3
303,COL 173 SECTOR PN-V B18-0
304,COL 173 SECTOR PU-D C13-12
305,COL 173 SECTOR PV-B C14-1
306,COL 173 SECTOR PZ-O D6-110
307,COL 173 SECTOR PZ-O D6-116
308,COL 173 SECTOR QU-O D6-25
309,COL 173 SECTOR QU-O D6-32
310,COL 173 SECTOR QY-B B29-0
311,COL 173 SECTOR RH-C B29-1
312,COL 173 SECTOR RT-I B25-1
313,COL 173 SECTOR RU-O D6-16
314,COL 173 SECTOR SI-I B26-8
315,COL 173 SECTOR SN-S D4-63
316,COL 173 SECTOR SX-B B29-1
317,COL 173 SECTOR TG-A C15-12
318,COL 173 SECTOR TJ-A B30-0
319,COL 173 SECTOR TZ-P D5-35
320,COL 173 SECTOR UG-B C14-0
321,COL 173 SECTOR UP-O D6-16
322,COL 173 SECTOR UT-W B19-4
323,COL 173 SECTOR UU-O D6-20
324,COL 173 SECTOR UU-O D6-30
325,COL 173 SECTOR UU-O D6-42
326,COL 173 SECTOR UV-D B28-3
327,COL 173 SECTOR UZ-R B20-3
328,COL 173 SECTOR VN-A B30-1
329,COL 173 SECTOR VP-N D7-109
330,COL 173 SECTOR WF-N D7-52
331,COL 173 SECTOR WG-J C10-16
332,COL 173 SECTOR WK-A A48-4
333,COL 173 SECTOR WM-Y B31-2
334,COL 173 SECTOR WN-B B29-1
335,COL 173 SECTOR WP-O B22-1
336,COL 173 SECTOR WW-H C11-15
337,COL 173 SECTOR WZ-O B22-4
338,COL 173 SECTOR XF-N D7-105
339,COL 173 SECTOR XG-J C10-17
340,COL 173 SECTOR XH-H C11-21
341,COL 173 SECTOR XL-K B25-1
342,COL 173 SECTOR XT-Q B21-5
343,COL 173 SECTOR XY-Y B30-1
344,COL 173 SECTOR YA-N D7-17
345,COL 173 SECTOR YF-N B23-5
346,COL 173 SECTOR YF-N B23-6
347,COL 173 SECTOR YF-N C7-5
348,COL 173 SECTOR YF-N D7-74
349,COL 173 SECTOR YG-A C15-12
350,COL 173 SECTOR YG-A C15-20
351,COL 173 SECTOR YQ-W A63-2
352,COL 173 SECTOR YV-M D7-23
353,COL 173 SECTOR YW-H C11-16
354,COL 173 SECTOR YX-Q A25-0
355,COL 173 SECTOR ZL-L B24-2
356,COL 173 SECTOR ZL-L B24-7
357,COL 173 SECTOR ZS-F C12-27
358,COL 173 SECTOR ZW-Z C14-10
359,COL 173 SECTOR ZZ-N B23-1
360,COL 285 SECTOR AL-V B3-4
361,COL 285 SECTOR BQ-X C1-10
362,COL 285 SECTOR CV-Y D57
363,COL 285 SECTOR CV-Y D71
364,COL 285 SECTOR EB-X D1-39
365,COL 285 SECTOR EL-X C1-5
366,COL 285 SECTOR FP-Q B5-2
367,COL 285 SECTOR GL-V B3-3
368,COL 285 SECTOR GN-H B11-2
369,COL 285 SECTOR GW-W D1-66
370,COL 285 SECTOR IL-X C1-16
371,COL 285 SECTOR IL-X C1-4
372,COL 285 SECTOR KY-H C10-26
373,COL 285 SECTOR LX-T C3-13
374,COL 285 SECTOR MX-T C3-14
375,COL 285 SECTOR OC-T B4-0
376,COL 285 SECTOR OC-T B4-1
377,COL 285 SECTOR QR-U B3-1
378,COL 285 SECTOR RI-R B5-3
379,COL 285 SECTOR RJ-O B7-4
380,COL 285 SECTOR RR-M B7-3
381,COL 285 SECTOR TM-U B3-2
382,COL 285 SECTOR VH-U B3-1
383,COL 285 SECTOR YO-Z C19
384,COL 285 SECTOR ZZ-Y D22
385,COLONIA
386,CONCANI
387,CROOMOEA DA-A E7842
388,DIAGUANDRI
389,DROETH OD-T D3-1
390,DRYAEA AOB DR-M D7-2109
391,DRYAEA FLEE GC-D D12-2343
392,DRYAEA FLEE GC-D D12-285
393,DRYAEA FLEE GC-D D12-4611
394,DRYAU AUSMS KG-Y E3390
395,DRYEEJEAU ZX-H C23-2
396,DRYI AOC CB-O E6-329
397,DRYI AOC CH-C D13-218
398,DRYOI GRIE NI-S E4-1229
399,DRYOOE PROU HH-C D475
400,DRYOOE PROU NI-A D1-1275
401,DRYUAE CHREA JH-V E2-8239
402,DUMBUE CK-A D7553
403,DUMBUE ZV-D C12-1884
404,EACTAINDS DH-J D10-0
405,EACTAINDS VG-A C2-0
406,EAFOTS DU-C B41-1
407,EAWRAINT RS-U D2-127
408,EBOR
409,EESHORKS CV-Y E2660
410,EESHORKS CV-Y E3683
411,EESHORKS QI-B D1411
412,EESHORKS WO-A E197
413,EESHORPS DY-G D11-1031
414,EITOSY GM-T D4-0
415,EITOSY XU-O D6-0
416,ELECTRA
417,ELEPHANT'S TRUNK SECTOR DL-Y D4
418,EOCH PROO KI-S E4-275
419,EOCH PRUAE JI-K D8-297
420,EOCK BLUAE PQ-X C1-0
421,EOCK FLYUAE PN-S D4-16
422,EOL PROU HU-R C4-127
423,EOL PROU NC-V E2-346
424,EOL PROU PX-T D3-1732
425,EOL PROU VD-T E3-2324
426,EOL PROU VY-R D4-545
427,EOR AUSCS MI-S E4-331
428,EOR AUSCS NI-S E4-13
429,EOR AUSCS XV-K D9-166
430,EORD PRAU AC-B D14-628
431,EORL AUWSY AB-Y B56-28
432,EORL AUWSY CM-W B57-17
433,EORL AUWSY DH-W B57-58
434,EORL AUWSY DM-W B57-45
435,EORL AUWSY JR-N E6-6981
436,EORL AUWSY JR-N E6-7050
437,EORL AUWSY JX-Z C27-888
438,EORL AUWSY KN-Y C28-9
439,EORL AUWSY LN-Y C28-37
440,EORL AUWSY ND-Y C28-911
441,EORL AUWSY NS-B D13-2368
442,EORL AUWSY NS-B D13-4642
443,EORL AUWSY OS-B D13-1106
444,EORL AUWSY OS-B D13-132
445,EORL AUWSY OS-B D13-1619
446,EORL AUWSY OS-B D13-1952
447,EORL AUWSY PD-Y C28-54
448,EORL AUWSY PS-B D13-1805
449,EORL AUWSY PS-B D13-2869
450,EORL AUWSY PS-B D13-3974
451,EORL AUWSY PS-B D13-4295
452,EORL AUWSY PS-B D13-4554
453,EORL AUWSY PS-B D13-5023
454,EORL AUWSY PS-B D13-5388
455,EORL AUWSY PS-B D13-5711
456,EORL AUWSY PS-B D13-5884
457,EORL AUWSY PS-B D13-6242
458,EORL AUWSY QD-A D14-1389
459,EORL AUWSY QD-A D14-255
460,EORL AUWSY QD-A D14-3169
461,EORL AUWSY QD-A D14-4515
462,EORL AUWSY QD-A D14-4541
463,EORL AUWSY QD-A D14-5136
464,EORL AUWSY QD-A D14-6193
465,EORL AUWSY QD-A D14-798
466,EORL AUWSY QN-B D13-4055
467,EORL AUWSY QZ-Y B56-45
468,EORL AUWSY RD-A D14-3589
469,EORL AUWSY RD-A D14-4535
470,EORL AUWSY RY-Z D13-1614
471,EORL AUWSY RZ-Z B55-16
472,EORL AUWSY SY-Z D13-1087
473,EORL AUWSY SY-Z D13-1137
474,EORL AUWSY SY-Z D13-1139
475,EORL AUWSY SY-Z D13-1143
476,EORL AUWSY SY-Z D13-1255
477,EORL AUWSY SY-Z D13-1424
478,EORL AUWSY SY-Z D13-1499
479,EORL AUWSY SY-Z D13-1674
480,EORL AUWSY SY-Z D13-1749
481,EORL AUWSY SY-Z D13-2020
482,EORL AUWSY SY-Z D13-2262
483,EORL AUWSY SY-Z D13-2352
484,EORL AUWSY SY-Z D13-2376
485,EORL AUWSY SY-Z D13-2879
486,EORL AUWSY SY-Z D13-3468
487,EORL AUWSY SY-Z D13-350
488,EORL AUWSY SY-Z D13-3556
489,EORL AUWSY SY-Z D13-3743
490,EORL AUWSY SY-Z D13-3861
491,EORL AUWSY SY-Z D13-3932
492,EORL AUWSY SY-Z D13-4014
493,EORL AUWSY SY-Z D13-4045
494,EORL AUWSY SY-Z D13-4137
495,EORL AUWSY SY-Z D13-4239
496,EORL AUWSY SY-Z D13-4588
497,EORL AUWSY SY-Z D13-4650
498,EORL AUWSY SY-Z D13-4684
499,EORL AUWSY SY-Z D13-4770
500,EORL AUWSY SY-Z D13-4952
501,EORL AUWSY SY-Z D13-5018
502,EORL AUWSY SY-Z D13-5133
503,EORL AUWSY SY-Z D13-5358
504,EORL AUWSY SY-Z D13-5438
505,EORL AUWSY SY-Z D13-544
506,EORL AUWSY SY-Z D13-5541
507,EORL AUWSY SY-Z D13-5549
508,EORL AUWSY SY-Z D13-5758
509,EORL AUWSY SY-Z D13-5797
510,EORL AUWSY SY-Z D13-6009
511,EORL AUWSY SY-Z D13-967
512,EORL AUWSY TY-Z D13-1367
513,EORL AUWSY TY-Z D13-2453
514,EORL AUWSY TY-Z D13-3300
515,EORL AUWSY TY-Z D13-3832
516,EORL AUWSY TY-Z D13-732
517,EORL AUWSY UT-Z D13-1173
518,EORL AUWSY UT-Z D13-1617
519,EORL AUWSY UT-Z D13-2003
520,EORL AUWSY UT-Z D13-432
521,EORL AUWSY VT-Z D13-1851
522,EORL AUWSY VZ-Z B55-41
523,EORL AUWSY XU-Z B55-3
524,EORL AUWSY YF-Y B56-16
525,EORL AUWSY ZZ-Z B55-50
526,EOTIENSES
527,EOWYG AOSCS XO-R D4-89
528,EPSILON ORIONIS
529,ETA CARINA SECTOR EL-Y D16
530,ETA CARINA SECTOR EL-Y D19
531,ETA CARINA SECTOR GW-W C1-6
532,ETA CARINA SECTOR IM-V C2-4
533,ETA CARINA SECTOR IR-W D1-10
534,ETA CARINA SECTOR IR-W D1-25
535,ETA CARINA SECTOR LC-V C2-8
536,ETA CARINA SECTOR PD-S B4-0
537,ETA CEPHEI
538,EULAIL QX-T D3-113
539,EULAIL QX-T D3-52
540,EXPHIAY
541,FAUST 538
542,FENGIRI
543,FF ANDROMEDAE
544,FLOALT KU-E D12-218
545,FLOANTH RZ-O D6-128
546,FLOAWNS BV-V D3-1123
547,FLOAWNS DQ-V D3-139
548,FLOAWNS DQ-V D3-142
549,FLOAWNS DQ-V D3-266
550,FLYAI EOHM NF-B C28-1
551,FLYAI FLYUAE CL-Y D0
552,FLYEIA DRYOAE AS-R B34-0
553,FLYOO FLYI JI-Z D1-51
554,FLYOOE DRYEIA LC-S D5-0
555,FLYOOE DRYEIA LT-O D7-0
556,FLYOOE DRYEIA UP-N D7-0
557,FLYUA DRYOAE FT-F D12-29
558,FLYUA DRYOAE MF-C D14-69
559,FLYUA DRYOAE WO-V B49-3
560,FLYUE DRYIAE CW-E D11-0
561,GARUDA
562,GATEWAY
563,GLUDGAA UW-E C11-22
564,GORGONEA QUARTA
565,GORGONEA TERTIA
566,GREAE DRYOAE MU-D D13-7
567,GREAE PHIO DT-G D11-1473
568,GREAE PHIO FO-G D11-196
569,GREAE PHIO FO-G D11-3323
570,GREAE PHIO FO-G D11-632
571,GREAE PHIO FO-G D11-981
572,GREAE PHIO QE-Q E5-4021
573,GREERUA IL-O D6-7
574,GREERUA QX-U E2-1
575,GREOU EAEC RM-X B4-2
576,GREOU PHIO HS-W B5-0
577,GRU HYPAI BF-P D6-40
578,GURNEY SLADE
579,GYTON'S HOPE
580,HAJARAGE
581,HD 278990
582,HD 35901
583,HD 37127
584,HD 42292
585,HD 46131
586,HD 62755
587,HD 63154
588,HD 63868
589,HD 66438
590,HD 67061
591,HD 67314
592,HD 67557
593,HD 73105
594,HD 76838
595,HD 85469
596,HD 88079
597,HD 92989
598,HD 93098
599,HD 93424
600,HEGEIA AA-Q D5-4
601,HEGEIA SY-O C20-0
602,HERETIA
603,HEZ UR
604,HG 7-208
605,HIND SECTOR BQ-Y D8
606,HIND SECTOR GR-W D1-13
607,HIND SECTOR HR-W D1-15
608,HIND SECTOR MN-T C3-2
609,HIND SECTOR OT-Q B5-1
610,HIP 10056
611,HIP 11154
612,HIP 114458
613,HIP 11457
614,HIP 116907
615,HIP 11700
616,HIP 11981
617,HIP 12099
618,HIP 12916
619,HIP 12967
620,HIP 13855
621,HIP 14405
622,HIP 14610
623,HIP 14702
624,HIP 14746
625,HIP 14756
626,HIP 14805
627,HIP 14908
628,HIP 14909
629,HIP 14969
630,HIP 14971
631,HIP 15054
632,HIP 15134
633,HIP 15249
634,HIP 15278
635,HIP 15279
636,HIP 15329
637,HIP 15443
638,HIP 15550
639,HIP 15746
640,HIP 15889
641,HIP 15954
642,HIP 15980
643,HIP 16136
644,HIP 16171
645,HIP 16440
646,HIP 16469
647,HIP 16508
648,HIP 16517
649,HIP 16529
650,HIP 16572
651,HIP 16613
652,HIP 16692
653,HIP 16704
654,HIP 16723
655,HIP 16753
656,HIP 16795
657,HIP 16824
658,HIP 16835
659,HIP 16985
660,HIP 16996
661,HIP 17000
662,HIP 17044
663,HIP 17091
664,HIP 17125
665,HIP 17225
666,HIP 17401
667,HIP 17403
668,HIP 17481
669,HIP 17482
670,HIP 17497
671,HIP 17511
672,HIP 17692
673,HIP 17694
674,HIP 17704
675,HIP 17729
676,HIP 17837
677,HIP 17862
678,HIP 17892
679,HIP 17999
680,HIP 18007
681,HIP 18077
682,HIP 18117
683,HIP 18154
684,HIP 18244
685,HIP 18266
686,HIP 18368
687,HIP 18502
688,HIP 18625
689,HIP 18730
690,HIP 18778
691,HIP 18833
692,HIP 18909
693,HIP 19026
694,HIP 19036
695,HIP 19266
696,HIP 19284
697,HIP 19549
698,HIP 19665
699,HIP 19685
700,HIP 19847
701,HIP 19934
702,HIP 19975
703,HIP 20014
704,HIP 20318
705,HIP 20350
706,HIP 20369
707,HIP 20486
708,HIP 20567
709,HIP 20644
710,HIP 20785
711,HIP 20830
712,HIP 20831
713,HIP 20845
714,HIP 20859
715,HIP 20964
716,HIP 20989
717,HIP 21246
718,HIP 21251
719,HIP 21348
720,HIP 21373
721,HIP 21395
722,HIP 21478
723,HIP 22118
724,HIP 22334
725,HIP 22347
726,HIP 22375
727,HIP 22382
728,HIP 22460
729,HIP 22692
730,HIP 22743
731,HIP 22851
732,HIP 23022
733,HIP 23027
734,HIP 23269
735,HIP 2371
736,HIP 23759
737,HIP 24007
738,HIP 24934
739,HIP 25274
740,HIP 25975
741,HIP 29214
742,HIP 29592
743,HIP 32278
744,HIP 3289
745,HIP 33442
746,HIP 33475
747,HIP 34322
748,HIP 34842
749,HIP 34906
750,HIP 34941
751,HIP 35245
752,HIP 35258
753,HIP 36218
754,HIP 36252
755,HIP 36777
756,HIP 37546
757,HIP 37610
758,HIP 38064
759,HIP 38660
760,HIP 39111
761,HIP 39768
762,HIP 39773
763,HIP 39890
764,HIP 40594
765,HIP 40749
766,HIP 41908
767,HIP 42003
768,HIP 42459
769,HIP 46991
