id,system,body,siteID,latitude,longitude,status,verified,visible
1,2366,534,1,-17.9575,-152.6994,2,1,1
2,270,16,2,25.5553,78.1765,2,1,1
3,3628,851,3,58.4244,-177.0446,2,1,1
4,1242,284,4,4.7654,136.2398,2,1,1
5,2200,502,5,-26.4561,-27.4742,1,1,1
6,3311,690,6,-63.5266,8.0136,1,1,1
7,3292,678,7,-39.7932,-56.254,1,1,1
8,3293,679,8,-51.7229,-110.0287,1,1,1
9,3309,688,9,-52.0061,-5.6793,1,1,1
10,3305,686,10,16.2444,25.5284,1,1,1
11,3304,685,11,-33.2026,141.7225,1,1,1
12,2282,516,12,40.1213,-22.6073,1,1,1
13,3282,672,13,-76.1261,113.2089,1,1,1
14,3259,655,14,-21.9701,-113.2261,1,1,1
15,3303,684,15,-27.3214,63.0988,1,1,1
16,3288,676,16,-80.3925,-101.5264,1,1,1
17,3265,658,17,15.5126,-12.4966,1,1,1
18,3949,1082,18,-73.612,-35.184,1,1,1
19,2223,505,19,71.5247,77.2894,1,1,1
20,2194,498,20,-8.9048,-114.7065,2,1,1
21,3555,823,21,-35.5592,155.9887,1,1,1
22,2195,499,22,76.7687,176.001,1,1,1
23,3896,1026,23,24.3052,-68.308,1,1,1
24,4021,1156,24,54.6409,-124.5742,2,1,1
25,3966,1099,25,-28.889,-89.2878,1,1,1
26,3987,1124,26,-50.1277,44.2171,1,1,1
27,4020,1155,27,48.3769,-53.768,1,1,1
28,2466,557,28,-68.884,-137.8088,2,1,1
29,3580,835,29,22.4386,121.0789,1,1,1
30,2346,530,30,-21.5287,-27.1165,1,1,1
31,3582,836,31,25.7177,27.4909,1,1,1
32,333,31,32,50.3331,-124.31,2,1,1
33,3583,837,33,-31.861,-5.36,1,1,1
34,3935,1064,34,-37.8668,-66.3934,1,1,1
35,4003,1138,35,39.897,-59.4823,2,1,1
36,2410,540,36,-33.7172,-125.1209,1,1,1
37,3994,1131,37,-1.6378,124.6736,1,1,1
38,4012,1146,38,35.4633,131.5834,2,1,1
39,2262,512,39,39.1994,-29.609,2,1,1
40,2419,542,40,-39.3011,-58.6453,1,1,1
41,4002,1137,41,31.7211,17.2641,2,1,1
42,2253,511,42,-35.0118,-157.9024,1,1,1
43,3551,820,43,11.4432,7.5901,2,1,1
44,3552,821,44,68.9625,92.9837,1,1,1
45,2377,535,45,7.8987,147.2701,1,1,1
46,3522,807,46,-64.438,166.8112,1,1,1
47,2479,562,47,43.0054,-162.8492,1,1,1
48,2421,543,48,42.7052,-162.4037,1,1,1
49,3286,675,49,-41.9785,-166.2575,1,1,1
50,2459,555,50,16.9899,-32.5445,1,1,1
51,3942,1070,51,-71.1251,66.0517,1,1,1
52,3518,805,52,-36.5491,-143.6091,1,1,1
53,362,33,53,-10.1076,92.2843,2,1,1
54,279,18,54,-34.6857,-54.7454,2,1,1
