id,system,body,siteID,extoolID,latitude,longitude,status,verified,visible,msg1Site,msg2Site,msg3Site,discoveredBy
1,696,648,1,\N,-17.9575,-152.6994,2,1,1,\N,\N,\N,1
2,26,19,2,\N,25.5553,78.1765,2,1,1,\N,\N,\N,1
3,1214,1024,3,\N,58.4244,-177.0446,2,1,1,\N,\N,\N,1
4,363,332,4,\N,4.7654,136.2398,2,1,1,\N,\N,\N,1
5,631,613,5,\N,-26.4561,-27.4742,1,1,1,6,8,7,1
6,949,841,6,\N,-63.5266,8.0136,1,1,1,5,7,8,1
7,933,829,7,\N,-39.7932,-56.254,1,1,1,9,8,6,1
8,934,830,8,\N,-51.7229,-110.0287,1,1,1,7,6,5,1
9,947,839,9,\N,-52.0061,-5.6793,1,1,1,10,7,11,1
10,944,837,10,\N,16.2444,25.5284,1,1,1,9,11,12,1
11,943,836,11,\N,-33.2026,141.7225,1,1,1,10,12,9,1
12,662,628,12,\N,40.1213,-22.6073,1,1,1,11,14,13,1
13,925,823,13,\N,-76.1261,113.2089,1,1,1,15,16,8,1
14,905,806,14,\N,-21.9701,-113.2261,1,1,1,9,10,17,1
15,942,835,15,\N,-27.3214,63.0988,1,1,1,12,16,13,1
16,930,827,16,\N,-80.3925,-101.5264,1,1,1,6,13,15,1
17,910,809,17,\N,15.5126,-12.4966,1,1,1,14,19,18,1
18,1533,1306,18,\N,-73.612,-35.184,1,1,1,22,19,21,1
19,640,617,19,\N,71.5247,77.2894,1,1,1,20,18,22,1
20,626,609,20,\N,-8.9048,-114.7065,2,1,1,\N,\N,\N,1
21,1157,996,21,\N,-35.5592,155.9887,1,1,1,30,3,39,1
22,627,610,22,\N,76.7687,176.001,1,1,1,19,18,23,1
23,1462,1226,23,\N,24.3052,-68.308,1,1,1,24,25,37,1
24,1608,1391,24,\N,54.6409,-124.5742,2,1,1,\N,\N,\N,1
25,1550,1324,25,\N,-28.889,-89.2878,1,1,1,27,23,30,1
26,1573,1355,26,\N,-50.1277,44.2171,1,1,1,34,28,31,1
27,1607,1390,27,\N,48.3769,-53.768,1,1,1,24,25,37,1
28,734,673,28,\N,-68.884,-137.8088,2,1,1,\N,\N,\N,1
29,1180,1008,29,\N,22.4386,121.0789,1,1,1,40,33,41,1
30,689,644,30,\N,-21.5287,-27.1165,1,1,1,32,45,33,1
31,1182,1009,31,\N,25.7177,27.4909,1,1,1,29,33,34,1
32,54,34,32,\N,50.3331,-124.31,2,1,1,\N,\N,\N,1
33,1183,1010,33,\N,-31.861,-5.36,1,1,1,29,30,35,1
34,1516,1284,34,\N,-37.8668,-66.3934,1,1,1,36,31,26,1
35,1588,1370,35,\N,39.897,-59.4823,2,1,1,\N,\N,\N,1
36,710,655,36,\N,-33.7172,-125.1209,1,1,1,37,27,38,1
37,1580,1363,37,\N,-1.6378,124.6736,1,1,1,26,27,23,1
38,1600,1381,38,\N,35.4633,131.5834,2,1,1,\N,\N,\N,1
39,653,624,39,\N,39.1994,-29.609,2,1,1,\N,\N,\N,1
40,713,657,40,\N,-39.3011,-58.6453,1,1,1,42,43,44,1
41,1587,1369,41,\N,31.7211,17.2641,2,1,1,\N,\N,\N,1
42,648,623,42,\N,-35.0118,-157.9024,1,1,1,4,54,53,1
43,1154,993,43,\N,11.4432,7.5901,2,1,1,\N,\N,\N,1
44,1155,994,44,\N,68.9625,92.9837,1,1,1,47,40,46,1
45,698,650,45,\N,7.8987,147.2701,1,1,1,17,48,49,1
46,1134,980,46,\N,-64.438,166.8112,1,1,1,52,56,44,1
47,740,679,47,\N,43.0054,-162.8492,1,1,1,50,57,51,1
48,714,658,48,\N,42.7052,-162.4037,1,1,1,62,61,59,1
49,929,826,49,\N,-41.9785,-166.2575,1,1,1,45,17,55,1
50,730,670,50,\N,16.9899,-32.5445,1,1,1,82,4,75,1
51,1525,1293,51,\N,-71.1251,66.0517,1,1,1,57,63,60,1
52,1132,978,52,\N,-36.5491,-143.6091,1,1,1,64,46,58,1
53,60,36,53,\N,-10.1076,92.2843,2,1,1,\N,\N,\N,1
54,31,21,54,\N,-34.6857,-54.7454,2,1,1,\N,\N,\N,1
