id,system,body,siteID,extoolID,latitude,longitude,type,verified,visible,discoveredBy
1,1508,1344,1,\N,-13.7026,34.3743,2,1,1,178
2,1915,1816,2,\N,4.8722,128.8088,2,1,1,273
3,1143,1102,3,\N,-50.8766,175.3827,2,1,1,273
4,1513,1351,4,\N,-42.061,-79.3805,2,1,1,178
5,1512,1350,5,\N,-9.3775,-75.1947,2,1,1,178
6,1510,1347,6,\N,-43.267,68.2011,2,1,1,178
7,1510,1348,7,\N,-69.9112,97.8154,2,1,1,178
8,1511,1349,8,\N,12.9045,109.3144,2,1,1,178
9,190,111,9,\N,-13.6279,-148.7766,2,1,1,193
10,190,111,10,\N,-59.6466,130.9337,2,1,1,240
11,190,111,11,\N,-13.6673,-148.7618,2,1,1,193
12,1509,1345,12,\N,1.9019,-60.9316,2,1,1,178
13,1509,1346,13,\N,0.2815,-75.8487,2,1,1,178
14,1509,1346,14,\N,-16.55,-141.6367,2,1,1,178
15,534,521,15,\N,10.7936,79.9875,2,1,1,240
