id,gbsite,messageSystem,messageBody,latitude,longitude
1,1,1889,2496,12.18,44.31
2,2,1819,2410,-46.8,-132.28
3,3,1819,2410,-46.8,-132.28
4,4,1877,2484,47.41,80.6
5,5,1092,1448,25.47,-132.9
6,6,1850,2454,-23.99,174.22
7,7,1244,1627,-1.18,25.38
8,8,1820,2411,-52.28,98.44
9,9,1856,2461,-3.49,-115.24
10,10,2002,2640,2.6,126.62
11,11,1917,2532,-44.92,89.42
12,12,1858,2463,37.8,-111.61
13,13,1240,1623,80.3,113.4
14,14,1826,2425,-16.2,-5.73
15,15,1897,2505,50.63,-35.06
16,16,1826,2425,-16.2,-5.73
17,17,1882,2489,-42.522,-155.66
18,18,1853,2458,64.31,163.65
19,19,1872,2478,-4.85,-65.77
20,20,1905,2515,38.27,-48.57
21,21,1885,2492,56.72,121.67
22,22,1821,2412,43.66,174.22
23,23,1095,1451,-44.52,34.33
24,24,1841,2443,-14.06,-31.18
25,25,1924,2543,59.51,-23.36
26,26,1854,2459,-37.56,-125.58
27,27,1846,2450,-45.48,152.41
28,28,1001,1314,19.55,-132.67
