id,system,body,siteID,extoolID,latitude,longitude,type,verified,visible,discoveredBy
1,2165,3036,1,\N,-3.3269,139.8931,2,0,1,133
2,330,481,2,\N,17.29,-108.53,2,0,1,295
3,1271,1773,3,\N,-24.78,125.81,2,0,1,295
4,1271,1774,4,\N,73.53,-16.62,2,0,1,295
5,2544,3541,5,\N,-39.13,60.96,2,0,1,295
6,2544,3543,6,\N,61.5873,164.3526,2,1,1,295
7,2623,3662,7,\N,12.92,175.41,2,0,1,295
8,2708,3782,8,\N,-5.07,169.47,2,0,1,295
9,844,1187,9,\N,-14.0726,94.3267,2,1,1,31
10,1271,1774,10,\N,19.58,-162.58,2,1,1,309
11,2165,3035,11,\N,-20.53,151.35,2,0,1,403
12,2165,3035,12,\N,-18.14,96.39,2,0,1,403
13,2165,3036,13,\N,13.66,-40.78,2,0,1,403
14,1420,1993,14,\N,41.06,150.73,2,0,1,403
15,1421,1994,15,\N,-15.98,143.61,2,0,1,403
16,268,394,16,\N,-32.8343,15.0372,2,0,1,185
17,934,1321,17,\N,66.3917,84.1447,2,0,1,274
18,910,1282,18,\N,-48.2731,-47.4449,2,1,1,403
19,911,1283,19,\N,24.15,-45.8258,2,1,1,403
20,940,1327,20,\N,51.4334,17.5896,2,1,1,300
21,940,1327,21,\N,61.5956,30.1354,2,1,1,300
22,943,1330,22,\N,-11.5608,33.8907,2,1,1,300
23,942,1329,23,\N,18.6796,132.9822,2,1,1,300
24,2544,3541,24,\N,10.6344,56.2811,2,1,1,170
25,2544,3541,25,\N,29.1773,75.802,2,1,1,170
26,2544,3542,26,\N,-16.9526,-13.2767,2,1,1,391
27,1185,1671,27,\N,2.0046,29.2919,2,1,1,27
28,1185,1671,28,\N,45.3692,-177.0091,2,1,1,27
29,1185,1671,29,\N,2.1793,-150.6453,2,1,1,27
30,1185,1671,30,\N,-38.2095,106.2298,2,1,1,27
31,2544,3543,31,\N,37.2468,155.3687,2,1,1,224
32,844,1187,32,\N,26.3988,90.6247,2,1,1,31
33,880,1238,33,\N,30.4118,-134.6438,2,1,1,31
34,880,1238,34,\N,-31.5981,-56.2382,2,1,1,31
35,880,1238,35,\N,14.7116,135.528,2,1,1,31
36,854,1204,36,\N,-29.9745,4.0689,2,1,1,31
37,854,1204,37,\N,3.0361,84.7171,2,1,1,31
38,865,1218,38,\N,-45.0271,45.6161,2,0,1,31
39,865,1217,39,\N,32.8233,99.8167,2,1,1,31
40,1069,1498,40,\N,40.0754,-111.6587,2,1,1,300
41,178,263,41,\N,-12.3667,143.6478,2,1,1,403
42,178,263,42,\N,-35.8725,-89.5558,2,1,1,403
43,178,263,43,\N,-26.1436,-87.004,2,1,1,403
44,178,263,44,\N,45.234,167.2092,2,1,1,403
45,1071,1501,45,\N,-53.0819,-163.0337,2,1,1,300
46,1271,1774,46,\N,-3.8712,-56.3881,2,1,1,170
47,1075,1506,47,\N,-9.1401,-45.1593,2,1,1,300
48,715,1036,48,\N,9.1864,-150.4373,2,1,1,300
49,1620,2233,49,\N,9.724,-161.4523,2,1,1,279
50,714,1035,50,\N,9.2572,27.7121,2,1,1,300
51,714,1035,51,\N,17.1353,-107.5362,2,1,1,300
52,1620,2233,52,\N,4.8999,28.4902,2,1,1,279
53,714,1034,53,\N,-27.6244,-109.3809,2,1,1,300
54,2300,3233,54,\N,29.7371,23.4861,2,1,1,149
55,259,384,55,\N,-70.7605,156.0312,2,1,1,31
56,1309,1838,56,\N,-1.1483,26.5604,2,1,1,31
57,1309,1838,57,\N,10.5415,123.8627,2,1,1,31
58,1309,1838,58,\N,9.7212,-30.1957,2,1,1,31
59,2206,3093,59,\N,16.1963,-74.2568,2,1,1,31
60,2206,3093,60,\N,-7.4784,78.6781,2,1,1,31
61,2206,3093,61,\N,-7.5528,-59.3983,2,1,1,31
62,1464,2051,62,\N,-50.3833,138.0796,2,1,1,149
63,1463,2050,63,\N,40.1001,131.1638,2,1,1,149
64,717,1038,64,\N,4.4256,-16.1833,2,1,1,300
65,717,1038,65,\N,-2.7645,-47.5568,2,1,1,300
66,717,1038,66,\N,-4.5086,-144.5524,2,1,1,300
67,1550,2150,67,\N,-1.8441,20.4949,2,1,1,300
68,1550,2150,68,\N,-11.7293,-40.8511,2,1,1,300
69,259,384,69,\N,50.7311,-32.1483,2,1,1,359
70,2180,3055,70,\N,-22.2384,33.4779,2,1,1,149
71,2163,3033,71,\N,-64.3718,-55.7859,2,0,1,110
72,2182,3058,72,\N,57.5679,59.0773,2,1,1,149
73,328,479,73,\N,83.6478,-102.6522,2,1,1,356
74,2705,3777,74,\N,-27.3359,-168.0797,2,1,1,295
75,780,1120,75,\N,8.3285,68.0708,2,1,1,300
76,780,1120,76,\N,11.0526,-170.7735,2,1,1,300
77,667,978,77,\N,8.2407,-96.0592,2,1,1,300
78,226,320,78,\N,9.1079,88.2455,2,1,1,300
79,226,320,79,\N,7.9014,-172.4354,2,1,1,300
80,226,320,80,\N,1.2863,-43.5617,2,1,1,300
81,226,320,81,\N,20.7736,77.8444,2,1,1,300
82,226,320,82,\N,-11.0148,15.9302,2,1,1,300
83,1417,1990,83,\N,6.8876,53.5052,2,1,1,300
84,1417,1990,84,\N,3.614,89.2502,2,1,1,300
85,1330,1882,85,\N,2.2175,-160.7892,2,1,1,110
86,1330,1882,86,\N,4.4279,-6.7368,2,1,1,110
87,1417,1990,87,\N,-5.3697,-163.383,2,1,1,300
88,318,467,88,\N,20.7961,66.4898,2,1,1,300
89,319,468,89,\N,9.6052,140.0072,2,1,1,300
90,317,466,90,\N,1.9271,-102.9887,2,1,1,300
91,239,346,91,\N,6.3825,165.1069,2,1,1,300
92,1153,1622,92,\N,-0.4561,111.4275,2,1,1,300
93,1340,1893,93,\N,8.5066,101.8355,2,1,1,300
94,1340,1893,94,\N,-4.5114,179.1629,2,1,1,300
95,739,1066,95,\N,-1.1828,111.0286,2,0,1,110
96,1330,1882,96,\N,-37.1983,9.1229,2,1,1,61
97,739,1066,97,\N,-6.3153,142.2379,2,0,1,110
98,947,1337,98,\N,-1.3056,79.2587,2,0,1,110
99,1977,2741,99,\N,-69.8789,10.2234,2,1,1,149
100,1150,1618,100,\N,18.9746,89.8771,2,1,1,61
101,1150,1618,101,\N,66.3354,123.0142,2,1,1,61
102,1150,1618,102,\N,42.9764,-82.7134,2,1,1,61
103,1150,1618,103,\N,31.0358,-6.8257,2,1,1,61
104,1280,1787,104,\N,46.1536,164.5884,2,1,1,61
105,1280,1787,105,\N,-36.8407,-169.6971,2,1,1,61
106,1270,1772,106,\N,17.6665,42,2,0,1,61
107,1769,2445,107,\N,-20.3547,-149.5565,2,1,1,61
108,1227,1722,108,\N,8.7061,-33.1501,2,1,1,61
109,2703,3775,109,\N,39.4727,110.1346,2,0,1,263
110,2174,3047,110,\N,61.517,140.5581,2,0,1,91
111,1778,2456,111,\N,-42.6636,-27.7421,2,0,1,271
112,1778,2456,112,\N,42.2128,-135.7698,2,0,1,271
113,1778,2456,113,\N,-46.3897,-74.1152,2,0,1,271
114,1778,2456,114,\N,7.8554,107.8801,2,0,1,271
