id,system,body,siteID,extoolID,type,latitude,longitude,verified,visible,discoveredBy
1,5,8,1,\N,1,-4.8631,3.0394,1,1,324
2,6,9,2,\N,1,-65.5780,165.2446,0,1,37
3,6,11,3,\N,1,-22.1270,-99.8050,0,1,37
4,6,10,4,\N,1,18.5441,117.2379,0,1,37
5,7,12,5,\N,1,-33.2476,52.9794,0,1,37
6,7,13,6,\N,1,34.7347,99.5606,0,1,37
7,8,15,7,\N,1,7.7559,-153.3222,0,1,37
8,491,745,8,\N,1,27.1906,41.6520,1,1,37
9,498,754,9,\N,1,10.5512,-151.2654,1,1,37
10,500,756,10,\N,1,54.4862,52.0458,1,1,37
11,513,770,11,\N,1,4.1726,162.7135,1,1,37
12,522,780,12,\N,1,7.9078,132.2088,1,1,37
13,522,780,13,\N,1,-0.3814,-53.8507,1,1,37
14,522,780,14,\N,1,-10.8164,-43.3248,1,1,37
15,522,780,15,\N,1,-69.0015,121.4782,1,1,37
16,539,810,16,\N,1,44.1401,-76.8827,1,1,37
17,552,824,17,\N,1,43.8595,44.5843,1,1,37
18,552,824,18,\N,1,28.9110,112.8688,1,1,37
19,558,834,19,\N,1,-5.7463,96.7247,1,1,37
20,558,835,20,\N,1,-3.1468,-59.9358,1,1,37
21,558,833,21,\N,1,-48.8886,-151.9067,1,1,37
22,558,833,22,\N,1,44.6974,-93.0335,1,1,37
23,558,833,23,\N,1,35.0087,76.5551,1,1,37
24,558,832,24,\N,1,-25.5887,-108.5824,1,1,37
25,558,832,25,\N,1,-42.8524,-134.1830,1,1,37
26,558,832,26,\N,1,64.8666,-130.988,1,1,37
27,558,832,27,\N,1,24.3299,44.2246,1,1,37
28,558,832,28,\N,1,14.6168,-0.6771,1,1,37
29,561,841,29,\N,1,-50.1253,129.5716,1,1,37
30,544,815,30,\N,1,40.3987,-1.7777,1,1,37
31,567,847,31,\N,1,-61.4610,26.6463,1,1,37
32,567,847,32,\N,1,24.1381,-65.5068,1,1,37
33,576,861,33,\N,1,17.4114,-98.8253,1,1,37
34,576,860,34,\N,1,45.9501,-43.4345,1,1,37
35,582,870,35,\N,1,-50.5520,-165.8521,1,1,37
36,592,884,36,\N,1,7.2636,149.9771,1,1,37
37,614,909,37,\N,1,48.0808,127.0176,1,1,37
38,614,909,38,\N,1,13.5402,140.2993,1,1,37
39,627,926,39,\N,1,-64.0736,-27.7055,1,1,37
40,627,926,40,\N,1,-30.1192,-74.0093,1,1,37
41,627,926,41,\N,1,-45.8336,-139.5594,1,1,37
42,1062,1475,42,\N,1,14.1399,-158.4774,0,1,37
43,1062,1475,43,\N,1,-66.5205,167.9569,0,1,37
44,1063,1477,44,\N,1,43.1344,61.7306,0,1,37
45,1063,1477,45,\N,1,47.5327,150.6297,0,1,37
46,1064,1478,46,\N,1,69.5822,-65.6835,0,1,37
47,1064,1479,47,\N,1,-15.1114,-19.0249,0,1,37
48,1068,1483,48,\N,1,19.1472,-74.7557,0,1,37
49,1068,1484,49,\N,1,-25.7799,92.8599,0,1,37
50,1068,1486,50,\N,1,39.8712,9.8842,0,1,37
51,1068,1485,51,\N,1,-0.3307,56.0831,0,1,37
52,1069,1487,52,\N,1,-24.9527,-43.5946,0,1,37
53,1070,1489,53,\N,1,-51.1798,84.8238,0,1,37
54,1070,1488,54,\N,1,16.3128,85.3387,0,1,37
55,1070,1488,55,\N,1,-40.1837,173.1855,0,1,37
56,1070,1490,56,\N,1,46.4111,109.9064,0,1,37
57,1070,1491,57,\N,1,5.4721,-52.5514,0,1,37
58,1071,1492,58,\N,1,59.3803,159.9808,0,1,37
59,1071,1493,59,\N,1,-67.0822,-133.4404,0,1,37
60,1078,1503,60,\N,1,25.0470,-179.8852,0,1,324
61,1173,1642,61,\N,1,-83.0984,32.6312,0,1,37
62,1174,1643,62,\N,1,5.8204,-51.4230,0,1,37
63,1382,1935,63,\N,1,72.0505,-56.1021,0,1,37
64,1390,1947,64,\N,1,33.0752,12.2098,0,1,37
65,1518,2113,65,\N,1,-30.0396,-149.4684,1,1,250
66,1525,2121,66,\N,1,-42.0381,9.3240,0,1,37
67,1527,2123,67,\N,1,-15.4508,-127.4753,0,1,250
68,1527,2124,68,\N,1,42.6634,95.1986,1,1,250
69,1527,2125,69,\N,1,-4.2054,-148.8758,0,1,250
70,1529,2127,70,\N,1,-27.7507,-98.7055,0,1,250
71,1539,2152,71,\N,1,28.3995,89.7813,0,1,37
72,1546,2162,72,\N,1,-35.3982,126.2055,1,1,37
73,1564,2204,73,\N,1,25.0856,114.2113,0,1,37
74,1564,2204,74,\N,1,34.1690,-105.1043,0,1,37
75,1564,2205,75,\N,1,45.0142,-36.2342,0,1,37
76,1564,2205,76,\N,1,-17.1079,139.6668,0,1,37
77,1564,2205,77,\N,1,-23.3599,107.6398,0,1,37
78,1564,2205,78,\N,1,-16.4619,107.9966,0,1,37
79,1564,2205,79,\N,1,-13.3061,53.8875,0,1,37
80,1595,2242,80,\N,1,67.0093,75.6757,0,1,37
81,1685,2355,81,\N,1,32.3710,-66.7544,1,1,37
82,1685,2356,82,\N,1,-7.0199,3.7237,1,1,37
83,1692,2366,83,\N,1,11.4400,48.4300,1,1,306
84,1692,2366,84,\N,1,6.8700,135.3200,1,1,438
85,1694,2368,85,\N,1,-36.3052,-80.1392,1,1,37
86,1694,2368,86,\N,1,-44.4303,-108.1785,1,1,37
87,1694,2368,87,\N,1,57.5678,-150.0415,1,1,37
88,1849,2552,88,\N,1,47.4240,177.7826,0,1,37
89,2144,2957,89,\N,1,75.7750,13.5711,0,1,37
90,2144,2958,90,\N,1,-13.6501,-40.9802,0,1,37
91,2149,2963,91,\N,1,-68.5446,93.1421,1,1,37
92,2152,2968,92,\N,1,74.4974,-113.2824,1,1,37
93,2152,2968,93,\N,1,26.9764,-177.0129,0,1,37
94,2153,2970,94,\N,1,-35.8956,-167.5493,0,1,37
95,2153,2969,95,\N,1,26.7208,-35.4759,0,1,37
96,2556,3525,96,\N,1,27.1497,163.0964,1,1,139
97,2556,3526,97,\N,1,-29.4270,-43.7290,1,1,139
98,2943,4089,98,\N,1,46.7425,28.6299,0,1,250
99,2967,4125,99,\N,1,-28.3347,-137.5307,0,1,82
100,2967,4126,100,\N,1,-45.7667,-163.9887,1,1,82
101,2967,4127,101,\N,1,37.2984,-18.4852,0,1,82
102,1041,1447,102,\N,1,50.6245,-179.3078,1,1,47
103,2967,4126,103,\N,1,-4.1015,69.9954,0,1,82
104,2969,4129,104,\N,1,45.1790,-134.3400,0,1,82
105,3013,4177,105,\N,1,-781.0000,157.4734,0,1,250
106,3018,4183,106,\N,1,-35.3026,125.7626,0,1,250
107,3018,4182,107,\N,1,-38.2393,-57.4669,0,1,250
108,3026,4192,108,\N,1,60.6023,116.1723,0,1,250
109,3037,4204,109,\N,1,29.9000,-125.4000,0,1,244
110,3046,4218,110,\N,1,-42.9412,-83.0116,1,1,250
111,3046,4219,111,\N,1,35.4996,60.7949,1,1,250
112,3060,4238,112,\N,1,23.1655,121.1066,1,1,250
113,3060,4239,113,\N,1,-38.4706,34.9521,1,1,250
114,3072,4253,114,\N,1,33.0642,63.7917,0,1,37
115,3072,4254,115,\N,1,18.6211,-119.2363,0,1,37
116,3080,4265,116,\N,1,-15.4903,39.8149,0,1,250
117,3080,4266,117,\N,1,19.7509,148.6462,0,1,250
118,3080,4267,118,\N,1,-33.8064,-154.9665,0,1,250
119,3080,4268,119,\N,1,5.0520,174.6483,1,1,250
120,3082,4270,120,\N,1,26.4682,-42.5670,0,1,37
121,3083,4271,121,\N,1,45.1199,101.7850,0,1,250
122,3095,4285,122,\N,1,40.2611,95.5838,0,1,250
123,3097,4287,123,\N,1,-14.6653,106.3722,0,1,82
124,3096,4286,124,\N,1,49.7332,18.5988,0,1,82
125,3097,4287,125,\N,1,53.3894,-10.1255,0,1,82
126,3097,4287,126,\N,1,52.1812,-16.2724,0,1,82
127,3097,4287,127,\N,1,53.2032,146.4852,0,1,82
128,3105,4295,128,\N,1,8.3288,-6.3952,0,1,250
129,3105,4296,129,\N,1,20.6584,-137.4866,0,1,250
130,3107,4298,130,\N,1,-33.0878,-55.8072,0,1,82
131,3119,4312,131,\N,1,-48.4500,-148.2100,0,1,244
132,3119,4312,132,\N,1,15.0000,-58.0000,0,1,375
133,3119,4312,133,\N,1,13.7745,96.5979,0,1,244
134,3119,4311,134,\N,1,41.7063,-149.0782,0,1,125
135,3121,4314,135,\N,1,-42.6763,41.8451,0,1,37
136,3127,4320,136,\N,1,29.2907,48.4414,0,1,250
137,3136,4333,137,\N,1,-22.2293,-116.6219,0,1,37
138,3137,4335,138,\N,1,18.6100,-172.8300,0,1,325
139,3137,4335,139,\N,1,-16.9000,45.0000,1,1,259
140,3139,4338,140,\N,1,-44.5895,3.2548,1,1,37
141,3264,4521,141,\N,1,32.7918,-43.1520,0,1,37
142,3264,4522,142,\N,1,23.5008,93.1131,0,1,37
143,3264,4523,143,\N,1,64.8990,177.7283,0,1,37
144,3264,4524,144,\N,1,-9.3071,-68.8657,0,1,37
145,3264,4525,145,\N,1,-55.8520,27.1621,0,1,37
146,3264,4526,146,\N,1,38.8915,38.7007,0,1,37
