id,system,body,siteID,extoolID,latitude,longitude,type,verified,visible,discoveredBy
1,1784,2363,1,\N,3.5744,-40.2345,2,1,1,115
2,1784,2363,2,\N,10.138,41.0141,2,1,1,115
3,1783,2362,3,\N,-27.248,151.2496,2,1,1,115
4,2091,2770,4,\N,-4.6326,-24.0505,2,1,1,98
5,2091,2770,5,\N,-8.1722,-128.3918,2,1,1,98
6,1755,2324,6,\N,8.5999,-36.66,2,1,1,98
7,2090,2767,7,\N,-44.4594,-146.6704,2,1,1,98
8,2090,2766,8,\N,-84.8393,-99.5817,2,1,1,98
9,752,996,9,\N,79.2348,-123.5093,2,1,1,216
10,1224,1604,10,\N,-45.8008,113.0264,2,1,1,291
11,842,1104,11,\N,21.8781,-120.1936,2,1,1,154
12,842,1104,12,\N,14.3339,-149.9506,2,1,1,154
13,1224,1604,13,\N,2.5323,-146.8278,2,1,1,11
14,752,996,14,\N,54.6008,-45.5622,2,1,1,11
15,1510,2004,15,\N,20.3096,70.546,2,1,1,98
16,1513,2008,16,\N,-34.0355,63.3863,2,1,1,98
17,1512,2007,17,\N,62.6125,7.6781,2,1,1,98
18,1512,2006,18,\N,31.9782,-125.4309,2,1,1,98
19,1359,1783,19,\N,-30.2178,7.7806,2,1,1,98
20,1359,1784,20,\N,-0.374,-169.2894,2,1,1,98
21,705,929,21,\N,73.5302,65.7657,2,1,1,98
22,1376,1801,22,\N,39.0695,-33.8396,2,1,1,98
23,999,1309,23,\N,37.2936,176.2333,2,1,1,98
24,999,1310,24,\N,-15.649,108.6775,2,1,1,98
25,999,1311,25,\N,-22.144,41.7567,2,1,1,98
26,999,1312,26,\N,-82.767,-101.1715,2,1,1,98
27,747,990,27,\N,50.9929,-125.3295,2,1,1,323
