id,system,body,siteID,extoolID,type,latitude,longitude,verified,visible,discoveredBy
1,1354,1893,1,\N,1,-1.4054,140.8423,1,1,61
2,1361,1904,2,\N,1,-1.8161,-137.3999,1,1,32
3,1361,1904,3,\N,1,12.3752,32.0999,1,1,32
4,1290,1804,4,\N,1,-38.0357,-85.6467,1,1,32
5,1126,1570,5,\N,1,10.1605,17.1322,1,1,303
6,1361,1904,6,\N,1,21.9127,24.5374,1,1,32
7,1361,1904,7,\N,1,-3.9227,44.1731,1,1,32
8,1126,1570,8,\N,1,-7.4639,98.3023,1,1,303
9,1366,1910,9,\N,1,5.8876,-107.4878,1,1,32
10,1367,1911,10,\N,1,-13.3464,-171.3861,1,1,32
11,747,1074,11,\N,1,8.7025,40.258,1,1,303
12,1366,1910,12,\N,1,-16.6021,-78.8721,1,1,32
13,1366,1910,13,\N,1,-19.4121,23.8399,1,1,32
14,1622,2238,14,\N,1,3.52,89.8647,1,1,303
15,1622,2238,15,\N,1,-6.0299,-33.1501,1,1,303
16,273,402,16,\N,1,-32.8299,15.0299,0,1,385
17,1366,1910,17,\N,1,20.7471,168.1912,1,1,32
18,1481,2069,18,\N,1,5.0652,18.9814,1,1,303
19,1481,2069,19,\N,1,2.2381,69.9729,1,1,303
20,1206,1688,20,\N,1,6.731,51.0271,1,1,303
21,1206,1688,21,\N,1,-4.7808,-34.8424,1,1,303
22,1207,1690,22,\N,1,-5.9535,158.2056,1,1,303
23,1207,1689,23,\N,1,7.3947,-123.5075,1,1,303
24,1397,1964,24,\N,1,19.122,-29.9567,1,1,303
25,1376,1940,25,\N,1,25.2305,-147.1726,1,1,89
26,1209,1693,26,\N,1,7.4382,143.737,1,1,303
27,1338,1860,27,\N,1,8.3596,-29.7793,1,1,303
28,1383,1950,28,\N,1,5.9176,167.5988,1,1,62
29,1208,1691,29,\N,1,-22.0587,-164.608,0,1,62
30,1334,1856,30,\N,1,2.5083,-153.4364,1,1,220
31,285,419,31,\N,1,32.1352,-48.9161,1,1,69
32,2528,3518,32,\N,9,3.1804,-3.9519,1,1,253
33,1396,1963,33,\N,5,-36.486,-73.391,1,1,253
34,29,44,34,\N,9,55.2559,116.6158,1,1,389
35,806,1152,35,\N,6,69.7376,17.7446,1,1,237
36,1359,1901,36,\N,8,-75.6181,-40.705,1,1,63
37,1359,1902,37,\N,8,29.4244,-2.3728,1,1,63
38,1359,1902,38,\N,8,20.4955,62.7135,1,1,63
39,1359,1902,39,\N,8,-71.5266,-154.1508,1,1,63
40,1359,1902,40,\N,8,-52.012,-66.434,1,1,63
41,1359,1902,41,\N,8,-5.6647,-107.6041,1,1,63
42,1356,1897,42,\N,8,-50.476,34.8801,1,1,63
43,1356,1898,43,\N,8,65.7428,143.4124,1,1,63
44,1170,1624,44,\N,4,27.3286,-2.1669,1,1,339
45,2397,3349,45,\N,6,10.0092,-49.4453,1,1,448
46,2397,3349,46,\N,6,16.8287,152.1689,1,1,448
47,2397,3350,47,\N,6,25.5932,-117.8543,1,1,448
48,2397,3350,48,\N,6,-61.5998,149.5168,1,1,448
49,1992,2755,49,\N,6,37.1412,135.4144,1,1,94
50,1992,2755,50,\N,6,-15.4105,91.3033,1,1,94
