id,system,body,siteID,extoolID,type,latitude,longitude,verified,visible,discoveredBy
1,2169,3014,1,\N,1,-26.1589,-90.6344,0,1,330
2,1756,2436,2,\N,1,-54.1391,60.816,0,1,363
3,1745,2419,3,\N,1,79.2144,-102.5297,0,1,363
4,960,1356,4,\N,1,-19.6617,-175.3967,0,1,363
5,1496,2117,5,\N,1,0.9803,34.6832,0,1,363
6,3005,4192,6,\N,1,54.2257,41.9895,0,1,363
7,75,96,7,\N,1,7.2434,-34.5406,0,1,363
8,760,1106,8,\N,1,36.1108,-158.4958,0,1,363
9,292,438,9,\N,1,-67.9876,-103.2627,0,1,363
10,2348,3296,10,\N,1,-33.2006,-35.0718,0,1,363
11,2350,3298,11,\N,1,-74.4511,-63.709,0,1,363
12,2349,3297,12,\N,1,17.0926,129.0382,0,1,363
13,1455,2071,13,\N,1,54.2293,69.7184,1,1,295
14,1455,2071,14,\N,1,50.9525,-38.7305,1,1,295
15,1455,2071,15,\N,1,-4.1387,11.2136,1,1,295
16,1455,2071,16,\N,1,-41.983,148.8269,1,1,295
17,1322,1871,17,\N,1,-45.454,36.7738,1,1,298
18,1456,2072,18,\N,1,-9.6124,-13.1981,1,1,188
19,2774,3862,19,\N,1,-62.3767,81.6913,1,1,62
20,1425,2030,20,\N,1,-48.4586,63.0763,1,1,112
21,192,281,21,\N,1,83.7647,42.8541,1,1,370
22,192,281,22,\N,1,-67.4829,-85.549,1,1,370
23,192,281,23,\N,1,-67.1605,55.5439,1,1,370
24,432,679,24,\N,1,-7.743,-101.8669,1,1,303
25,432,679,25,\N,1,-31.8327,-135.1079,1,1,303
26,192,280,26,\N,1,-11.2511,72.3721,1,1,370
27,192,280,27,\N,1,14.4218,-162.7472,1,1,370
28,2866,4012,28,\N,1,-36.7492,21.0186,1,1,239
29,2702,3775,29,\N,1,8.8814,-102.1113,1,1,437
30,2477,3493,30,\N,1,-25.296,-109.9486,1,1,370
31,431,677,31,\N,1,-28.3224,-127.3301,1,1,303
32,431,677,32,\N,1,-53.4648,6.9403,1,1,303
33,431,677,33,\N,1,-20.8418,113.1809,1,1,303
34,431,678,34,\N,1,21.2918,86.4218,1,1,303
35,431,678,35,\N,1,3.8739,120.7287,1,1,303
36,1009,1432,36,\N,1,-2.7254,74.0536,1,1,303
37,2697,3770,37,\N,1,67.3613,81.2341,1,1,151
38,2095,2925,38,\N,1,-16.0293,-154.8076,1,1,230
39,2143,2980,39,\N,1,-71.6735,41.9377,1,1,230
40,1597,2240,40,\N,1,4.6062,124.8543,0,1,112
41,2746,3830,41,\N,1,13.3769,69.997,1,1,172
42,1007,1430,42,\N,1,-18.3594,-95.8232,1,1,303
43,2136,2973,43,\N,1,1.1776,74.8481,1,1,246
44,2136,2972,44,\N,1,31.8643,-7.2629,1,1,246
45,705,1033,45,\N,1,3.4585,27.3418,1,1,246
46,550,837,46,\N,1,-3.7332,-131.7999,0,1,302
47,550,837,47,\N,1,-5.6381,-153.8728,0,1,302
48,360,536,48,\N,1,60.7385,61.1293,1,1,110
49,354,530,49,\N,1,-68.3069,-85.2176,0,1,23
50,1147,1616,50,\N,1,-56.2851,-99.3487,1,1,303
51,611,911,51,\N,1,6.7942,164.5247,1,1,227
52,1152,1622,52,\N,1,5.446,-115.8653,1,1,303
53,2576,3622,53,\N,1,-30.2462,-105.5534,1,1,151
54,2576,3622,54,\N,1,-25.3723,-1.1001,1,1,151
55,1928,2677,55,\N,1,34.9428,-164.0981,1,1,325
56,1054,1499,56,\N,1,39.9876,-124.573,0,1,151
57,189,277,57,\N,1,9.2356,130.8613,0,1,410
58,189,277,58,\N,1,39.8643,-161.9637,1,1,410
59,189,277,59,\N,1,-27.3222,-133.3107,1,1,410
60,576,867,60,\N,1,-45.0216,-9.0747,1,1,151
61,975,1383,61,\N,1,-12.1596,125.6252,1,1,245
62,1150,1619,62,\N,1,-38.1583,23.8377,1,1,303
63,1017,1445,63,\N,1,34.4952,139.8961,1,1,151
64,1155,1627,64,\N,1,12.3482,-148.7433,1,1,303
65,1717,2389,65,\N,1,-25.8871,-0.139,1,1,151
66,34,50,66,\N,1,-18.3931,-158.2827,0,1,298
67,1652,2302,67,\N,1,82.058,-137.7847,1,1,360
68,665,983,68,\N,1,-3.6534,-161.1228,1,1,245
