id,system,body,siteID,extoolID,latitude,longitude,type,verified,visible,discoveredBy
1,2886,4007,1,\N,-31.7347,-128.9212,3,1,1,465
2,1577,2218,2,\N,-29.1664,-30.5041,3,1,1,86
3,1583,2226,3,\N,29.4200,-59.5400,2,1,1,465
4,2885,4004,4,\N,19.5300,-141.7600,3,1,1,465
5,2903,4030,5,\N,-23.3821,178.9094,2,1,1,465
6,545,824,6,\N,16.2701,18.1282,3,1,1,465
7,545,824,7,\N,46.0700,-171.3300,2,1,1,465
8,1454,2046,8,\N,7.0924,170.2272,3,1,1,465
9,2859,3977,9,\N,59.3300,15.1000,4,1,1,465
10,2859,3977,10,\N,31.9672,-100.0063,3,1,1,47
11,2859,3977,11,\N,31.8800,-100.0500,2,1,1,47
12,545,825,12,\N,-15.0842,-102.9397,2,1,1,465
13,2818,3924,13,\N,-30.5400,-24.2000,2,1,1,465
14,545,825,14,\N,-37.5256,84.2501,4,1,1,465
15,2804,3901,15,\N,-10.0700,114.5000,4,1,1,465
16,2804,3901,16,\N,-37.3100,106.4200,4,1,1,465
17,2804,3901,17,\N,9.0200,48.7700,3,1,1,465
18,482,733,18,\N,42.8343,-175.6545,3,1,1,465
19,482,733,19,\N,33.2757,-175.5038,3,1,1,465
20,482,733,20,\N,-18.7380,-135.5687,4,1,1,465
21,545,826,21,\N,-10.8195,-89.8905,3,1,1,465
22,2818,3924,22,\N,0.6600,-36.82,2,1,1,465
23,555,837,23,\N,65.9181,-128.5455,2,1,1,465
24,555,837,24,\N,71.3187,-112.4353,3,1,1,465
25,1454,2046,25,\N,-0.0129,-149.4705,3,1,1,153
26,555,837,26,\N,39.7396,48.2240,3,1,1,465
27,555,838,27,\N,21.9117,154.1760,4,1,1,465
28,620,917,28,\N,-17.0000,44.2400,3,1,1,465
29,556,839,29,\N,-20.3200,-133.6400,2,1,1,465
30,495,749,30,\N,-42.7780,130.3500,4,1,1,465
31,495,749,31,\N,-15.8330,-172.5550,4,1,1,465
32,495,750,32,\N,19.0369,155.2710,4,1,1,465
