id,system,body,siteID,extoolID,latitude,longitude,type,hasDatabank,verified,visible,discoveredBy
1,2608,3633,1,\N,52.6791,115.2503,4,0,1,1,102
2,2847,3964,2,\N,-31.1571,99.4384,6,1,1,1,437
3,499,758,3,\N,43.1349,104.3013,5,1,1,1,227
4,2856,3976,4,\N,28.0021,-15.4242,2,0,1,1,141
5,1381,1937,5,\N,-32.0927,16.5575,4,0,1,1,209
6,476,727,6,\N,10.6348,-12.5755,2,0,0,1,240
7,2705,3760,7,\N,-44.476,-95.0524,4,0,1,1,196
8,2704,3758,8,\N,33.5862,-54.0217,5,1,1,1,240
9,2554,3574,9,\N,-23.2718,126.3758,6,1,1,1,13
10,591,876,10,\N,-77.9657,-170.4414,2,0,1,1,301
11,460,700,11,\N,-50.1193,-69.9793,4,0,1,1,98
12,558,835,12,\N,31.46,-154.25,2,0,1,1,338
13,1234,1737,13,\N,40.7966,-106.5073,8,1,1,1,39
14,557,834,14,\N,-56.6923,91.5176,2,0,1,1,124
15,511,775,15,\N,-11.4828,107.1574,3,0,1,1,124
16,512,778,16,\N,37.2591,19.255,2,0,1,1,124
17,2852,3970,17,\N,-57.4285,155.0567,3,0,1,1,124
18,2850,3968,18,\N,-21.8939,-18.9468,2,0,1,1,124
19,2529,3543,19,\N,42.1745,72.6098,5,1,1,1,124
20,2707,3763,20,\N,18.7047,106.9514,2,0,1,1,124
21,501,763,21,\N,-4.9932,-37.9452,3,0,1,1,124
22,1233,1735,22,\N,31.068,130.9747,3,0,1,1,276
23,2658,3703,23,\N,-24.6821,-21.6226,6,1,1,1,53
24,2845,3962,24,\N,-6.5804,-39.8589,6,1,1,1,81
25,502,764,25,\N,22.4474,-58.5793,2,0,1,1,81
26,541,816,26,\N,-31.6828,-141.3324,6,1,1,1,368
27,2661,3707,27,\N,-27.3238,-17.1637,4,0,1,1,239
28,561,842,28,\N,-41.6365,126.0865,4,0,1,1,272
29,2853,3972,29,\N,32.8026,139.444,2,0,1,1,348
30,2848,3965,30,\N,18.3677,-69.1438,3,0,1,1,58
31,2842,3959,31,\N,-38.1717,-157.2472,8,1,1,1,124
32,2571,3593,32,\N,-26.0524,32.0035,8,1,1,1,124
33,2854,3973,33,\N,25.3814,145.5499,7,1,1,1,262
34,527,798,34,\N,-68.9706,-37.988,7,1,1,1,266
35,610,900,35,\N,-39.3809,-0.3041,7,1,1,1,266
36,2559,3580,36,\N,-20.9783,-19.0668,5,1,1,1,227
37,469,712,37,\N,77.4091,62.0971,5,1,1,1,227
38,531,805,38,\N,-17.5551,68.0306,7,1,1,1,227
39,600,888,39,\N,5.1764,-54.8679,3,0,1,1,227
40,601,889,40,\N,50.0511,-103.6453,2,0,1,1,227
