id,system,body,siteID,extoolID,type,latitude,longitude,verified,visible,discoveredBy
1,1279,1648,1,\N,5,15.9,128.7378,1,1,177
2,1630,2132,2,\N,2,40.8623,-135.4448,1,1,84
3,930,1217,3,\N,5,51.7654,-41.0964,1,1,347
4,1614,2110,4,\N,5,17.131,-151.6482,1,1,84
5,1614,2112,5,\N,2,-8.9877,-152.7516,1,1,84
6,973,1272,6,\N,2,-19.4963,139.1895,1,1,16
7,946,1239,7,\N,5,39.6166,153.543,1,1,84
8,1332,1742,8,\N,2,27.9999,-49.8855,1,1,291
9,793,1022,9,\N,2,-35.3356,19.5765,1,1,84
10,793,1023,10,\N,2,8.7795,135.0627,1,1,84
11,793,1024,11,\N,2,-8.9989,-13.5666,1,1,84
12,1358,1781,12,\N,5,38.53,-43.3475,1,1,384
13,898,1164,13,\N,5,-72.1764,-46.1385,1,1,58
14,2012,2632,14,\N,2,-46.2715,-27.2424,1,1,139
15,434,577,15,\N,5,29.4087,-123.425,1,1,87
16,1431,1867,16,\N,5,-11.0076,-95.6506,1,1,306
17,893,1154,17,\N,2,-36.6332,39.7665,1,1,184
18,893,1155,18,\N,5,0.4859,-59.155,1,1,184
19,434,577,19,\N,5,35.9001,-118.7099,1,1,87
20,1358,1781,20,\N,5,-18.82,75.8481,1,1,384
21,1558,2033,21,\N,2,-44.4849,41.9599,1,1,384
22,1090,1413,22,\N,5,0.352,-143.1376,1,1,350
23,444,592,23,\N,2,23.3827,-174.2183,1,1,207
24,1642,2147,24,\N,2,6.9444,115.0325,1,1,137
25,1642,2146,25,\N,5,-48.833,45.0308,1,1,137
26,730,942,26,\N,2,57.5969,-58.8564,1,1,87
27,1746,2275,27,\N,2,14.3646,-26.3509,1,1,139
28,1789,2326,28,\N,5,7.1489,155.5281,1,1,296
29,1789,2326,29,\N,5,-5.0009,158.9194,1,1,296
30,896,1162,30,\N,5,22.3967,108.8053,1,1,58
31,150,207,31,\N,5,35.9865,133.2977,1,1,360
32,1237,1592,32,\N,2,36.7964,131.8809,1,1,10
33,1237,1592,33,\N,2,-43.0577,80.3463,1,1,10
34,1237,1593,34,\N,2,13.6079,-29.8262,1,1,10
35,678,880,35,\N,2,-60.542,160.2476,1,1,306
36,677,879,36,\N,2,44.4901,152.596,1,1,306
37,1559,2034,37,\N,2,-6.6984,135.0052,1,1,384
38,1559,2034,38,\N,2,54.1026,12.4994,1,1,384
39,1237,1593,39,\N,2,13.5338,-49.649,1,1,10
40,1559,2035,40,\N,2,-40.2535,-170.7767,1,1,384
41,1559,2035,41,\N,2,-72.8069,79.7532,1,1,384
42,233,318,42,\N,2,-31.7149,-144.3473,1,1,306
43,1347,1767,43,\N,2,71.5002,-76.6557,1,1,94
44,1542,2012,44,\N,2,-59.078,44.7697,1,1,384
45,1542,2013,45,\N,5,-5.1364,-28.1012,1,1,384
46,1020,1332,46,\N,5,-45.2049,118.5496,1,1,295
47,938,1230,47,\N,5,-52.3748,128.1057,1,1,319
48,216,299,48,\N,5,-30.9317,117.6281,1,1,184
49,216,300,49,\N,2,-33.7106,147.9782,1,1,184
50,216,293,50,\N,2,44.7923,171.1214,1,1,184
51,216,294,51,\N,5,-43.6479,63.8384,1,1,184
52,216,297,52,\N,5,-17.2755,48.4611,1,1,184
53,1462,1911,53,\N,2,11.4201,-102.8356,1,1,94
54,1801,2342,54,\N,5,60.8865,36.6659,1,1,207
55,219,303,55,\N,5,32.0873,-50.7281,1,1,55
56,1693,2202,56,\N,2,60.8511,60.8271,1,1,118
57,823,1062,57,\N,5,9.7988,35.4159,1,1,177
58,521,682,58,\N,5,16.9831,59.7011,1,1,350
59,1030,1346,59,\N,2,20.5025,-4.2472,1,1,350
60,297,404,60,\N,2,-65.7184,148.3318,1,1,152
61,346,470,61,\N,5,-60.0852,32.5959,1,1,118
62,346,470,62,\N,5,-41.874,18.8202,1,1,118
63,2021,2642,63,\N,2,58.6729,153.9524,1,1,147
64,1143,1471,64,\N,2,31.4811,-177.4541,1,1,139
65,454,602,65,\N,2,14.3462,-178.6078,1,1,188
66,831,1071,66,\N,2,-23.393,-109.3787,1,1,192
67,1620,2120,67,\N,5,-25.1807,-88.7985,1,1,118
68,1571,2050,68,\N,5,-40.6202,40.5291,1,1,207
69,1730,2252,69,\N,2,-4.7321,-130.4196,1,1,84
70,662,863,70,\N,5,18.6802,-132.9913,1,1,84
